time,Region1Beijing_PV_Central,Region2Tianjin_PV_Central,Region3Hebei_PV_Central,Region4Shanxi_PV_Central,Region5Innermongolia_PV_Central,Region6Liaoning_PV_Central,Region7Jilin_PV_Central,Region8Heilongjiang_PV_Central,Region9Shanghai_PV_Central,Region10Jiangsu_PV_Central,Region11Zhejiang_PV_Central,Region12Anhui_PV_Central,Region13Fujian_PV_Central,Region14Jiangxi_PV_Central,Region15Shandong_PV_Central,Region16Henan_PV_Central,Region17Hubei_PV_Central,Region18Hunan_PV_Central,Region19Guangdong_PV_Central,Region20Guangxi_PV_Central,Region21Hainan_PV_Central,Region22Chongqing_PV_Central,Region23Sichuan_PV_Central,Region24Guizhou_PV_Central,Region25Yunnan_PV_Central,Region26Tibet_PV_Central,Region27Shaanxi_PV_Central,Region28Gansu_PV_Central,Region29Qinghai_PV_Central,Region30Ningxia_PV_Central,Region31Xinjiang_PV_Central,Region1Beijing_Wind_Onshore,Region2Tianjin_Wind_Onshore,Region3Hebei_Wind_Onshore,Region4Shanxi_Wind_Onshore,Region5Innermongolia_Wind_Onshore,Region6Liaoning_Wind_Onshore,Region7Jilin_Wind_Onshore,Region8Heilongjiang_Wind_Onshore,Region9Shanghai_Wind_Onshore,Region10Jiangsu_Wind_Onshore,Region11Zhejiang_Wind_Onshore,Region12Anhui_Wind_Onshore,Region13Fujian_Wind_Onshore,Region14Jiangxi_Wind_Onshore,Region15Shandong_Wind_Onshore,Region16Henan_Wind_Onshore,Region17Hubei_Wind_Onshore,Region18Hunan_Wind_Onshore,Region19Guangdong_Wind_Onshore,Region20Guangxi_Wind_Onshore,Region21Hainan_Wind_Onshore,Region22Chongqing_Wind_Onshore,Region23Sichuan_Wind_Onshore,Region24Guizhou_Wind_Onshore,Region25Yunnan_Wind_Onshore,Region26Tibet_Wind_Onshore,Region27Shaanxi_Wind_Onshore,Region28Gansu_Wind_Onshore,Region29Qinghai_Wind_Onshore,Region30Ningxia_Wind_Onshore,Region31Xinjiang_Wind_Onshore,Region1Beijing_PV_Distribution,Region2Tianjin_PV_Distribution,Region3Hebei_PV_Distribution,Region4Shanxi_PV_Distribution,Region5Innermongolia_PV_Distribution,Region6Liaoning_PV_Distribution,Region7Jilin_PV_Distribution,Region8Heilongjiang_PV_Distribution,Region9Shanghai_PV_Distribution,Region10Jiangsu_PV_Distribution,Region11Zhejiang_PV_Distribution,Region12Anhui_PV_Distribution,Region13Fujian_PV_Distribution,Region14Jiangxi_PV_Distribution,Region15Shandong_PV_Distribution,Region16Henan_PV_Distribution,Region17Hubei_PV_Distribution,Region18Hunan_PV_Distribution,Region19Guangdong_PV_Distribution,Region20Guangxi_PV_Distribution,Region21Hainan_PV_Distribution,Region22Chongqing_PV_Distribution,Region23Sichuan_PV_Distribution,Region24Guizhou_PV_Distribution,Region25Yunnan_PV_Distribution,Region26Tibet_PV_Distribution,Region27Shaanxi_PV_Distribution,Region28Gansu_PV_Distribution,Region29Qinghai_PV_Distribution,Region30Ningxia_PV_Distribution,Region31Xinjiang_PV_Distribution,Region1Beijing_Wind_Offshore,Region2Tianjin_Wind_Offshore,Region3Hebei_Wind_Offshore,Region4Shanxi_Wind_Offshore,Region5Innermongolia_Wind_Offshore,Region6Liaoning_Wind_Offshore,Region7Jilin_Wind_Offshore,Region8Heilongjiang_Wind_Offshore,Region9Shanghai_Wind_Offshore,Region10Jiangsu_Wind_Offshore,Region11Zhejiang_Wind_Offshore,Region12Anhui_Wind_Offshore,Region13Fujian_Wind_Offshore,Region14Jiangxi_Wind_Offshore,Region15Shandong_Wind_Offshore,Region16Henan_Wind_Offshore,Region17Hubei_Wind_Offshore,Region18Hunan_Wind_Offshore,Region19Guangdong_Wind_Offshore,Region20Guangxi_Wind_Offshore,Region21Hainan_Wind_Offshore,Region22Chongqing_Wind_Offshore,Region23Sichuan_Wind_Offshore,Region24Guizhou_Wind_Offshore,Region25Yunnan_Wind_Offshore,Region26Tibet_Wind_Offshore,Region27Shaanxi_Wind_Offshore,Region28Gansu_Wind_Offshore,Region29Qinghai_Wind_Offshore,Region30Ningxia_Wind_Offshore,Region31Xinjiang_Wind_Offshore
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47455934894641416,0.4948765592775999,0.4911224963652785,0.46857803371904083,0.48289037693757564,0.4827343136066702,0.46430002052943564,0.4724598249981682,0.48681023816334346,0.4631305890177373,0.4948719355936646,0.4676018055345139,0.4894259808627339,0.47449177760472594,0.45597229627094293,0.4890445789669684,0.49029885445725085,0.48736603221732366,0.4893355786007305,0.4785339722002391,0.4915135282956271,0.4852065747166989,0.48478572091471506,0.4422387113252171,0.491335430451727,0.4947355274291567,0.48356019917537196,0.4772965931952058,0.4835241839700757,0.49087826966297143,0.4934835698695679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48994121923807654,0.4363347766323997,0.0,0.0,0.4943606877612865,0.0,0.0,0.4955429695700104,0.4546257122838142,0.4982150972045929,0.0,0.5018804670612553,0.0,0.4685110281825473,0.0,0.0,0.0,0.496888850029336,0.44078234877034284,0.4802614858256602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4749136064193209,0.4966735688146855,0.491938479415694,0.4732839134981077,0.48229531339893583,0.4815048196360294,0.46181617927504703,0.47150537587504004,0.48884767359783154,0.46922944761831786,0.4950708746227974,0.48192242812706354,0.48840338980016895,0.47525588114240236,0.4540693295980418,0.49040990039429744,0.4903278096953727,0.4810549688613719,0.48943726032393897,0.48151377554131614,0.4938754868386468,0.48575970121305545,0.486422868981208,0.44797018462770666,0.4892216764828845,0.4947892317172773,0.4856479470317936,0.4764525334330756,0.4791708086208928,0.49011179280478245,0.4937089446502796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4903577039592619,0.41503068842301616,0.0,0.0,0.4932308888124908,0.0,0.0,0.49690666227229485,0.4525087798756431,0.4987700068536469,0.0,0.5022717882739016,0.0,0.4641715278821721,0.0,0.0,0.0,0.4968229967403204,0.44812930895821523,0.4817631311608013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4716287255079834,0.49577476663671405,0.49306498140867916,0.4755769822822913,0.4823170174495317,0.4810462306431873,0.46163639890983177,0.46825300695900296,0.48900834601954557,0.47805546224219597,0.4955853318707568,0.48472142764489945,0.48830948497720783,0.4748831287279245,0.47723169748269356,0.49193050057419896,0.49606009817489394,0.4804853077480402,0.48941124522480095,0.48370193507344084,0.49508311029310903,0.48581995944130085,0.4881209416184902,0.4513160394988063,0.4893147120055801,0.4948352876426725,0.4911844121324975,0.4758518030594132,0.47434057470354674,0.48998291020870965,0.4928915937161946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4879133938526081,0.4055191359803416,0.0,0.0,0.49249797296999986,0.0,0.0,0.4976352212074744,0.4501803179427952,0.49910772924840785,0.0,0.5024072901960608,0.0,0.4444145717502579,0.0,0.0,0.0,0.49635978543028614,0.45190175965926294,0.48235513229650717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4681755153887295,0.4941856452095408,0.49370719786020345,0.47258576462991186,0.48038818097120384,0.48114766205071646,0.4616794852968269,0.4654520274416427,0.4860524336076537,0.48773491488509535,0.49599799481916307,0.4720046228710544,0.4884096452472022,0.47450327415253923,0.45425553459017465,0.49418822212646774,0.49060458079338787,0.4800339282501227,0.49024550155718316,0.4843206917912539,0.4948373048339647,0.48697631187621937,0.4893175111869823,0.45425481451457017,0.48688993613177445,0.4948901897071778,0.49206425969441625,0.4765028790479846,0.4689016863330835,0.48993364838406706,0.4918921217104071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4897328653997022,0.40622658320180705,0.0,0.0,0.4916802242648828,0.0,0.0,0.49777212826984396,0.4490869018509329,0.500051868065384,0.0,0.5024388768347308,0.0,0.4235181578510492,0.0,0.0,0.0,0.49539541576632473,0.4570368458681635,0.4825985393873795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46522225349312407,0.49779173796741816,0.4936999151723285,0.4746198389025267,0.47789316479247645,0.48145467049835133,0.46153699947853966,0.4643206224438927,0.4820135815086388,0.48887924112500514,0.49572646633851036,0.4859371714728695,0.4883582313700572,0.47491914388592704,0.4525915647000147,0.4961843635664991,0.488202974111573,0.48242371474225365,0.4914435898162992,0.4849958713120941,0.494412071142051,0.4860622885681778,0.4901361240326878,0.45778502332075277,0.47812806543151964,0.4949003725104717,0.49292543447518256,0.4759744525399583,0.47044095358023696,0.48941291612845816,0.49003677436485304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48977000730882025,0.4025450958109644,0.0,0.0,0.4904062890880141,0.0,0.0,0.4979017349226069,0.4472425318826936,0.5008298199641104,0.0,0.501343330526197,0.0,0.403291372352669,0.0,0.0,0.0,0.4956820594961755,0.46065335738192204,0.4824836790749405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46536962104655544,0.49245740756981604,0.49348113385713077,0.4799414680257996,0.4768591251595353,0.4813311812322354,0.4611726920793444,0.46502787425151837,0.46952139143385807,0.4862342657100953,0.49398399229164625,0.47341608931810697,0.4881787387262193,0.47972067246541883,0.4448302973951286,0.49596587459745933,0.4917424775876498,0.48557912827027394,0.4916760201122088,0.48455552966606774,0.4935244553765301,0.48534563680448173,0.49043258383835564,0.45913434402302755,0.47754468418452234,0.49474797725309827,0.4928606784078511,0.4758284734798508,0.47157291507892296,0.4890011584120657,0.4883837603374559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4886445969956128,0.3987940065343878,0.0,0.0,0.48912440295009674,0.0,0.0,0.49797550501193655,0.4431099698285834,0.5011125450100735,0.0,0.49935291618385236,0.0,0.38057214619266233,0.0,0.0,0.0,0.49547119443923293,0.4579453505109612,0.4828864963418864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46630901483953124,0.4869667400798221,0.4930480234324932,0.48045917330318844,0.4727931657798763,0.4813593991257221,0.4615985895115955,0.4685847204525544,0.4646615331419639,0.48498632690143495,0.4916760263887454,0.47099218298922096,0.48799236809009017,0.47442520894537665,0.44092934771833825,0.49592383408889873,0.49361405814579484,0.4882835577445803,0.49082936518425413,0.4835746154994922,0.491144110091426,0.482462014830503,0.4903971447988624,0.4552294551089062,0.4794978278378039,0.4925456993859143,0.4923124190318049,0.47617006254949956,0.4699391989850028,0.48996583600910526,0.4863547118184215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48616492143986534,0.39931331552473637,0.0,0.0,0.4875537593904937,0.0,0.0,0.4967316980837495,0.4387696862258963,0.5003709432430696,0.0,0.4942797533894918,0.0,0.3638834358271197,0.0,0.0,0.0,0.4953226653369711,0.4599096576922044,0.48151754512630607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4616952832152137,0.4843743260885276,0.49263088813313516,0.4797763578487775,0.4704480205800792,0.4812807116695694,0.46042724153630843,0.46815154415946836,0.4622503751715925,0.4833435047378316,0.48937376286619383,0.4716844206119504,0.48777397094067965,0.46947606850392276,0.4461702195972066,0.4955517271737335,0.4952704341494609,0.4875000822567017,0.48827740894193994,0.4837915172620342,0.48903404933776073,0.4868822891415334,0.4900222748028682,0.45320771049296127,0.48079077099464484,0.4915744356202367,0.4919615382104894,0.4774626667922348,0.4685073779244249,0.49099498724535806,0.4818727123129065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48519198590085466,0.4076430718436157,0.0,0.0,0.48734572367857254,0.0,0.0,0.49557263435212917,0.43609515615207783,0.4992976435160017,0.0,0.49330115825796383,0.0,0.34569211456982885,0.0,0.0,0.0,0.495372625512573,0.4677443551285805,0.47892176740853465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2060192865374021,0.41768146059418143,0.4159951992042643,0.22901532584105366,0.4671875038152393,0.4665616547832485,0.473232210754702,0.45995396459284166,0.44775925894018087,0.4788186182931895,0.48587263690194504,0.4805507447077275,0.4594906131471248,0.47980055512016406,0.4866717064508066,0.3553725074788403,0.47695657185312257,0.450537702242066,0.47907345405690194,0.45451006657015114,0.46296306356281036,0.0,0.0,0.2896890646038148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45725063178852565,0.4719037135279791,0.49152705326196156,0.4788046927844789,0.4744418875852716,0.48258437952245004,0.46066630242512474,0.4734425683216159,0.45979387665070703,0.4834466982908907,0.48794127296707757,0.46858046125976216,0.48626109954875574,0.46593494919477507,0.45003115607960353,0.4948818865868816,0.4960238294784176,0.4883621045946711,0.475605577571514,0.4843024910051099,0.48372171424375665,0.48040804760859146,0.489724670988835,0.452571658072884,0.4816022436266394,0.4821085387058588,0.4906531442593405,0.477479120476346,0.4687925775097028,0.4904158912859202,0.4771270246565109,0.3523701593085793,0.4647260163798137,0.4541062034552539,0.0,0.0,0.4810106943435244,0.0,0.0,0.46064777611337604,0.4809202247029134,0.47622681815801116,0.48108754134591436,0.4879656878007381,0.46112258507253046,0.4633672633125343,0.4761854529405838,0.4829901188078338,0.48228766574538895,0.47473899012175025,0.0,0.4599587940046632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4795136093233765,0.4128464893423711,0.0,0.0,0.48745358230320335,0.0,0.0,0.4953739306751004,0.45635814756315085,0.49807174227635187,0.0,0.4930004449174703,0.0,0.34523930280511195,0.0,0.0,0.0,0.4828466270109857,0.4712207431661639,0.473132129328663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.45382616779915885,0.47521506494018695,0.4923478960563443,0.48025609919477574,0.48569928646611515,0.4824305159748974,0.4704726110643378,0.46649808066285914,0.48583992605746573,0.4685121402194454,0.48752449619451,0.4816566843542205,0.48954769542407917,0.4790558628560575,0.3921224666260059,0.4953718181180875,0.4948343734949958,0.48163486999521865,0.4753688989803777,0.47607041247692905,0.4714890579716666,0.47377793564417914,0.457425365500967,0.4599972797963119,0.4582582049697521,0.48662595495682126,0.4837393602597331,0.46996275565032875,0.47564810036323024,0.4663589211238559,0.0,0.4206443518960157,0.46366036070915584,0.49572953338793013,0.4796133917441239,0.48403095091634896,0.4847979395171933,0.4643971584166593,0.48870228769237656,0.4551339853760652,0.4827344065845409,0.48519488115624654,0.4739331777300322,0.48535193159409573,0.4673486655963188,0.4626820862058594,0.4969491544215998,0.492427212824623,0.48932507857489327,0.47618468283417315,0.483149166295334,0.4762514910680409,0.4676166635002801,0.48939321408852265,0.4513676755570941,0.4826025559812024,0.46198620127199774,0.49301419276889646,0.4627665253865416,0.47131273718650846,0.4933759154419022,0.4759700875438284,0.47258153997651675,0.47964494170906846,0.4923142983643629,0.0,0.0,0.4826454207853885,0.0,0.0,0.4878852550807551,0.4586652099624189,0.4883498843310008,0.487101715328663,0.4829937565561977,0.47059159368563996,0.4743617444846677,0.4956033739244958,0.4912924560035208,0.48545758025034047,0.4723508383785884,0.0,0.47779106132855986,0.4772716709260294,0.0,0.0,0.0,0.3728757009793111,0.0,0.0,0.0,0.0,0.0,0.0,0.4811154019945434,0.41208268597676323,0.0,0.0,0.4896988136175082,0.0,0.0,0.4953279154130428,0.47562823599901094,0.4973515849537762,0.0,0.49207372055934684,0.0,0.41690148676866556,0.0,0.0,0.0,0.4756857662841867,0.47366162541051793,0.46519195654384315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
