type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,4.356224885391591e8,2.1711861007206323e11,3.9493142633398964e10,0.0,0.0,0.0,2.5704737519400134e11
AluminumSmelting,0.0,1.3962060968776165e7,5.149511428255496e10,4.0767691361853427e8,5.9960198498090826e7,0.0,5.1976713455640366e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.1442774187673171e8,0.0,0.0,1.1442774187673171e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,2.1633792299292054e9,0.0,0.0,2.1633792299292054e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,2.1397962140298563e8,0.0,0.0,2.1397962140298563e8
DRIMaking,3.203128404643187e10,3.1710597360454626e11,4.7565896043601585e10,0.0,0.0,0.0,3.967031536945797e11
OneWayTransmissionLink{IronOre},2.7424784474807842e10,0.0,0.0,1.7083254935448346e9,0.0,0.0,2.9133109968352676e10
OneWayTransmissionLink{SteelScrap},9.005926108074518e7,0.0,0.0,2.1163029068630874e8,0.0,0.0,3.016895517670539e8
CementPlant{Coal},0.0,9.189204438527956e10,2.2473438421013117e7,3.0680502444393e9,0.0,0.0,9.498256806813988e10
CO2Injection,0.0,9.4487756085149e9,0.0,4.964649355448958e8,0.0,0.0,9.945240544059795e9
OneWayTransmissionLink{CO2Captured},0.0,3.0708276308887903e7,0.0,2.0499043360269434e9,0.0,0.0,2.0806126123358314e9
HydroRes,0.0,0.0,6.3786179374999985e10,0.0,0.0,0.0,6.3786179374999985e10
Battery,0.0,2.327490564219332e7,5.789150394922565e9,0.0,0.0,0.0,5.812425300564759e9
ThermalPower{Coal},0.0,1.9714381894134674e7,2.695742205144846e10,8.361720029380342e6,6.072966042011503e7,0.0,2.704622781379209e10
ThermalPower{NaturalGas},0.0,1.627130498053486e11,5.602924330269799e10,3.705036169178304e9,1.2111254388811855e9,0.0,2.236584547161061e11
ThermalPower{Uranium},0.0,4.688671405953058e10,2.0124341708345196e10,2.799581435312111e8,95064.23194921945,0.0,6.729110897563894e10
TransmissionLink{Electricity},0.0,3.9089508349459915e9,0.0,0.0,0.0,0.0,3.9089508349459915e9
VRE,0.0,3.2506174968247107e11,1.527316657305644e11,0.0,0.0,0.0,4.7779341541303546e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.0743007157161085e8,1.0743007157161085e8
Total,5.998175027085961e10,1.1742235276775142e12,4.6399462896095514e11,1.4427194839808638e10,1.3319103620313406e9,1.0743007157161085e8,1.7140664421827402e12
