zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,0.1401448886637998,0.0,0.0,0.0,0.0,0.0,0.1401448886637998
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,0.0,1331.328582873503,183.2352913950645,0.0,0.0,0.0,1514.5638742685674
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,0.1391047771016412,0.0,0.0,0.0,0.0,0.0,0.1391047771016412
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,0.0,1321.4478782307494,181.8753763315001,0.0,0.0,0.0,1503.3232545622495
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,0.13991664235791973,0.0,0.0,0.0,0.0,0.0,0.13991664235791973
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,0.0,1329.1603209136679,182.9368661098703,0.0,0.0,0.0,1512.0971870235383
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,0.1396392070342667,0.0,0.0,0.0,0.0,0.0,0.1396392070342667
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,0.0,1326.5247800830343,182.57412764072214,0.0,0.0,0.0,1509.0989077237564
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,0.13873527640218944,0.0,0.0,0.0,0.0,0.0,0.13873527640218944
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,0.0,1317.9377477703063,181.3922651101022,0.0,0.0,0.0,1499.3300128804085
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,0.1379932169012551,0.0,0.0,0.0,0.0,0.0,0.1379932169012551
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,0.0,1310.8884359245078,180.42204428947528,0.0,0.0,0.0,1491.310480213983
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,1.3550655384599417,0.0,0.0,0.0,0.0,0.0,1.3550655384599417
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,0.0,12872.659860941278,1771.708059897668,0.0,0.0,0.0,14644.367920838946
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,1.3847433786083374,0.0,0.0,0.0,0.0,0.0,1.3847433786083374
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,0.0,13154.589207378596,1810.5109569523993,0.0,0.0,0.0,14965.100164330996
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,0.13901841057553796,0.0,0.0,0.0,0.0,0.0,0.13901841057553796
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,0.0,1320.627425726894,181.7624546564503,0.0,0.0,0.0,1502.3898803833442
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,0.13702211148141155,0.0,0.0,0.0,0.0,0.0,0.13702211148141155
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,1301.6632660681773,179.15235271330164,0.0,0.0,0.0,1480.8156187814789
steelscrap_source_Region11Zhejiang_Region11Zhejiang_bfbofccs_transforms,0.1367661944020965,0.0,0.0,0.0,0.0,0.0,0.1367661944020965
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,0.0,1299.2321412102838,178.81774871134112,0.0,0.0,0.0,1478.049889921625
steelscrap_source_Region12Anhui_Region12Anhui_bfbofccs_transforms,0.1387061788873477,0.0,0.0,0.0,0.0,0.0,0.1387061788873477
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,0.0,1317.6613313161054,181.3542209711995,0.0,0.0,0.0,1499.015552287305
steelscrap_source_Region13Fujian_Region13Fujian_bfbofccs_transforms,0.137762354859603,0.0,0.0,0.0,0.0,0.0,0.137762354859603
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,0.0,1308.695325368124,180.1201990072286,0.0,0.0,0.0,1488.8155243753527
steelscrap_source_Region15Shandong_Region15Shandong_bfbofccs_transforms,0.1375795527772805,0.0,0.0,0.0,0.0,0.0,0.1375795527772805
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,0.0,1306.9587680129166,179.88119069846164,0.0,0.0,0.0,1486.8399587113781
steelscrap_source_Region16Henan_Region16Henan_bfbofccs_transforms,0.1398253257145772,0.0,0.0,0.0,0.0,0.0,0.1398253257145772
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,0.0,1328.2928439865252,182.81747230313596,0.0,0.0,0.0,1511.1103162896611
steelscrap_source_Region17Hubei_Region17Hubei_bfbofccs_transforms,0.1399323714984587,0.0,0.0,0.0,0.0,0.0,0.1399323714984587
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,0.0,1329.3097423772963,182.9574314952912,0.0,0.0,0.0,1512.2671738725876
steelscrap_source_Region18Hunan_Region18Hunan_bfbofccs_transforms,0.13871440224380233,0.0,0.0,0.0,0.0,0.0,0.13871440224380233
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,0.0,1317.7394503941587,181.364972766222,0.0,0.0,0.0,1499.1044231603807
steelscrap_source_Region19Guangdong_Region19Guangdong_bfbofccs_transforms,0.08463484787146344,0.0,0.0,0.0,0.0,0.0,0.08463484787146344
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,0.0,804.0021520066645,110.6575570451776,0.0,0.0,0.0,914.659709051842
steelscrap_source_Region20Guangxi_Region20Guangxi_bfbofccs_transforms,0.08336276720082579,0.0,0.0,0.0,0.0,0.0,0.08336276720082579
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,0.0,791.9178200507322,108.9943492422769,0.0,0.0,0.0,900.9121692930091
steelscrap_source_Region22Chongqing_Region22Chongqing_bfbofccs_transforms,0.13961339307720994,0.0,0.0,0.0,0.0,0.0,0.13961339307720994
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,0.0,1326.2795563064503,182.54037665637657,0.0,0.0,0.0,1508.819932962827
steelscrap_source_Region23Sichuan_Region23Sichuan_bfbofccs_transforms,0.13865423135109556,0.0,0.0,0.0,0.0,0.0,0.13865423135109556
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,0.0,1317.167847461782,181.28630110602955,0.0,0.0,0.0,1498.4541485678114
steelscrap_source_Region25Yunnan_Region25Yunnan_bfbofccs_transforms,0.13778963604591157,0.0,0.0,0.0,0.0,0.0,0.13778963604591157
Region25Yunnan_bfbofccs_transforms_crudesteel_Region25Yunnan,0.0,1308.9544873215432,180.15586835036757,0.0,0.0,0.0,1489.1103556719108
steelscrap_source_Region27Shaanxi_Region27Shaanxi_bfbofccs_transforms,0.13950054468561784,0.0,0.0,0.0,0.0,0.0,0.13950054468561784
Region27Shaanxi_bfbofccs_transforms_crudesteel_Region27Shaanxi,0.0,1325.2075351240305,182.39283072649172,0.0,0.0,0.0,1507.6003658505222
steelscrap_source_Region28Gansu_Region28Gansu_bfbofccs_transforms,0.1377288254880306,0.0,0.0,0.0,0.0,0.0,0.1377288254880306
Region28Gansu_bfbofccs_transforms_crudesteel_Region28Gansu,0.0,1308.3768077884558,180.076360346904,0.0,0.0,0.0,1488.4531681353599
steelscrap_source_Region29Qinghai_Region29Qinghai_bfbofccs_transforms,0.13973952089270458,0.0,0.0,0.0,0.0,0.0,0.13973952089270458
Region29Qinghai_bfbofccs_transforms_crudesteel_Region29Qinghai,0.0,1327.4777274810506,182.70528503973387,0.0,0.0,0.0,1510.1830125207844
steelscrap_source_Region30Ningxia_Region30Ningxia_bfbofccs_transforms,0.13863575441440865,0.0,0.0,0.0,0.0,0.0,0.13863575441440865
Region30Ningxia_bfbofccs_transforms_crudesteel_Region30Ningxia,0.0,1316.9923228731307,181.26214305852554,0.0,0.0,0.0,1498.2544659316561
steelscrap_source_Region31Xinjiang_Region31Xinjiang_bfbofccs_transforms,0.14138450044608178,0.0,0.0,0.0,0.0,0.0,0.14138450044608178
Region31Xinjiang_bfbofccs_transforms_crudesteel_Region31Xinjiang,0.0,1343.1044714781672,184.85604708803865,0.0,0.0,0.0,1527.9605185662058
Region1Beijing_drieaf_transforms_crudesteel_Region1Beijing,0.0,90070.584017527,12403.505555533702,0.0,0.0,0.0,102474.0895730607
Region2Tianjin_drieaf_transforms_crudesteel_Region2Tianjin,0.0,124086.58083364133,17087.805208832156,0.0,0.0,0.0,141174.3860424735
Region3Hebei_drieaf_transforms_crudesteel_Region3Hebei,0.0,118852.93091565432,16367.08593581358,0.0,0.0,0.0,135220.0168514679
Region4Shanxi_drieaf_transforms_crudesteel_Region4Shanxi,0.0,114134.55537095203,15717.324441312549,0.0,0.0,0.0,129851.87981226458
Region5Innermongolia_drieaf_transforms_crudesteel_Region5Innermongolia,0.0,1.5353604310333493e11,2.1143253198361618e10,0.0,0.0,0.0,1.7467929630169653e11
Region6Liaoning_drieaf_transforms_crudesteel_Region6Liaoning,0.0,4.9482508960488296e8,6.814173367341892e7,0.0,0.0,0.0,5.629668232783018e8
Region7Jilin_drieaf_transforms_crudesteel_Region7Jilin,0.0,2.897690830516165e9,3.990373184161034e8,0.0,0.0,0.0,3.296728148932268e9
Region8Heilongjiang_drieaf_transforms_crudesteel_Region8Heilongjiang,0.0,2.5858751531722307e9,3.5609757811770165e8,0.0,0.0,0.0,2.9419727312899323e9
Region9Shanghai_drieaf_transforms_crudesteel_Region9Shanghai,0.0,1.223988263393944e6,168553.86684248198,0.0,0.0,0.0,1.392542130236426e6
Region10Jiangsu_drieaf_transforms_crudesteel_Region10Jiangsu,0.0,634350.6788174539,87355.62508773989,0.0,0.0,0.0,721706.3039051938
Region11Zhejiang_drieaf_transforms_crudesteel_Region11Zhejiang,0.0,1.5014814257970762e6,206767.0972665248,0.0,0.0,0.0,1.708248523063601e6
Region12Anhui_drieaf_transforms_crudesteel_Region12Anhui,0.0,144922.8283605807,19957.138352120946,0.0,0.0,0.0,164879.96671270163
Region13Fujian_drieaf_transforms_crudesteel_Region13Fujian,0.0,5.5854531026776085e9,7.691656420896916e8,0.0,0.0,0.0,6.3546187447673e9
Region14Jiangxi_drieaf_transforms_crudesteel_Region14Jiangxi,0.0,189584.18340984712,26107.396746842172,0.0,0.0,0.0,215691.58015668928
Region15Shandong_drieaf_transforms_crudesteel_Region15Shandong,0.0,305722.2993964764,42100.628972016384,0.0,0.0,0.0,347822.9283684928
Region16Henan_drieaf_transforms_crudesteel_Region16Henan,0.0,71642.80416221882,9865.839431741395,0.0,0.0,0.0,81508.64359396021
Region17Hubei_drieaf_transforms_crudesteel_Region17Hubei,0.0,109972.75989487907,15144.208880094237,0.0,0.0,0.0,125116.9687749733
Region18Hunan_drieaf_transforms_crudesteel_Region18Hunan,0.0,129938.47481839951,17893.66208588114,0.0,0.0,0.0,147832.13690428066
Region19Guangdong_drieaf_transforms_crudesteel_Region19Guangdong,0.0,631849.1383998569,87011.1411387847,0.0,0.0,0.0,718860.2795386416
Region20Guangxi_drieaf_transforms_crudesteel_Region20Guangxi,0.0,938441.6588842865,129231.60714990446,0.0,0.0,0.0,1.067673266034191e6
Region22Chongqing_drieaf_transforms_crudesteel_Region22Chongqing,0.0,104809.9229195903,14433.241167340782,0.0,0.0,0.0,119243.16408693108
Region23Sichuan_drieaf_transforms_crudesteel_Region23Sichuan,0.0,2.0288200989967098e9,2.7938623517959344e8,0.0,0.0,0.0,2.3082063341763034e9
Region24Guizhou_drieaf_transforms_crudesteel_Region24Guizhou,0.0,72704.80949296257,10012.086834970436,0.0,0.0,0.0,82716.896327933
Region25Yunnan_drieaf_transforms_crudesteel_Region25Yunnan,0.0,1.7800107576053877e9,2.4512301726135036e8,0.0,0.0,0.0,2.025133774866738e9
Region27Shaanxi_drieaf_transforms_crudesteel_Region27Shaanxi,0.0,103328.28757891829,14229.207049212668,0.0,0.0,0.0,117557.49462813095
Region28Gansu_drieaf_transforms_crudesteel_Region28Gansu,0.0,107847.70137671863,14851.569774626596,0.0,0.0,0.0,122699.27115134522
Region29Qinghai_drieaf_transforms_crudesteel_Region29Qinghai,0.0,240622.70717356398,33135.846933490386,0.0,0.0,0.0,273758.55410705437
Region30Ningxia_drieaf_transforms_crudesteel_Region30Ningxia,0.0,94508.86653405897,13014.695795402915,0.0,0.0,0.0,107523.56232946189
Region31Xinjiang_drieaf_transforms_crudesteel_Region31Xinjiang,0.0,5.857750137985654e8,8.066633204609285e7,0.0,0.0,0.0,6.664413458446583e8
steelscrap_source_Region1Beijing_Region1Beijing_scrapeaf100_transforms,1455.5508796774345,0.0,0.0,0.0,0.0,0.0,1455.5508796774345
Region1Beijing_scrapeaf100_transforms_crudesteel_Region1Beijing,0.0,142444.49002628174,19626.437600576337,0.0,0.0,0.0,162070.9276268581
steelscrap_source_Region2Tianjin_Region2Tianjin_scrapeaf100_transforms,2761.4879524523726,0.0,0.0,0.0,0.0,0.0,2761.4879524523726
