time,Region1Beijing_Hydropower_storage,Region2Tianjin_Hydropower_storage,Region3Hebei_Hydropower_storage,Region4Shanxi_Hydropower_storage,Region5Innermongolia_Hydropower_storage,Region6Liaoning_Hydropower_storage,Region7Jilin_Hydropower_storage,Region8Heilongjiang_Hydropower_storage,Region9Shanghai_Hydropower_storage,Region10Jiangsu_Hydropower_storage,Region11Zhejiang_Hydropower_storage,Region12Anhui_Hydropower_storage,Region13Fujian_Hydropower_storage,Region14Jiangxi_Hydropower_storage,Region15Shandong_Hydropower_storage,Region16Henan_Hydropower_storage,Region17Hubei_Hydropower_storage,Region18Hunan_Hydropower_storage,Region19Guangdong_Hydropower_storage,Region20Guangxi_Hydropower_storage,Region21Hainan_Hydropower_storage,Region22Chongqing_Hydropower_storage,Region23Sichuan_Hydropower_storage,Region24Guizhou_Hydropower_storage,Region25Yunnan_Hydropower_storage,Region26Tibet_Hydropower_storage,Region27Shaanxi_Hydropower_storage,Region28Gansu_Hydropower_storage,Region29Qinghai_Hydropower_storage,Region30Ningxia_Hydropower_storage,Region31Xinjiang_Hydropower_storage,Region1Beijing_battery_storage,Region2Tianjin_battery_storage,Region3Hebei_battery_storage,Region4Shanxi_battery_storage,Region5Innermongolia_battery_storage,Region6Liaoning_battery_storage,Region7Jilin_battery_storage,Region8Heilongjiang_battery_storage,Region9Shanghai_battery_storage,Region10Jiangsu_battery_storage,Region11Zhejiang_battery_storage,Region12Anhui_battery_storage,Region13Fujian_battery_storage,Region14Jiangxi_battery_storage,Region15Shandong_battery_storage,Region16Henan_battery_storage,Region17Hubei_battery_storage,Region18Hunan_battery_storage,Region19Guangdong_battery_storage,Region20Guangxi_battery_storage,Region21Hainan_battery_storage,Region22Chongqing_battery_storage,Region23Sichuan_battery_storage,Region24Guizhou_battery_storage,Region25Yunnan_battery_storage,Region26Tibet_battery_storage,Region27Shaanxi_battery_storage,Region28Gansu_battery_storage,Region29Qinghai_battery_storage,Region30Ningxia_battery_storage,Region31Xinjiang_battery_storage,Region1Beijing_pumpedhydro_storage,Region2Tianjin_pumpedhydro_storage,Region3Hebei_pumpedhydro_storage,Region4Shanxi_pumpedhydro_storage,Region5Innermongolia_pumpedhydro_storage,Region6Liaoning_pumpedhydro_storage,Region7Jilin_pumpedhydro_storage,Region8Heilongjiang_pumpedhydro_storage,Region9Shanghai_pumpedhydro_storage,Region10Jiangsu_pumpedhydro_storage,Region11Zhejiang_pumpedhydro_storage,Region12Anhui_pumpedhydro_storage,Region13Fujian_pumpedhydro_storage,Region14Jiangxi_pumpedhydro_storage,Region15Shandong_pumpedhydro_storage,Region16Henan_pumpedhydro_storage,Region17Hubei_pumpedhydro_storage,Region18Hunan_pumpedhydro_storage,Region19Guangdong_pumpedhydro_storage,Region20Guangxi_pumpedhydro_storage,Region21Hainan_pumpedhydro_storage,Region22Chongqing_pumpedhydro_storage,Region23Sichuan_pumpedhydro_storage,Region24Guizhou_pumpedhydro_storage,Region25Yunnan_pumpedhydro_storage,Region26Tibet_pumpedhydro_storage,Region27Shaanxi_pumpedhydro_storage,Region28Gansu_pumpedhydro_storage,Region29Qinghai_pumpedhydro_storage,Region30Ningxia_pumpedhydro_storage,Region31Xinjiang_pumpedhydro_storage
1,2.0590622659068957e7,0.0,2.0583121053691007e7,2.0584294103578795e7,2.0593745464501392e7,2.059947005493345e7,2.055517445098803e7,2.056698779047653e7,2.0600235656775832e7,2.0588714372140735e7,2.0590802018114395e7,2.058344750822715e7,2.0597889741696395e7,2.0590395360062268e7,2.0584524113867927e7,2.06088316947577e7,2.050703922164469e7,2.0601244129597872e7,2.058094073109923e7,2.056192284475832e7,2.0765654133760598e7,2.0604460641965598e7,2.0461547085099254e7,2.0506781619257342e7,2.044672789923599e7,2.06644994036516e7,2.060126948946558e7,2.057008472795777e7,2.0592240628978513e7,2.060774211423696e7,2.0599068175894756e7,86.23368705289019,22.20610611341876,3428.8649064366814,558.4142243073735,1724.1656348758333,88.19171296162361,123.17283158739068,63.43290349905388,2966.246886347643,6018.021883517911,2339.8253185284952,2724.636095290386,587.2599431807408,7.320058055073977,7163.003367311504,7.818540757963262,7.5035721596266365,3040.740158990265,25.113540713789135,24.025061959441924,5.477150959726491,7.222026292437998,2170.639838607941,6.101626571573598,5.987892594862043,692.307504214999,1450.9034396080276,3462.3461557282185,2481.9226866445647,2357.5058736587766,12268.03388470535,3545.8139158815047,0.0,19650.324922390675,4805.235745733982,4642.537485840421,12171.309012456097,6835.923418026403,4624.773493077027,4797.036078872626,13271.115207471941,30879.635034694347,18897.080381320706,15392.613150617117,4792.305434738373,16217.272918814595,11224.718612387087,4802.709454019609,4800.337236022498,43634.19713360048,0.0,2381.4567442980842,4804.447557328615,0.0,0.0,0.0,537.2683922721352,5627.715352871808,0.0,0.0,0.0,5103.172486217405
2,2.0590984983479436e7,0.0,2.058553878876614e7,2.058452668470173e7,2.0594426077038966e7,2.060124094829177e7,2.0556502546208054e7,2.0567352588657964e7,2.0602790633116063e7,2.0590138246916752e7,2.0595328613521483e7,2.0585715253835913e7,2.0601829114562433e7,2.059188134688921e7,2.058631234573019e7,2.0610705284335215e7,2.0514062051986977e7,2.0603502478265546e7,2.058611847973989e7,2.056558207263012e7,2.07659617539543e7,2.0605636069987822e7,2.0443433341663085e7,2.05115617060959e7,2.0439821442629684e7,2.0663998818064384e7,2.060143123932501e7,2.056857426665298e7,2.058743418626673e7,2.0607767788220156e7,2.06003925691748e7,84.85470199472088,22.085970500499812,3425.022056020312,550.8760243511928,1721.0040404567098,86.26142335636962,120.52815041479755,61.12502830452526,2965.7533236295485,6016.228746814154,2337.7076256079467,2721.7254096567945,583.9714062439486,7.33241506100461,7160.193404768418,7.696283163898779,7.4480772972207925,3037.281551136921,25.372586728115934,23.74156932008495,5.5524354218663365,7.169095514846336,1991.8498084665835,6.078252512034724,5.928772736626701,635.5400248274201,1434.850913392903,3329.1589646276902,2264.5783229219455,2347.40158130465,12193.080929900183,3545.298358528444,0.0,19649.494769033718,4803.286736224722,4639.805045631283,12170.49610343053,6834.091458241572,4622.225131961308,4796.902039648846,13270.90107009859,30879.144609068007,18896.530058307544,15391.993693420613,4791.651290009588,16216.907806790014,11223.686886589277,4801.711350658399,4799.569326329298,43634.519170807616,0.0,2381.7991969164914,4801.971026011302,0.0,0.0,0.0,519.4353911654166,5624.799214896392,0.0,0.0,0.0,5037.053122347194
3,2.0591346970110435e7,0.0,2.058795775463948e7,2.0584697642914183e7,2.059510674754209e7,2.0603003840845227e7,2.05579136827815e7,2.056788239775044e7,2.06053589963585e7,2.059156291018099e7,2.0599855712403473e7,2.058798322577234e7,2.0605771143581547e7,2.059336759905214e7,2.058810091026613e7,2.0612592663694326e7,2.0522120362295337e7,2.0605932257232394e7,2.0591301925749373e7,2.057030009548626e7,2.0766268883979265e7,2.0606860075574297e7,2.0426541627515428e7,2.051678536923921e7,2.0433895740645852e7,2.066351817056966e7,2.0602527298160203e7,2.0568812279868826e7,2.0582284764927868e7,2.0607786795259897e7,2.060108729027684e7,83.44750355250906,21.91385840577125,3421.236910086348,543.1580972777027,1717.830745091371,84.2297260018327,117.76758325237947,58.981842992425946,2965.3213936564803,6014.6806299966265,2335.602878964036,2718.8609576083645,580.6941770154497,7.349457624196521,7157.281857797665,7.571514962452033,7.355973619815928,3033.801583191029,25.73986356488214,23.472655246800983,5.599914657003242,7.118931480040475,1811.802325192856,6.062320828337068,5.876622965111148,579.1877201019021,1419.1142532491476,3203.4167361495315,2047.1561317544229,2337.071706968078,12117.39251168142,3544.843622435035,0.0,19648.725507424453,4801.409939932531,4637.171676390508,12169.756355763577,6832.299390413665,4619.894204604711,4796.843258025455,13270.783840547505,30878.73074845113,18896.088642975294,15391.479076962589,4791.063525824641,16216.549106677132,11222.719101953926,4800.704938061071,4798.850295885895,43634.85258262331,0.0,2382.168259883681,4799.57346459874,0.0,0.0,0.0,501.6988166878248,5621.926533891351,0.0,0.0,0.0,4971.829950085421
4,2.0591708437688872e7,0.0,2.0590375675642494e7,2.0584878793790214e7,2.0595785072149895e7,2.060476160058069e7,2.0559527670417335e7,2.0568426954994623e7,2.0607927695951007e7,2.059298774186914e7,2.060438280789612e7,2.059025124875157e7,2.0609713800107248e7,2.0594853939360745e7,2.0589889397327013e7,2.061448192610898e7,2.0531541036212966e7,2.060849766691849e7,2.0596478191308763e7,2.0575304565581456e7,2.0766572471844852e7,2.0608128683389593e7,2.0410394380764436e7,2.052221424906139e7,2.042823224960266e7,2.0663051503193006e7,2.060372722625964e7,2.0569513634142306e7,2.0576478218551733e7,2.060779899891811e7,2.0601143343587596e7,82.01175401662967,21.759201400231984,3417.406886770652,535.3286052204882,1714.6107628922546,82.16014051213136,114.89503834395815,56.86689374430149,2964.9137679139303,6013.463635721584,2333.5791861587245,2716.052570181524,577.4387471483133,7.379523878203885,7154.268774907708,7.448990453966498,7.270428461280365,3030.309749962442,26.252312105452496,23.220648300205116,5.623158503635702,7.076523574768466,1628.1998641257562,6.052609870510838,5.826331942066031,522.3683962218688,1403.3805933431813,3079.097139759199,1824.1702833387778,2326.5959415865223,12040.770510874294,3544.4086084075534,0.0,19648.009968944927,4799.518343152697,4634.570831000938,12169.060207445058,6830.512175737461,4617.644207018138,4796.822482798314,13270.732334708524,30878.38096016719,18895.7975623839,15391.020003953785,4790.519574410028,16216.242058483555,11221.800490786294,4799.773870255807,4798.152235829524,43635.155588330745,0.0,2382.5503830989583,4797.211380828326,0.0,0.0,0.0,484.03458273778983,5619.098115158424,0.0,0.0,0.0,4906.789773842657
5,2.0592069729410842e7,0.0,2.0592793661514137e7,2.0585055482334245e7,2.059645396231822e7,2.06065038675751e7,2.0561100560694627e7,2.0568953226655763e7,2.06104935187144e7,2.0594412342972923e7,2.0608909623923548e7,2.059251906014835e7,2.0613655408890147e7,2.0596340158708557e7,2.0591677513984416e7,2.0616366174275067e7,2.0538524481442504e7,2.0611148131962284e7,2.0601662633944914e7,2.0580605860307347e7,2.0766873521777984e7,2.0608886183627125e7,2.039373375313897e7,2.0527555450920854e7,2.0421228506461766e7,2.0662584286873795e7,2.0604936707142923e7,2.0570002180193525e7,2.057041339381155e7,2.06078011913946e7,2.0598978315456685e7,80.53516866674978,21.57167117392464,3413.6050920589937,527.4326060789276,1711.3102024760576,80.06841063877168,111.98881596936748,54.567100356152444,2964.4447322830597,6012.339090890267,2331.702256889992,2713.2303901161035,574.3070388614947,7.405749192782036,7151.179993951153,7.319186664111955,7.162249000963064,3026.817561662085,26.903860068241393,23.033949291834652,5.684318038107461,7.014489040018007,1440.3656749071101,6.067025636228321,5.795167554259905,464.3718560481979,1387.6852579691777,2951.4405016455207,1594.7869882814334,2315.9619511320834,11962.793434627542,3543.9267714646126,0.0,19647.22336270075,4797.591933483937,4631.918275645693,12168.253021068938,6828.658618245225,4615.278767376169,4796.742813854246,13270.60997970955,30877.951084438664,18895.334709218365,15390.489996937502,4789.9203280488855,16215.885415140112,11220.79718851307,4798.804340366552,4797.415699063489,43635.38751606712,0.0,2382.893082389089,4794.829665574259,0.0,0.0,0.0,466.1913252734025,5616.241973195808,0.0,0.0,0.0,4841.481180923145
6,2.0592430767338157e7,0.0,2.059520215526859e7,2.05851663205514e7,2.0597101151427433e7,2.0608045865900084e7,2.0562383018211026e7,2.0568974921237774e7,2.0613055804637477e7,2.0595835999343514e7,2.0613436029812526e7,2.059478656825702e7,2.0617594238520898e7,2.0597825811482336e7,2.0593320305530727e7,2.0618237081777863e7,2.054302502899842e7,2.061357927516803e7,2.060684203481918e7,2.0585202591501035e7,2.0767171729673848e7,2.0608389500271622e7,2.037432798081249e7,2.0532966439464804e7,2.041293575528919e7,2.0662068456800506e7,2.060598596615035e7,2.0569696232335173e7,2.0564147185725678e7,2.0607784030191224e7,2.0595212786858484e7,79.05023989524867,21.363955722490097,3409.6769672350706,519.6151290058694,1707.9423613977335,77.64516681304636,109.16778545170742,51.90553043727242,2963.9542414227994,6010.9741265322455,2329.773138348979,2710.462046203706,570.875409312185,7.430934500999902,7146.411553700167,7.195362678388666,7.03969332304711,3023.394604026307,27.517263018399515,22.861241849446476,5.784196699309721,6.928056430444762,1245.3461263533131,6.105083300953022,5.760549069455718,403.37113950239035,1372.012507834244,2820.9714627801372,1358.1455116752948,2305.289131876473,11883.066927749454,3543.352309814973,0.0,19646.34112601286,4795.54141728334,4629.066427058469,12167.284764602144,6826.657777494759,4612.556386519582,4796.595805411831,13270.374544959099,30877.449020734264,18894.87033919387,15389.876467221593,4789.188199898954,16215.183736061808,11219.68813612408,4797.7288431305105,4796.592305484968,43635.60164615827,0.0,2383.2165629473234,4792.300915396231,0.0,0.0,0.0,447.75393633213525,5613.199271914312,0.0,0.0,0.0,4771.557355671648
7,2.059278949900019e7,0.0,2.059753453067157e7,2.0584756298848856e7,2.0595838948055133e7,2.0609429264524117e7,2.0560776643135272e7,2.0568145519099876e7,2.0615586454761613e7,2.059725373688126e7,2.061795978281138e7,2.0597008265442338e7,2.0621527121520393e7,2.0598911444406755e7,2.0592787624138176e7,2.0620042391484287e7,2.0544437122640178e7,2.06158635885214e7,2.0611988541473143e7,2.058756070560494e7,2.0767465971685518e7,2.060673146243578e7,2.03529934739012e7,2.0537952283751767e7,2.0403572582924362e7,2.066140280737722e7,2.0606077711189035e7,2.0567756803621978e7,2.055766692260626e7,2.060777202676841e7,2.059030466846244e7,77.61931520104581,21.210791725483713,3405.916074194343,511.6220678539716,1703.8199212196678,75.25253453192482,106.32572009122119,48.426574207080854,2963.6177183064115,6009.553589291,2327.898816647358,2707.0006782811456,567.1946652292957,7.356894982580523,7141.473474104069,7.125622291142219,6.931627011594549,3020.1062411692974,28.180304004106667,22.689207245935165,5.901511585457901,6.822456717918044,1032.3127322755522,6.1207197383784955,5.7078092288429465,337.10998126313655,1356.0873760128923,2680.3419302283783,1107.8784001648962,2294.4643028825385,11048.681469542475,3542.768948043119,0.0,19645.536967733147,4793.467971866895,4625.800556299674,12166.365821384588,6824.683672694916,4609.466789663311,4796.500724047998,13270.170677469487,30877.05840316609,18894.32891751716,15389.454599608222,4788.263608414569,16214.608396989735,11218.609055549108,4796.714618591235,4795.8010595247315,43635.867183741604,0.0,2383.5673559130255,4789.839010417788,0.0,0.0,0.0,429.5420452050138,5610.144222985169,0.0,0.0,0.0,4555.154715403385
8,2.0593145754470624e7,0.0,2.0598662742414545e7,2.0584085973949637e7,2.059455787979527e7,2.0609533320015024e7,2.0556939094203983e7,2.056730192081798e7,2.061798614526385e7,2.05983371001111e7,2.0620182623075817e7,2.0594625246441178e7,2.0624479538640115e7,2.0596970600915417e7,2.0590308856072832e7,2.0621705747770336e7,2.0538414668908272e7,2.0615875358316917e7,2.0615199377272528e7,2.0587963246580675e7,2.0767734897186924e7,2.0603675715488225e7,2.033368880169125e7,2.0536632299119513e7,2.0392225444410853e7,2.0660596017974116e7,2.0605182328966256e7,2.056500299667056e7,2.0551486563486755e7,2.0607800923123613e7,2.058538836235255e7,76.28272026470492,21.217473398826414,3402.2836124031382,503.0822109506867,1698.6610577215906,73.11532800624451,102.91728347168393,43.57871391763525,2963.4586891831227,6007.51870786068,2325.9675270030893,2703.007836035956,563.3242180961007,7.309157767432629,7136.550036324244,7.101016360732725,6.8456536363890965,3016.917734175631,28.990747486482398,22.610594138238216,6.119771322897161,6.693983256898568,792.6423585902481,6.1103305560128955,5.629218480360669,260.53315597305624,1340.3997142152712,2528.031763693892,838.215255706753,2284.1322634225253,8633.018269079495,3542.206148824424,0.0,19644.77999109497,4791.292192942706,4621.851261092462,12165.528340361145,6822.441390991052,4605.716223914823,4796.434845673791,13270.001571426841,30876.82599644905,18893.800563885765,15389.116039990502,4787.341298170867,16214.175682905972,11217.573083599602,4795.760522861014,4795.069252548671,43636.34498188175,0.0,2383.9375293145704,4787.37629324843,0.0,0.0,0.0,410.92562094454746,5607.094710742219,0.0,0.0,0.0,4301.181045639348
9,2.0593156678888563e7,0.0,2.059611292176458e7,2.0583404975515068e7,2.0593347451908328e7,2.0609868491612546e7,2.055612873459345e7,2.0567822770108998e7,2.061972440182527e7,2.059844084295716e7,2.0614361780933514e7,2.059169239726109e7,2.061863740469718e7,2.0594809799313188e7,2.058781210838043e7,2.062213602821351e7,2.0527422269196257e7,2.0613459093014836e7,2.060681888212505e7,2.0580062877311368e7,2.0767080904857863e7,2.0600302185301103e7,2.0310678759162866e7,2.053164261620212e7,2.03764726847678e7,2.0659574516012292e7,2.060278106793023e7,2.056151548038495e7,2.054523029104214e7,2.0607704081353534e7,2.058046951085139e7,74.81733088391951,20.65402654004343,3398.9108953565255,494.5381516139544,1695.1211765412475,70.73155046167187,100.05193369128072,40.89743317008491,2962.8235797060183,6005.3792183100995,2323.5139547331555,2699.3745899178157,558.4758891635119,7.07560025522564,7130.907730749297,7.102481831127547,6.65661220687777,3013.8970347328977,27.092367125824588,22.389790485953828,6.140524276612134,6.59145681378141,499.78733595004803,6.092433090715192,5.526984504917339,161.06264115550331,1324.8976600559433,1501.1041082781887,522.9560385461275,2273.7808912433084,5199.51776517466,3541.5008404229106,0.0,19643.954903723097,4789.066143904991,4618.779942146159,12164.551087544874,6820.328740943744,4603.078697126642,4796.178431919531,13269.672585216305,30876.299862888343,18893.062925284696,15388.410598903074,4786.061947823858,16213.564991216423,11216.45556399363,4794.677125231696,4794.268840347871,43635.7459512709,0.0,2383.5718607283375,4784.912659114175,0.0,0.0,0.0,391.7867970494255,5603.937349310875,0.0,0.0,0.0,4033.175391537634
10,2.0592588044702273e7,0.0,2.0598514933238715e7,2.0583385397344775e7,2.059401293740264e7,2.0608561655401014e7,2.0558731080482397e7,2.056839807137256e7,2.061690541222358e7,2.0599428894064084e7,2.060771602983182e7,2.0591891078826837e7,2.061280092853785e7,2.0592654563106775e7,2.0589573321704403e7,2.062352345965008e7,2.051999801979099e7,2.0610930207795188e7,2.0598438156412765e7,2.0570072891106013e7,2.076642637122495e7,2.059677058851228e7,2.0338719029849105e7,2.0521867224318407e7,2.0364488984902926e7,2.065927292681358e7,2.0601228262545954e7,2.0558468494394165e7,2.054033582197295e7,2.0607738258738726e7,2.05755563594961e7,72.71731319415417,19.804887629703074,3396.039513891474,486.73384093860636,1692.1776156762335,68.7864865053497,97.8749268409261,39.74777216150729,2963.360240019132,6003.7830275983415,2321.13538372139,2696.2543507653218,554.5684317467272,7.029458599427979,7126.3847615192235,7.073959341028642,6.51794805424928,3010.7137080149,25.591407712028204,22.13472002250242,6.106153036546172,6.339155598054726,11.828229386844226,6.0247067261406,5.3609306072641365,15.9109318273809,1309.2926959579436,1314.6421761683027,35.904034462797355,2264.027990337668,102.74781770900334,3540.531589377097,0.0,19642.95332045007,4786.930475794542,4616.075875544864,12163.531908570962,6818.587662153363,4601.636073391398,4795.922314210815,13269.275966391026,30875.5755502209,18892.176549287426,15387.690069740627,4784.802940199164,16212.871635871628,11215.194351533846,4793.556403252389,4793.42412122432,43634.93696725729,0.0,2383.230668216568,4782.246769414517,0.0,0.0,0.0,372.40536502374397,5600.863066252564,0.0,0.0,0.0,3761.1356526463533
