Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region12Anhui_to_Hehuai_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Hehuai,1,0,26.635700000000003,0,15.493540110688208,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region17Hubei_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region17Hubei,1,0,27.738200000000003,0,16.671796889715196,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region14Jiangxi_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region14Jiangxi,1,0,28.5439,0,19.13078988945484,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region15Shandong_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region15Shandong,1,0,39.6767,0,25.960033786697384,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_BohaiOnshore_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_BohaiOnshore,1,0,15.2194,0,12.215414870576856,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Erlian_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Erlian,1,0,35.364000000000004,0,16.572254694271088,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region3Hebei_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region3Hebei,1,0,23.367400000000004,0,18.28388090353012,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region5Innermongolia_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region5Innermongolia,1,0,45.737300000000005,0,18.333178866560456,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region2Tianjin_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region2Tianjin,1,0,9.723700000000001,0,8.800414798398018,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Region24Guizhou_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Region24Guizhou,1,0,24.1766,0,15.41634270248413,0.08,25,15,0.0
