time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
1,412.30112422811396,-0.01370486429008419,39.82693637307754,-0.010618949065686868,0.18450877059887644,-78.27436515784868,0.08283965655097392,-0.18127244238820328,0.032819055777556165,359.61632455896523,-750.4003072027955,135.85865128270876,0.011995280802575895,-0.04491167636535096,0.008131179744031106,-3560.152104324276,-3999.904028135211,0.0,5402.721643852228,0.0,5147.981941896372
2,0.013738474088045488,-488.9411299824335,0.009426956515138881,-106.43489388637202,0.18289754733586405,-63.23845639838511,0.08257608877281153,-0.1810083818670618,0.03277124808622803,359.61607141773646,-750.4001692637363,135.85862630908554,0.011434563317428655,-0.042943088558617455,0.007774770395864192,-4041.2916381283994,-3999.900628744215,0.0,5908.103503472238,0.0,5074.944822705685
3,0.012350319266188726,-1296.9434999061007,0.010519591526524595,-372.6841351948754,0.18130865862972206,-59.16035586749666,0.08357106306374573,-0.18362456320210171,0.033244903099795955,359.61677260504206,-750.4023858729788,135.85902762227695,0.011237546099775408,-0.042331177269446484,0.007663984936885209,-4538.41175860917,-3999.9007323770984,0.0,6580.471051692695,0.0,5027.868611025005
4,0.012724869385423145,-1089.8843039139053,0.010080980557999475,-345.79285457569637,0.1809661147986343,-54.27024695781718,0.08593640117544653,-0.1906599315777881,0.03451864412791559,359.61913069264875,-750.4096716473088,135.86034669886115,0.011398959231233852,-0.04309095353538073,0.007801541088949181,-4166.77658135318,-3999.9006147213463,0.0,6136.942597820936,0.0,5000.978566719293
5,0.14405671899466793,-0.007398718032376473,0.16150621051555913,-0.006330003660909917,0.17983168553328055,-64.87733457960908,0.583753341338091,-1.8164995299507698,0.3288740340668489,1395.2310786187022,-4125.334937253026,746.8846098342138,0.011809753561388097,-0.044881119851529816,0.00812564754113114,-3037.359841048124,-3999.9116610911665,0.0,3618.9745608675416,0.0,5008.597369303759
6,0.07837029932257326,-0.008292407080323048,0.06892713280515247,-0.006980889637675593,0.18125967296800724,-83.14159301304021,0.7397690595623246,-1.7987378417012039,0.3256583117558,2855.247733670318,-6253.988953260818,1132.2736626990136,0.012687154667137232,-0.04861008362699593,0.008800769851655451,-3161.801369541277,-3999.91199819834,0.0,2318.492603290165,0.0,5042.859657435578
7,0.054431929130649294,-0.008801473080468898,0.04644633142128704,-0.0071839582790521744,0.19561031305641566,-97.92725279071843,0.8497244562492002,-1.9946305499522181,0.36112434086539047,2732.7229619635746,-5801.482224555824,1050.3481180688768,0.014728614553775863,-0.05741936654596318,0.010395674977161023,-3426.9792278563855,-3999.9118547009675,0.0,2781.217906172312,0.0,5093.62878266429
8,0.04123500829731652,-0.00984717865978426,0.03402805408787414,-0.00792701517338547,0.039777724906689335,-0.003996319978212922,0.9849050079418273,-2.3133976293423344,0.4188365580161299,2292.5089845660764,-4849.626201218332,878.0162649170549,0.032020389066857856,-0.13662284528984936,0.024735325022286942,-3727.4558363695996,-3938.813220533256,0.0,3588.921688781233,0.0,4967.747561263234
9,0.037554358129770544,-0.009472404473092545,0.028479137486058487,-0.008102192985066342,0.012825349836297387,-0.004442399424965416,56.40076958610981,-184.4734823834068,33.39859841936485,2728.8335453589434,-5749.587378417219,1040.9526477615743,0.04007818887046027,-0.15783291279135744,0.028575370311062866,-3747.226464344191,-2952.239752841683,1294.2435759112855,3121.918808776059,165.45464955151206,4035.193415453135
10,1370.4278799903607,-0.006915489050296915,692.1770829546653,-0.005442466399507561,144.73840619130144,-0.0035297068025160485,1520.6073727238609,-4589.442383592326,830.9104439186333,4095.5838613211085,-8592.57416255245,1555.6703876129193,0.047523835236391185,-0.18387268652886812,0.03328982539020908,-2754.568886325687,392.72562959149434,3121.0281598399656,0.14324098563425072,348.6709544978677,607.2121614314096
