time,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
1,0.0,0.0,0.0,1783.406101934288
2,0.0,0.0,0.0,1752.0006804345894
3,0.0,0.0,0.0,1893.4458020030715
4,0.0,0.0,0.0,1746.5832441427256
5,0.0,0.0,0.0,1427.290907933564
6,0.0,0.0,0.0,884.271597298437
7,0.0,0.0,0.0,207.17212972430843
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1503.689939168542
21,0.0,0.0,0.0,1488.4742229658523
22,0.0,400.54908845725186,0.0,2926.077191737845
23,0.0,103.79122086827738,0.0,3456.1485992190705
24,0.0,0.0,0.0,2150.398619093675
25,0.0,0.0,0.0,1979.8992881011864
26,0.0,0.0,0.0,1806.2515134797122
27,0.0,19.67253398581397,0.0,4622.343542081772
28,0.0,0.0,0.0,4908.284183964425
29,0.0,0.0,0.0,2676.259898002555
30,0.0,0.0,0.0,3888.630586018954
31,0.0,0.0,0.0,3106.710004170074
32,0.0,0.0,0.0,1428.3151875466147
33,0.0,0.0,0.0,2743.835605414589
34,0.0,323.9925052853514,0.0,5186.9651065640755
35,0.0,832.1386359847456,0.0,4562.4347038034775
36,0.0,476.3692939114553,0.0,3985.8871357535563
37,0.0,1348.2067098213456,0.0,4757.852873788017
38,0.0,1290.8369435788181,0.0,5457.995779363266
39,0.0,352.853496546255,0.0,3654.7305828162316
40,0.0,690.6903839999213,0.0,4010.3144860360735
41,0.0,0.0,0.0,1595.7319333184823
42,0.0,0.0,0.0,448.9071476374256
43,0.0,0.0,0.0,957.8796767473814
44,0.0,0.0,0.0,1108.8250860181824
45,0.0,0.0,0.0,1406.7276393038692
46,0.0,0.0,0.0,1096.522818619097
47,0.0,0.0,0.0,729.8078534176766
48,0.0,0.0,0.0,986.5701261951162
49,0.0,0.0,0.0,1377.9399394772854
50,0.0,0.0,0.0,1164.3669802987133
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
