origin_id,dest_id,origin_province,dest_province,haversine_distance_km,lcp_cost_surface_value,actual_path_distance_km,path_length_cells
0,1,Beijing,Tianjin,102.7973361486512,592.1264381779231,138.9092370131596,174
0,2,Beijing,Hebei,263.8130932591193,1114.7682879869694,333.81869617566684,393
1,0,Tianjin,Beijing,102.7973361486512,592.1264381779229,138.90923701315964,174
1,2,Tianjin,Hebei,286.2536259255754,1245.059760150988,393.3054006336764,503
2,3,Hebei,Shanxi,173.4249907391186,703.7451793194834,245.01532597918649,347
2,0,Hebei,Beijing,263.8130932591193,1114.7682879869694,333.8186961756669,393
3,2,Shanxi,Hebei,173.4249907391186,703.7451793194838,245.01532597918649,347
3,4,Shanxi,Inner Mongolia,334.52899155959443,622.1459910314594,353.695085514203,333
4,3,Inner Mongolia,Shanxi,334.52899155959443,622.1459910314593,353.69508551420313,333
4,2,Inner Mongolia,Hebei,388.47897083159734,987.9505283048691,483.2599759474602,584
5,6,Liaoning,Jilin,278.13044022025167,832.9109398591943,326.0869285548887,367
5,7,Liaoning,Heilongjiang,509.4737823376588,1211.202588506202,572.6521109264443,607
6,7,Jilin,Heilongjiang,233.53826904073708,565.1859977198473,251.93002666202563,246
6,5,Jilin,Liaoning,278.13044022025167,832.9109398591943,326.0805929050237,367
7,6,Heilongjiang,Jilin,233.53826904073708,565.1859977198474,251.92418822183004,246
7,5,Heilongjiang,Liaoning,509.4737823376588,1211.2025885062026,572.6412029616489,607
8,10,Shanghai,Zhejiang,164.87421005174875,866.5528374351172,205.001888755845,256
8,9,Shanghai,Jiangsu,269.66023009890387,1325.3669884711026,393.6974567454548,504
9,11,Jiangsu,Anhui,144.52421397488814,698.6034728577927,180.94521643571778,255
9,10,Jiangsu,Zhejiang,236.94895363119628,768.7356600985895,280.8568440205347,302
10,8,Zhejiang,Shanghai,164.87421005174875,866.5528374351171,205.0020259205057,256
10,9,Zhejiang,Jiangsu,236.94895363119628,768.73566009859,280.856706380779,302
11,9,Anhui,Jiangsu,144.52421397488814,698.6034728577928,180.94624339031208,255
11,16,Anhui,Hubei,316.2829488463738,1135.1306061604937,396.25701074233075,509
12,13,Fujian,Jiangxi,446.4316489821838,1510.8474562060821,508.41101264114906,607
12,10,Fujian,Zhejiang,474.491191382051,1514.0220470949143,505.7493592807832,545
13,16,Jiangxi,Hubei,260.09669123118704,854.1545784061357,282.57143487609653,302
13,17,Jiangxi,Hunan,289.80261002494814,1029.1405481164093,350.85985498365346,486
14,2,Shandong,Hebei,277.4316239643172,1103.1388645753204,367.03077443224254,468
14,1,Shandong,Tianjin,300.10562005664815,877.5718635266919,316.1872684967249,306
15,3,Henan,Shanxi,360.5084929405637,942.0049808123381,395.2649401352526,392
15,2,Henan,Hebei,375.0619468406791,1003.7804145972274,396.1048281849183,396
16,13,Hubei,Jiangxi,260.09669123118704,854.1545784061353,282.57143487609653,302
16,17,Hubei,Hunan,294.4097745750181,829.4383613886358,313.2286738285635,326
17,13,Hunan,Jiangxi,289.80261002494814,1029.1405481164097,350.86010701047985,486
17,16,Hunan,Hubei,294.4097745750181,829.4383613886359,313.22906845088744,326
18,20,Guangdong,Hainan,457.1171999012133,5000175362.541307,10743.90936731418,13666
18,19,Guangdong,Guangxi,502.60222673196364,1682.2504942605433,590.0512627473868,796
19,20,Guangxi,Hainan,369.95993791210674,5000175657.3515835,10866.86231091517,13770
19,23,Guangxi,Guizhou,452.6206245078825,1097.9079533572567,485.92810439371067,513
20,19,Hainan,Guangxi,369.95993791210674,5000175657.351531,10865.86189616672,13770
20,18,Hainan,Guangdong,457.1171999012133,5000175362.541289,10742.964012687156,13666
21,22,Chongqing,Sichuan,264.1607887974761,895.8756481076158,305.6862372593963,423
21,23,Chongqing,Guizhou,330.01270070375625,840.8977982479229,345.3819355808345,378
22,21,Sichuan,Chongqing,264.1607887974761,895.8756481076164,305.6841444508634,423
22,23,Sichuan,Guizhou,511.5604661055209,1270.9294425151174,557.1756955323356,586
23,21,Guizhou,Chongqing,330.01270070375625,840.8977982479227,345.3819355808345,378
23,24,Guizhou,Yunnan,435.7603029457206,1291.8040663242489,517.7201213686708,654
24,23,Yunnan,Guizhou,435.7603029457206,1291.804066324249,517.7201213686708,654
24,19,Yunnan,Guangxi,625.9642828277098,1709.313530728723,728.5648487456024,957
25,22,Tibet,Sichuan,1243.823280398855,3631.4014198923114,1839.2739774196525,2363
25,24,Tibet,Yunnan,1248.4880728612527,4094.9235508354354,2226.033543649679,2553
26,15,Shaanxi,Henan,431.32484674153585,1588.7658534922882,544.9916126490434,784
26,27,Shaanxi,Gansu,506.3226352741695,1254.8697326542224,645.9599610344053,887
27,28,Gansu,Qinghai,194.47051892130693,456.00525919142314,232.39097379200916,352
27,29,Gansu,Ningxia,343.1090375530314,603.3986799020006,402.0360603790215,463
28,27,Qinghai,Gansu,194.47051892130693,456.0052591914232,232.39060554147312,352
28,29,Qinghai,Ningxia,443.80113196145095,914.5099095644199,555.5791740722377,737
29,27,Ningxia,Gansu,343.1090375530314,603.3986799020015,401.9870845503531,463
29,28,Ningxia,Qinghai,443.80113196145095,914.5099095644182,555.529807364815,737
30,28,Xinjiang,Qinghai,1438.9874629120827,2511.7385035175785,1651.1038579641981,2473
30,25,Xinjiang,Tibet,1603.388566462187,1992.9846057345667,1676.35974827698,1596
