Storage Site,CO2 Stored
Hehuai,1.7550612555389906
Erlian,1.7066803073621328
Qaidam,1.6771321333715905
Qinshui,1.5300736948459752
Nanxiang,1.4070400217875825
BohaiOffshore,1.3991316804631009
Tarim,1.3800182234159855
YingenEjina,1.3399889592904153
BohaiOnshore,1.2579906020504328
Jianghan,0.9327256875357745
BeibuGulf,0.8233240196040288
EastChinaSea,0.742712007713316
PearlRiverMouth,0.7284637783254289
SichuanBasin,0.7226572090769448
NorthYellowSea,0.7074549286153656
Subei,0.6918483496964928
Junggar,0.6582370125522481
Hailar,0.6125338241841265
Ordos,0.5697456027054576
Songliao,0.5662732909654296
Sanjiang,0.5345269266193753
TurpanHami,0.2579833601603688
SouthYellowSea,0.22318089580180558
Qiongdongnan,0.1552797294546744
