zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,Total
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,4199.725301618561,578.0225102358675,0.0,0.0,0.0,0.0,4777.747811854429
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,4245.392955211479,584.307905082094,0.0,0.0,0.0,0.0,4829.700860293573
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,4204.59814424487,578.6931761781751,0.0,0.0,0.0,0.0,4783.291320423045
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,4312.15412613565,593.4964726269767,0.0,0.0,0.0,0.0,4905.650598762626
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,4274.229960388801,588.2768404107585,0.0,0.0,0.0,0.0,4862.50680079956
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,4253.098451339157,585.3684387823853,0.0,0.0,0.0,0.0,4838.466890121542
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,4223.4963000644375,581.2941937879327,0.0,0.0,0.0,0.0,4804.79049385237
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,4201.725925932548,578.2978629803824,0.0,0.0,0.0,0.0,4780.023788912931
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,4297.774107060557,591.5173015798081,0.0,0.0,0.0,0.0,4889.291408640365
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,4155.633246675188,571.953970403035,0.0,0.0,0.0,0.0,4727.587217078223
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,4154.4557277071945,571.7919044532769,0.0,0.0,0.0,0.0,4726.247632160472
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,4158.8229761435905,572.392983743643,0.0,0.0,0.0,0.0,4731.215959887233
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,4343.660529557024,597.8328063360191,0.0,0.0,0.0,0.0,4941.493335893043
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,4383.221196388245,603.2776757753545,0.0,0.0,0.0,0.0,4986.498872163599
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,4275.843975222773,588.4989827745771,0.0,0.0,0.0,0.0,4864.342957997351
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,4281.746276091565,589.311336564248,0.0,0.0,0.0,0.0,4871.0576126558135
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,4473.79887037548,615.7441898278926,0.0,0.0,0.0,0.0,5089.543060203372
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,4278.013132135438,588.7975312351803,0.0,0.0,0.0,0.0,4866.810663370618
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,4267.265631319694,587.3183160593961,0.0,0.0,0.0,0.0,4854.58394737909
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,4298.278648020056,591.5867432720572,0.0,0.0,0.0,0.0,4889.865391292113
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,4143.7267331723515,570.3152363600216,0.0,0.0,0.0,0.0,4714.041969532373
Region25Yunnan_bfbofccs_transforms_crudesteel_Region25Yunnan,4260.842135307572,586.4342284053807,0.0,0.0,0.0,0.0,4847.276363712953
Region27Shaanxi_bfbofccs_transforms_crudesteel_Region27Shaanxi,4328.811206833925,595.7890434279068,0.0,0.0,0.0,0.0,4924.600250261832
Region28Gansu_bfbofccs_transforms_crudesteel_Region28Gansu,4143.203042194762,570.2431589854997,0.0,0.0,0.0,0.0,4713.446201180262
Region29Qinghai_bfbofccs_transforms_crudesteel_Region29Qinghai,4206.395281241362,578.9405222694896,0.0,0.0,0.0,0.0,4785.335803510851
Region30Ningxia_bfbofccs_transforms_crudesteel_Region30Ningxia,4354.230055624693,599.2875262405048,0.0,0.0,0.0,0.0,4953.517581865198
