time,Region1Beijing_Hydropower_storage,Region2Tianjin_Hydropower_storage,Region3Hebei_Hydropower_storage,Region4Shanxi_Hydropower_storage,Region5Innermongolia_Hydropower_storage,Region6Liaoning_Hydropower_storage,Region7Jilin_Hydropower_storage,Region8Heilongjiang_Hydropower_storage,Region9Shanghai_Hydropower_storage,Region10Jiangsu_Hydropower_storage,Region11Zhejiang_Hydropower_storage,Region12Anhui_Hydropower_storage,Region13Fujian_Hydropower_storage,Region14Jiangxi_Hydropower_storage,Region15Shandong_Hydropower_storage,Region16Henan_Hydropower_storage,Region17Hubei_Hydropower_storage,Region18Hunan_Hydropower_storage,Region19Guangdong_Hydropower_storage,Region20Guangxi_Hydropower_storage,Region21Hainan_Hydropower_storage,Region22Chongqing_Hydropower_storage,Region23Sichuan_Hydropower_storage,Region24Guizhou_Hydropower_storage,Region25Yunnan_Hydropower_storage,Region26Tibet_Hydropower_storage,Region27Shaanxi_Hydropower_storage,Region28Gansu_Hydropower_storage,Region29Qinghai_Hydropower_storage,Region30Ningxia_Hydropower_storage,Region31Xinjiang_Hydropower_storage,Region1Beijing_battery_storage,Region2Tianjin_battery_storage,Region3Hebei_battery_storage,Region4Shanxi_battery_storage,Region5Innermongolia_battery_storage,Region6Liaoning_battery_storage,Region7Jilin_battery_storage,Region8Heilongjiang_battery_storage,Region9Shanghai_battery_storage,Region10Jiangsu_battery_storage,Region11Zhejiang_battery_storage,Region12Anhui_battery_storage,Region13Fujian_battery_storage,Region14Jiangxi_battery_storage,Region15Shandong_battery_storage,Region16Henan_battery_storage,Region17Hubei_battery_storage,Region18Hunan_battery_storage,Region19Guangdong_battery_storage,Region20Guangxi_battery_storage,Region21Hainan_battery_storage,Region22Chongqing_battery_storage,Region23Sichuan_battery_storage,Region24Guizhou_battery_storage,Region25Yunnan_battery_storage,Region26Tibet_battery_storage,Region27Shaanxi_battery_storage,Region28Gansu_battery_storage,Region29Qinghai_battery_storage,Region30Ningxia_battery_storage,Region31Xinjiang_battery_storage,Region1Beijing_pumpedhydro_storage,Region2Tianjin_pumpedhydro_storage,Region3Hebei_pumpedhydro_storage,Region4Shanxi_pumpedhydro_storage,Region5Innermongolia_pumpedhydro_storage,Region6Liaoning_pumpedhydro_storage,Region7Jilin_pumpedhydro_storage,Region8Heilongjiang_pumpedhydro_storage,Region9Shanghai_pumpedhydro_storage,Region10Jiangsu_pumpedhydro_storage,Region11Zhejiang_pumpedhydro_storage,Region12Anhui_pumpedhydro_storage,Region13Fujian_pumpedhydro_storage,Region14Jiangxi_pumpedhydro_storage,Region15Shandong_pumpedhydro_storage,Region16Henan_pumpedhydro_storage,Region17Hubei_pumpedhydro_storage,Region18Hunan_pumpedhydro_storage,Region19Guangdong_pumpedhydro_storage,Region20Guangxi_pumpedhydro_storage,Region21Hainan_pumpedhydro_storage,Region22Chongqing_pumpedhydro_storage,Region23Sichuan_pumpedhydro_storage,Region24Guizhou_pumpedhydro_storage,Region25Yunnan_pumpedhydro_storage,Region26Tibet_pumpedhydro_storage,Region27Shaanxi_pumpedhydro_storage,Region28Gansu_pumpedhydro_storage,Region29Qinghai_pumpedhydro_storage,Region30Ningxia_pumpedhydro_storage,Region31Xinjiang_pumpedhydro_storage
1,7.881154517808251e7,0.0,7.88037661830362e7,7.881152446039906e7,7.880614525367439e7,7.880927824739386e7,7.879777514741957e7,7.879801030857444e7,7.880890569317058e7,7.881340199517107e7,7.881651404031794e7,7.881401548411387e7,7.881048112810564e7,7.881879604049875e7,7.880821086357301e7,7.880194770073514e7,7.876874249955423e7,7.880556519136912e7,7.880750656847881e7,7.881135535986814e7,7.882595680555598e7,7.88080662395774e7,7.874920260711265e7,7.880927833606324e7,7.872881665187642e7,7.879940121863559e7,7.880573866960713e7,7.880900605305056e7,7.879480073540843e7,7.88154557080146e7,7.879649468785758e7,2.539531516624967,4.321182484130862,1.8300954851478612,1.687232436930475,2.083308223200055,2.8119661655828296,2.500623003249075,3.063524703178849,2.0183523134097134,1.9923678117882506,1.9492736967934634,1.6843626618244982,1.6249913007788894,0.6428027001277306,2.2245783384741196,0.6489739243519705,0.6571818100261397,1.642021004604007,1.675003548216509,1.6934276407296815,0.7352376101371564,0.6557035152443833,1.8777924152910204,0.6237252642587132,0.6389585309227775,2.06376538320042,1.7339260397239682,1.7043956125245077,1.6996731244987238,1.9192156631508026,2.0507853944634635,1915.521184934573,0.0,10006.554189907265,2271.1690133835345,2560.7270224845897,6389.688312293183,3807.3342164345827,2800.153502589889,2311.6587503648557,7290.396524371949,17003.720319886936,8061.928720501182,7389.472909160534,2613.0146500238334,8496.934329706995,5016.93567362873,3151.8706265573464,3147.3595477641848,23037.931864535563,0.0,940.8964881828786,3187.818488798387,0.0,0.0,0.0,313.1444480627922,3004.925405906503,0.0,0.0,0.0,3149.912298760677
2,7.881194520854829e7,0.0,7.880627103142697e7,7.881206288061307e7,7.88070257265417e7,7.881107435530177e7,7.88004034823386e7,7.879859193653052e7,7.881175830534196e7,7.881487421927845e7,7.882107024179935e7,7.881629566003376e7,7.881449417902277e7,7.882029239275835e7,7.881000935649738e7,7.8804272289209e7,7.878379868022896e7,7.881036181639355e7,7.88132118051618e7,7.8818250778896e7,7.882640621558759e7,7.881068829697314e7,7.87836098905669e7,7.881680571806899e7,7.876424544127317e7,7.880023174585366e7,7.88074764518927e7,7.881148474120627e7,7.88017095149829e7,7.881564494172056e7,7.879989340981287e7,2.2989449479767963,3.815261746706154,1.6792959151605347,1.5692774220263352,1.9398534026918706,2.725867910622469,2.3440633067975356,2.7909376889207276,1.810586821695293,1.8047819679548711,1.7790158870614794,1.5326860350668934,1.4834349831619968,0.6468572106647048,2.0649971609940314,0.6451578287600644,0.6490398855312882,1.485960790243251,1.5306332576960469,1.5357035292819181,0.7309320866115526,0.6431490450064387,1.6859990682866337,0.6138729947315317,0.6314718889097651,2.0707590198281918,1.6011694789860835,1.5571857312355832,1.540621227721547,1.7466088196881562,1.8833130226149235,2692.0323477775505,0.0,14281.578890385183,3313.0683110632385,3606.9324033916982,9016.170230354537,5285.4850879331725,3841.309894880566,3351.196049064138,10160.277954390112,23743.292845939784,12162.447662973103,10716.02012738571,3666.619909684187,12007.924342760329,7422.075876606025,3178.9533100242497,3147.064572817462,25627.914662221203,0.0,1427.9981051874088,3188.558997007497,0.0,0.0,0.0,300.3097932933581,4111.062799444948,0.0,0.0,0.0,3165.9188258988033
3,7.881234622241473e7,0.0,7.880877704614848e7,7.881260246718346e7,7.880790729120632e7,7.881287163954711e7,7.880303319995932e7,7.87991747196937e7,7.881461218320762e7,7.88163475346702e7,7.882562777862002e7,7.881857712292582e7,7.881850856319313e7,7.882178907119025e7,7.88118088956347e7,7.880659829193516e7,7.879885683031416e7,7.881516184790356e7,7.88189182096639e7,7.882514865367167e7,7.882685672426422e7,7.881331306461868e7,7.881869360739581e7,7.882433584299767e7,7.879968622685403e7,7.880116183527613e7,7.88092156707928e7,7.881396552780381e7,7.880862087058315e7,7.881583581626877e7,7.880329442289208e7,2.8754935784247193,4.799938787875321,2.001117745092597,1.8840458485111675,2.296200983863359,3.1360852137787827,2.8478814104302876,3.3260051607527763,2.1503319927320197,2.147850943502666,2.1674597156181834,1.821874804307587,1.7949058998909422,0.6561835034871714,2.449188719974382,0.6609587648144952,0.6647944342303179,1.8490186785848377,1.88211582474964,1.8767785780582709,0.7515686903591638,0.6581375670830449,2.0039952915605697,0.627222092346653,0.6453282508211293,1.9959442547976758,1.919879850433996,1.8516327243037007,1.8757428536761183,2.0741939529770033,2.258679784370138,3476.1904262058506,0.0,18566.153547505408,4368.205596536829,4662.071114581987,11655.212029338238,6780.548595138529,4896.443241652683,4406.377026098541,13041.348211433058,30500.625678038818,16279.820535965317,14059.056979942357,4721.747669328868,15526.935102312256,9858.706655420912,4234.079621705472,4202.201435530226,35201.213117424646,0.0,1955.2350403319692,4243.652080115623,0.0,0.0,0.0,394.11913138378645,5342.172427092453,0.0,0.0,0.0,4221.045856994669
4,7.881274723322104e7,0.0,7.881128304987408e7,7.881314204737568e7,7.880878884992814e7,7.881466891848093e7,7.88056629084283e7,7.879975749708138e7,7.881746605614065e7,7.88178208469012e7,7.883018530901255e7,7.882085857677953e7,7.882252293938538e7,7.882328574211457e7,7.881360843171564e7,7.880892428938419e7,7.881391499182329e7,7.88199618769248e7,7.882462462299378e7,7.883204653577092e7,7.882730724354558e7,7.881593784028816e7,7.885377744798149e7,7.883186598385222e7,7.883512706710534e7,7.880209280008803e7,7.881095488256052e7,7.881644630670542e7,7.881553222670229e7,7.881602668911147e7,7.880669542909351e7,3.3629762057934856,5.6415645085223565,2.2334057359975987,2.13202474134312,2.5672984180400493,3.4203393894979617,3.2573276444994934,3.7268701115169427,2.3854765874270925,2.3829061860279412,2.4496902588380105,2.039199895491199,2.013300764647979,0.6569054881477064,2.6914632658694915,0.6662551232980056,0.6750539819219813,2.120743597088364,2.1216117663832037,2.100872956450968,0.7487672054842288,0.6645441988244204,2.415931654313252,0.6322554174427988,0.6448543707376404,2.090788324898709,2.1629822391282207,2.0661180097097414,2.144703291137669,2.30717921219674,2.537911293966374,4260.329945011453,0.0,22850.693187974004,5423.320897437686,5717.187697006698,14294.234900065901,8275.591556515874,5951.557557409913,5461.541663220974,15922.394675519065,37257.92737957701,20397.158187722915,17402.064901786413,5776.858883464384,19045.922639127733,12295.314377042912,5289.185874218741,5257.316499253579,44774.51909426392,0.0,2482.5007773916286,5298.762513889723,0.0,0.0,0.0,491.4166935124974,6573.2606726704025,0.0,0.0,0.0,5276.147263026928
5,7.881314825270207e7,0.0,7.881378906942067e7,7.881368164098e7,7.880967042350441e7,7.881646620555125e7,7.8808292632389e7,7.880034028539528e7,7.882031994333968e7,7.881929416938196e7,7.88347428563611e7,7.882314004743305e7,7.882653732975233e7,7.882478243373285e7,7.881540797731231e7,7.88112503022744e7,7.882897316655885e7,7.882476191977544e7,7.88303310477008e7,7.883894443819253e7,7.882775776611635e7,7.881856242190577e7,7.888886001684244e7,7.883939614126706e7,7.887056798546849e7,7.880302250058886e7,7.881269410868527e7,7.881892710160431e7,7.882244359947152e7,7.881621757059544e7,7.881009645075116e7,4.000532955741214,6.739667344615664,2.5949672142463083,2.4629773750402895,2.9552990461955457,3.820129701722161,3.769752127240844,4.313889522443702,2.766705159639504,2.7457466441833485,2.844124302973024,2.3528289191974716,2.3260392940311396,0.6781033252348772,3.1035203831976306,0.6902533941155237,0.7042164253838036,2.4881112391041182,2.462627335299055,2.4222542598552113,0.778108571113054,0.6731539128758824,2.4001216375912318,0.6530803747064401,0.6671597309836461,2.020700175219634,2.5031542047691335,2.373755632164357,2.5073345372451254,2.652767393719579,2.929610697937692,5044.501254712224,0.0,27135.277635411177,6478.4721919119165,6772.340877565091,16933.28518086052,9770.669183293825,7006.7043773522955,6516.734655798336,18803.477703604305,44015.27688417938,24514.542687304704,20745.110283032565,6832.0156563837045,22564.946270316068,14731.961620372585,6344.326976031681,6312.468118142642,54347.86910026294,0.0,3009.767813433399,6353.430941106297,0.0,0.0,0.0,581.6656964422451,7804.385427899681,0.0,0.0,0.0,6331.288718801011
6,7.881354818435293e7,0.0,7.881629386319555e7,7.881422002860568e7,7.881055080283214e7,7.88182623079163e7,7.881092108881976e7,7.880092191394094e7,7.88231729651384e7,7.882076667611364e7,7.883929950661509e7,7.882542054183981e7,7.883055081360412e7,7.882627821202965e7,7.88172063622769e7,7.881357507583378e7,7.884402967317952e7,7.882955927142757e7,7.883603631443323e7,7.884584044241478e7,7.882820719166249e7,7.882117573465414e7,7.892112473707207e7,7.884692369042148e7,7.890600446635917e7,7.880383820437236e7,7.881443184075888e7,7.882140620474543e7,7.882935303843713e7,7.881640701048622e7,7.881349581958418e7,3.858161456126064,6.5489356666458844,2.5525918456062002,2.394669797673282,2.900374599386849,3.801457909260384,3.6586058488826954,4.134317698420403,2.7482395621886275,2.6705477917692098,2.7820288521058907,2.3092970633637475,2.278180895375358,0.7001497421002097,3.0292037583022977,0.7079679515246802,0.7270388058517545,2.3897828908748817,2.333797521943206,2.2991472884401607,0.7975415548064406,0.6795629488222652,2.312875408045922,0.6628749167972137,0.6855407360862833,2.0767856266461213,2.4088054900336155,2.2819601413222257,2.422292248483694,2.5656768437033683,2.8407736055128066,5771.658011021669,0.0,30999.60638241227,6871.406554936598,7535.240995526482,17010.11690434038,9867.605647604869,7106.149690940446,7566.2244711681815,21679.041930231204,50766.09121677334,28623.280465868727,24081.936901189718,7879.899111637833,25939.7939265157,15395.006547082276,6356.5818856453225,6313.397489884932,61370.71596146706,0.0,3494.7420869954653,6344.54262745683,0.0,0.0,0.0,568.8532048325178,7810.375683258057,0.0,0.0,0.0,6336.018724028396
7,7.88139442276206e7,0.0,7.881879407459214e7,7.881475327943331e7,7.881142628366525e7,7.88200529892081e7,7.881353917548457e7,7.880149409579277e7,7.882602479910864e7,7.882223801162606e7,7.8843854914116e7,7.882769940643343e7,7.88345630137569e7,7.882776516571078e7,7.881900027877359e7,7.881589154765603e7,7.885905961170931e7,7.88343306733912e7,7.884174035987864e7,7.88527319980457e7,7.882865551282142e7,7.882377930374561e7,7.89405648615592e7,7.885443205622551e7,7.893676116012233e7,7.880386493656175e7,7.88161579611144e7,7.882384715444891e7,7.883622093718943e7,7.881657849125767e7,7.881687796390946e7,3.6781951055108797,6.283625562232145,2.4756428447091654,2.3024628964998883,2.805895925779521,3.7049528078271274,3.5158119650305144,3.947661534862506,2.7345085370873536,2.599650847914368,2.6966815005958034,2.268540619645319,2.222204363754691,0.7195345526927501,2.9309494486125103,0.720442803142967,0.7428298746668366,2.2942713299891766,2.1932261360340126,2.192733429283229,0.8094578692234872,0.6891347423381217,2.273557715134029,0.6677671689040773,0.7003256068656885,2.115000174031859,2.293264042791138,2.1730943341374127,2.3113528962250944,2.459235675792446,2.7109406805071905,5767.853219035388,0.0,30994.905469568002,6866.735441437882,7530.4633627197145,17005.027046591982,9857.987223827085,7096.770321259307,7566.645725734773,21679.474151890347,50766.699435547154,28622.66575641602,24082.232639019647,7873.339525562205,25935.124564024947,15386.784213226463,6335.557862310226,6289.089144860668,61372.18843542249,0.0,3494.991153166928,6323.001808457167,0.0,0.0,0.0,554.5782362006232,7798.062617776848,0.0,0.0,0.0,6318.086404988698
8,7.881428397919846e7,0.0,7.882122265578419e7,7.881523294374883e7,7.88121727025644e7,7.882137280158718e7,7.881480863706768e7,7.880135572748569e7,7.88288694626554e7,7.882370257201765e7,7.88483961852478e7,7.88299502939689e7,7.883849398231459e7,7.882920441082929e7,7.882070371507542e7,7.881819662769401e7,7.886408225977291e7,7.883500016056813e7,7.884744293548524e7,7.885960893351482e7,7.882910221504742e7,7.882332151369496e7,7.893724607181555e7,7.886002185578258e7,7.89385449385449e7,7.880374979522496e7,7.881743932276616e7,7.882511283825669e7,7.883402575036947e7,7.881672988303255e7,7.88160987428883e7,3.562935455122556,6.082687725961439,2.425456256715215,2.238645465568366,2.7263727928257895,3.617001771999181,3.4242636638233894,3.858542135781477,2.7048917675321604,2.5608800346114142,2.602707915778467,2.2235260552610687,2.1491773268998537,0.7377911144031,2.8652600650260465,0.7347076823215729,0.7576816094761919,2.25771343012279,2.0901874511482723,2.131149131468247,0.8149926625942062,0.703490765450723,2.2615041333253876,0.6722707633587458,0.7142814042247273,2.149826442465532,2.226439616386344,2.112198102563133,2.2572426101797074,2.407187337497137,2.627194548437931,5719.557077344261,0.0,30925.77532687207,6831.778014386193,7457.885163609502,16856.096443881725,9562.043542485551,6853.54969639661,7558.422708554872,21671.14973982253,50750.77229563242,28591.063435129246,24001.917887955475,7848.880157116783,25848.563052556197,15366.662338852771,6128.59073824497,6100.003027100005,61369.91238180601,0.0,3492.579507738839,6121.536530511137,0.0,0.0,0.0,540.4454327564652,7645.565869300252,0.0,0.0,0.0,6116.286994077249
9,7.881412102663846e7,0.0,7.882202551080771e7,7.881540172115207e7,7.881213171543713e7,7.882033117166929e7,7.881390496647857e7,7.880111057304193e7,7.883073295127149e7,7.88251364830762e7,7.884312923702145e7,7.882866240559891e7,7.883772423577024e7,7.882868240385029e7,7.881986173311634e7,7.882048927208814e7,7.885963619696607e7,7.883340112844244e7,7.884656600655267e7,7.88552871809378e7,7.882908743917307e7,7.882188753491631e7,7.89294063195289e7,7.885952238460982e7,7.892643498778795e7,7.880340898289348e7,7.881677514444174e7,7.882431594563311e7,7.883063306626841e7,7.881661235031036e7,7.881497181922188e7,3.4806746159311897,5.761910773700375,2.3698851179879026,2.1991041870515056,2.653954813281156,3.5141899973298134,3.3017908713593744,3.696588372959905,2.5252027626181732,2.4614513679560432,2.496081172987259,2.1175239700251174,2.081158729053191,0.7190121101287537,2.7671816443579766,0.7393458693756262,0.7569688611843828,2.1915524579539216,2.057136484012534,2.051390972132393,0.7989267234370425,0.7173936270642032,2.2356883262606964,0.6681442402182383,0.7141018702063511,2.1884694948837864,2.185301340140834,2.06579367263426,2.2302671662393054,2.353000997044035,2.562458623867434,5549.17408039433,0.0,30587.548575823283,6761.792410781307,7322.321371402512,16644.28966738197,9219.88545470043,6595.594276630293,7255.8085299120185,21627.833105729962,48725.922031048205,27830.82348575181,23217.62166762683,7804.212767179882,25424.41693249689,15338.30619914755,5922.107640030463,5908.793822583035,60578.99577771599,0.0,3448.266978026857,5915.946220414466,0.0,0.0,0.0,526.2988231513627,7431.804338960123,0.0,0.0,0.0,5915.251026678588
10,7.881381216915709e7,0.0,7.881914885071753e7,7.881486522464687e7,7.881124827550736e7,7.881837830211903e7,7.88121923630853e7,7.880080760706182e7,7.882734492965826e7,7.882354978694944e7,7.883695610326956e7,7.882684657427627e7,7.883437574713303e7,7.88266247949581e7,7.881890323992322e7,7.88198370738359e7,7.885230271432373e7,7.883112829850161e7,7.88392402620462e7,7.885047787088186e7,7.882873651217563e7,7.881960843662378e7,7.891786092853609e7,7.885533453632127e7,7.890900684853074e7,7.880301678566127e7,7.881537676289031e7,7.882280120882663e7,7.882717121191816e7,7.881647433524366e7,7.881328436831918e7,3.318691781607263,5.4793059880950965,2.258208061149077,2.1438591316193203,2.5779544930328298,3.4199080502112005,3.2148002317900244,3.552915919855705,2.4114607318120247,2.3708865997241917,2.4171389041978344,2.022346640267831,2.0236258523552073,0.6947952666344973,2.671620754520167,0.7174379279314036,0.73186963302936,2.1347467612892617,2.0735775280058464,2.0130297615364854,0.7808645736536106,0.701971649488729,2.188891964641722,0.6569622430758648,0.7141332857041384,2.2602061433597913,2.1464262494047053,2.0453375357964885,2.2268563748978423,2.302645135359814,2.5552087232644,5337.420903342519,0.0,30034.10331398146,6650.00741746076,7139.939322281288,16395.71938898687,8870.067134589572,6331.120144785747,6759.507663613868,20959.006188968055,41017.47190883988,27006.000862252495,22334.648291173795,7738.353372447948,25012.106430740103,15158.194285113053,5715.4585126325,5717.356741984458,58756.03167639774,0.0,3398.7367982773803,5702.890714119824,0.0,0.0,0.0,512.324135871547,7203.742037521714,0.0,0.0,0.0,5714.244088431896
