zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,Total
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,4388.712940191408,658.3434763855659,0.0,0.0,0.0,0.0,5047.056416576974
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,4436.435638196006,665.5022783703399,0.0,0.0,0.0,0.0,5101.937916566346
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,4393.8050607359,659.1073368583561,0.0,0.0,0.0,0.0,5052.912397594257
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,4506.201061811766,675.9676726990716,0.0,0.0,0.0,0.0,5182.168734510838
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,4466.570308606309,670.0227297983585,0.0,0.0,0.0,0.0,5136.593038404667
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,4444.487881649429,666.7101819220355,0.0,0.0,0.0,0.0,5111.198063571464
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,4413.553633567348,662.0697871868896,0.0,0.0,0.0,0.0,5075.6234207542375
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,4390.803592599524,658.6570916511414,0.0,0.0,0.0,0.0,5049.4606842506655
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,4491.173941878293,673.7134796106002,0.0,0.0,0.0,0.0,5164.887421488893
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,4342.636742775582,651.4316631959706,0.0,0.0,0.0,0.0,4994.068405971553
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,4341.406235454028,651.2470768539544,0.0,0.0,0.0,0.0,4992.653312307983
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,4345.970010070063,651.9316810390778,0.0,0.0,0.0,0.0,4997.90169110914
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,4539.125253387102,680.9065755241778,0.0,0.0,0.0,0.0,5220.03182891128
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,4580.466150225727,687.1080542065476,0.0,0.0,0.0,0.0,5267.574204432274
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,4468.256954107808,670.2757406646466,0.0,0.0,0.0,0.0,5138.532694772455
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,4474.4248585156965,671.2009776726807,0.0,0.0,0.0,0.0,5145.625836188377
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,4675.119819542388,701.306892581213,0.0,0.0,0.0,0.0,5376.426712123601
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,4470.523723081545,670.6157748812083,0.0,0.0,0.0,0.0,5141.139497962753
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,4459.292584729091,668.9310106308495,0.0,0.0,0.0,0.0,5128.22359535994
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,4491.701187180969,673.7925707952371,0.0,0.0,0.0,0.0,5165.493757976206
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,4330.194436165118,649.5652136241216,0.0,0.0,0.0,0.0,4979.759649789239
Region25Yunnan_bfbofccs_transforms_crudesteel_Region25Yunnan,4452.580031396423,667.9240717499804,0.0,0.0,0.0,0.0,5120.504103146403
Region27Shaanxi_bfbofccs_transforms_crudesteel_Region27Shaanxi,4523.6077111414625,678.5788150061913,0.0,0.0,0.0,0.0,5202.186526147654
Region28Gansu_bfbofccs_transforms_crudesteel_Region28Gansu,4329.647179093537,649.483120507554,0.0,0.0,0.0,0.0,4979.130299601091
Region29Qinghai_bfbofccs_transforms_crudesteel_Region29Qinghai,4395.683068897234,659.389053716684,0.0,0.0,0.0,0.0,5055.072122613918
Region30Ningxia_bfbofccs_transforms_crudesteel_Region30Ningxia,4550.170408127815,682.5634406844907,0.0,0.0,0.0,0.0,5232.733848812306
Region31Xinjiang_bfbofccs_transforms_crudesteel_Region31Xinjiang,4409.402243518505,661.4470441198828,0.0,0.0,0.0,0.0,5070.849287638388
Region1Beijing,168407.43889428556,621563.1812288319,412.2744443164102,137076.69046727652,0.0,0.0,927459.5850347104
Region2Tianjin,172707.3298108957,636691.35752131,424.1905181782695,137117.32636441285,0.0,0.0,946940.2042147969
Region12Anhui,8341.127574039874,1.8796370951905577e9,1.370985280990056e6,138023.06578111558,0.0,0.0,1.881154444664903e9
