zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,0.15379718568612613,0.0,0.0,0.0,0.0,0.0,0.15379718568612613
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,0.0,1461.0207423307243,201.0852654251474,0.0,0.0,0.0,1662.1060077558716
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,0.14248901158630098,0.0,0.0,0.0,0.0,0.0,0.14248901158630098
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,0.0,1353.596950120066,186.3001626926591,0.0,0.0,0.0,1539.897112812725
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,0.15625587919505746,0.0,0.0,0.0,0.0,0.0,0.15625587919505746
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,0.0,1484.3774910225666,204.2999343713768,0.0,0.0,0.0,1688.6774253939434
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,0.15960382704651915,0.0,0.0,0.0,0.0,0.0,0.15960382704651915
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,0.0,1516.1818522883834,208.6772770342959,0.0,0.0,0.0,1724.8591293226793
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,0.15817781139582923,0.0,0.0,0.0,0.0,0.0,0.15817781139582923
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,0.0,1502.6351905906893,206.81280380391595,0.0,0.0,0.0,1709.4479943946053
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,0.1444793529821813,0.0,0.0,0.0,0.0,0.0,0.1444793529821813
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,0.0,1372.5045136800102,188.9024751217961,0.0,0.0,0.0,1561.4069888018062
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,0.15612587210535325,0.0,0.0,0.0,0.0,0.0,0.15612587210535325
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,0.0,1483.1424680677592,204.12995395188088,0.0,0.0,0.0,1687.27242201964
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,0.15589914713594769,0.0,0.0,0.0,0.0,0.0,0.15589914713594769
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,0.0,1480.9886582849051,203.83351776907244,0.0,0.0,0.0,1684.8221760539775
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,0.13968494224790626,0.0,0.0,0.0,0.0,0.0,0.13968494224790626
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,0.0,1326.9592489940474,182.6339250780608,0.0,0.0,0.0,1509.5931740721082
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,0.14624451396069438,0.0,0.0,0.0,0.0,0.0,0.14624451396069438
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,1389.2729401739955,191.21037082417064,0.0,0.0,0.0,1580.4833109981662
steelscrap_source_Region11Zhejiang_Region11Zhejiang_bfbofccs_transforms,0.1447446163095507,0.0,0.0,0.0,0.0,0.0,0.1447446163095507
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,0.0,1375.0244247026808,189.24929906628927,0.0,0.0,0.0,1564.27372376897
steelscrap_source_Region12Anhui_Region12Anhui_bfbofccs_transforms,0.15812556937570307,0.0,0.0,0.0,0.0,0.0,0.15812556937570307
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,0.0,1502.1389092401264,206.7444989098018,0.0,0.0,0.0,1708.883408149928
steelscrap_source_Region13Fujian_Region13Fujian_bfbofccs_transforms,0.14239771300540546,0.0,0.0,0.0,0.0,0.0,0.14239771300540546
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,0.0,1352.7296447799908,186.1807925020378,0.0,0.0,0.0,1538.9104372820286
steelscrap_source_Region14Jiangxi_Region14Jiangxi_bfbofccs_transforms,0.15748361752879847,0.0,0.0,0.0,0.0,0.0,0.15748361752879847
Region14Jiangxi_bfbofccs_transforms_crudesteel_Region14Jiangxi,0.0,1496.0405859208777,205.90516588202885,0.0,0.0,0.0,1701.9457518029064
steelscrap_source_Region15Shandong_Region15Shandong_bfbofccs_transforms,0.14560014471507804,0.0,0.0,0.0,0.0,0.0,0.14560014471507804
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,0.0,1383.151652392515,190.3678771191743,0.0,0.0,0.0,1573.5195295116891
steelscrap_source_Region16Henan_Region16Henan_bfbofccs_transforms,0.16020699892510937,0.0,0.0,0.0,0.0,0.0,0.16020699892510937
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,0.0,1521.9117791519977,209.46590640200668,0.0,0.0,0.0,1731.3776855540045
steelscrap_source_Region17Hubei_Region17Hubei_bfbofccs_transforms,0.15988526679379,0.0,0.0,0.0,0.0,0.0,0.15988526679379
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,0.0,1518.8554337758703,209.04525116872844,0.0,0.0,0.0,1727.9006849445987
steelscrap_source_Region18Hunan_Region18Hunan_bfbofccs_transforms,0.1596936063065014,0.0,0.0,0.0,0.0,0.0,0.1596936063065014
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,0.0,1517.0347245986327,208.79466075781968,0.0,0.0,0.0,1725.8293853564523
steelscrap_source_Region19Guangdong_Region19Guangdong_bfbofccs_transforms,0.14728054201101315,0.0,0.0,0.0,0.0,0.0,0.14728054201101315
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,0.0,1399.1148528487868,192.56494681694153,0.0,0.0,0.0,1591.6797996657283
steelscrap_source_Region20Guangxi_Region20Guangxi_bfbofccs_transforms,0.14708255829883748,0.0,0.0,0.0,0.0,0.0,0.14708255829883748
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,0.0,1397.2340751944982,192.30608897676126,0.0,0.0,0.0,1589.5401641712594
steelscrap_source_Region22Chongqing_Region22Chongqing_bfbofccs_transforms,0.1574677798190282,0.0,0.0,0.0,0.0,0.0,0.1574677798190282
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,0.0,1495.8901330866317,205.88445854555394,0.0,0.0,0.0,1701.7745916321858
steelscrap_source_Region23Sichuan_Region23Sichuan_bfbofccs_transforms,0.1602000286938401,0.0,0.0,0.0,0.0,0.0,0.1602000286938401
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,0.0,1521.8455643352615,209.4567930310512,0.0,0.0,0.0,1731.3023573663127
steelscrap_source_Region24Guizhou_Region24Guizhou_bfbofccs_transforms,0.16149914733863588,0.0,0.0,0.0,0.0,0.0,0.16149914733863588
Region24Guizhou_bfbofccs_transforms_crudesteel_Region24Guizhou,0.0,1534.186747812245,211.15535218440777,0.0,0.0,0.0,1745.3420999966527
