type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,3.8247451880746037e8,2.0776900485364865e11,3.467479554500969e10,0.0,0.0,0.0,2.4282627491746582e11
AluminumSmelting,0.0,1.2258624591446118e7,4.5212470830428505e10,3.579384340052112e8,5.2644775399596e7,0.0,4.563531266442476e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.00467025151281e8,0.0,0.0,1.00467025151281e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.8994369017540944e9,0.0,0.0,1.8994369017540944e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.8787311234817627e8,0.0,0.0,1.8787311234817627e8
DRIMaking,2.8123318411608673e10,3.0345069244454114e11,4.176263549187e10,0.0,0.0,0.0,3.733366463480198e11
OneWayTransmissionLink{IronOre},2.407883321307813e10,0.0,0.0,1.4999018377154849e9,0.0,0.0,2.5578735050793613e10
OneWayTransmissionLink{SteelScrap},7.907161235299055e7,0.0,0.0,1.858104109059396e8,0.0,0.0,2.6488202325893015e8
CementPlant{Coal},0.0,8.793497070361662e10,1.973157440712205e7,2.6937338447657948e9,0.0,0.0,9.064843612278954e10
CO2Injection,0.0,8.295981036942137e9,0.0,4.3589390429333127e8,0.0,0.0,8.731874941235468e9
OneWayTransmissionLink{CO2Captured},0.0,2.6961723771505035e7,0.0,1.7998064726925907e9,0.0,0.0,1.8267681964640958e9
HydroRes,0.0,0.0,5.600396881444847e10,0.0,0.0,0.0,5.600396881444847e10
Battery,0.0,2.043525889960275e7,5.082847120742688e9,0.0,0.0,0.0,5.103282379642291e9
ThermalPower{Coal},0.0,1.7309135609209634e7,2.366849117912457e10,7.341551294481586e6,5.332035938827804e7,0.0,2.3746462225416542e10
ThermalPower{NaturalGas},0.0,1.4286130093212766e11,4.919341502136243e10,3.2530045239923944e9,1.0633625022550133e9,0.0,1.963710829797375e11
ThermalPower{Uranium},0.0,4.1166316868808586e10,1.766907841931658e10,2.4580194790312025e8,83465.95349682019,0.0,5.908128070198179e10
TransmissionLink{Electricity},0.0,3.4320406521060357e9,0.0,0.0,0.0,0.0,3.4320406521060357e9
VRE,0.0,2.8540270432190576e11,1.3409769213902379e11,0.0,0.0,0.0,4.1950039646092957e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,9.432310317034818e7,9.432310317034818e7
Total,5.266369775584725e10,1.0803899765565685e12,4.073851261357338e11,1.2667009966821901e10,1.1694111029963844e9,9.432310317034818e7,1.5543695446211384e12
