time,subperiod_index,weight
1,1,1.0
2,1,1.0
3,1,1.0
4,1,1.0
5,1,1.0
6,1,1.0
7,1,1.0
8,1,1.0
9,1,1.0
10,1,1.0
11,1,1.0
12,1,1.0
13,1,1.0
14,1,1.0
15,1,1.0
16,1,1.0
17,1,1.0
18,1,1.0
19,1,1.0
20,1,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,1,1.0
25,2,1.0
26,2,1.0
27,2,1.0
28,2,1.0
29,2,1.0
30,2,1.0
31,2,1.0
32,2,1.0
33,2,1.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,2,1.0
39,2,1.0
40,2,1.0
41,2,1.0
42,2,1.0
43,2,1.0
44,2,1.0
45,2,1.0
46,2,1.0
47,2,1.0
48,2,1.0
49,3,1.0
50,3,1.0
51,3,1.0
52,3,1.0
53,3,1.0
54,3,1.0
55,3,1.0
56,3,1.0
57,3,1.0
58,3,1.0
59,3,1.0
60,3,1.0
61,3,1.0
62,3,1.0
63,3,1.0
64,3,1.0
65,3,1.0
66,3,1.0
67,3,1.0
68,3,1.0
69,3,1.0
70,3,1.0
71,3,1.0
72,3,1.0
73,4,1.0
74,4,1.0
75,4,1.0
76,4,1.0
77,4,1.0
78,4,1.0
79,4,1.0
80,4,1.0
81,4,1.0
82,4,1.0
83,4,1.0
84,4,1.0
85,4,1.0
86,4,1.0
87,4,1.0
88,4,1.0
89,4,1.0
90,4,1.0
91,4,1.0
92,4,1.0
93,4,1.0
94,4,1.0
95,4,1.0
96,4,1.0
97,5,1.0
98,5,1.0
99,5,1.0
100,5,1.0
101,5,1.0
102,5,1.0
103,5,1.0
104,5,1.0
105,5,1.0
106,5,1.0
107,5,1.0
108,5,1.0
109,5,1.0
110,5,1.0
111,5,1.0
112,5,1.0
113,5,1.0
114,5,1.0
115,5,1.0
116,5,1.0
117,5,1.0
118,5,1.0
119,5,1.0
120,5,1.0
121,6,1.0
122,6,1.0
123,6,1.0
124,6,1.0
125,6,1.0
126,6,1.0
127,6,1.0
128,6,1.0
129,6,1.0
130,6,1.0
131,6,1.0
132,6,1.0
133,6,1.0
134,6,1.0
135,6,1.0
136,6,1.0
137,6,1.0
138,6,1.0
139,6,1.0
140,6,1.0
141,6,1.0
142,6,1.0
143,6,1.0
144,6,1.0
145,7,1.0
146,7,1.0
147,7,1.0
148,7,1.0
149,7,1.0
150,7,1.0
151,7,1.0
152,7,1.0
153,7,1.0
154,7,1.0
155,7,1.0
156,7,1.0
157,7,1.0
158,7,1.0
159,7,1.0
160,7,1.0
161,7,1.0
162,7,1.0
163,7,1.0
164,7,1.0
165,7,1.0
166,7,1.0
167,7,1.0
168,7,1.0
169,8,1.0
170,8,1.0
171,8,1.0
172,8,1.0
173,8,1.0
174,8,1.0
175,8,1.0
176,8,1.0
177,8,1.0
178,8,1.0
179,8,1.0
180,8,1.0
181,8,1.0
182,8,1.0
183,8,1.0
184,8,1.0
185,8,1.0
186,8,1.0
187,8,1.0
188,8,1.0
189,8,1.0
190,8,1.0
191,8,1.0
192,8,1.0
193,9,1.0
194,9,1.0
195,9,1.0
196,9,1.0
197,9,1.0
198,9,1.0
199,9,1.0
200,9,1.0
201,9,1.0
202,9,1.0
203,9,1.0
204,9,1.0
205,9,1.0
206,9,1.0
207,9,1.0
208,9,1.0
209,9,1.0
210,9,1.0
211,9,1.0
212,9,1.0
213,9,1.0
214,9,1.0
215,9,1.0
216,9,1.0
217,10,1.0
218,10,1.0
219,10,1.0
220,10,1.0
221,10,1.0
222,10,1.0
223,10,1.0
224,10,1.0
225,10,1.0
226,10,1.0
227,10,1.0
228,10,1.0
229,10,1.0
230,10,1.0
231,10,1.0
232,10,1.0
233,10,1.0
234,10,1.0
235,10,1.0
236,10,1.0
237,10,1.0
238,10,1.0
239,10,1.0
240,10,1.0
241,11,1.0
242,11,1.0
243,11,1.0
244,11,1.0
245,11,1.0
246,11,1.0
247,11,1.0
248,11,1.0
249,11,1.0
250,11,1.0
251,11,1.0
252,11,1.0
253,11,1.0
254,11,1.0
255,11,1.0
256,11,1.0
257,11,1.0
258,11,1.0
259,11,1.0
260,11,1.0
261,11,1.0
262,11,1.0
263,11,1.0
264,11,1.0
265,12,1.0
266,12,1.0
267,12,1.0
268,12,1.0
269,12,1.0
270,12,1.0
271,12,1.0
272,12,1.0
273,12,1.0
274,12,1.0
275,12,1.0
276,12,1.0
277,12,1.0
278,12,1.0
279,12,1.0
280,12,1.0
281,12,1.0
282,12,1.0
283,12,1.0
284,12,1.0
285,12,1.0
286,12,1.0
287,12,1.0
288,12,1.0
