time,Region1Beijing_PV_Central,Region2Tianjin_PV_Central,Region3Hebei_PV_Central,Region4Shanxi_PV_Central,Region5Innermongolia_PV_Central,Region6Liaoning_PV_Central,Region7Jilin_PV_Central,Region8Heilongjiang_PV_Central,Region9Shanghai_PV_Central,Region10Jiangsu_PV_Central,Region11Zhejiang_PV_Central,Region12Anhui_PV_Central,Region13Fujian_PV_Central,Region14Jiangxi_PV_Central,Region15Shandong_PV_Central,Region16Henan_PV_Central,Region17Hubei_PV_Central,Region18Hunan_PV_Central,Region19Guangdong_PV_Central,Region20Guangxi_PV_Central,Region21Hainan_PV_Central,Region22Chongqing_PV_Central,Region23Sichuan_PV_Central,Region24Guizhou_PV_Central,Region25Yunnan_PV_Central,Region26Tibet_PV_Central,Region27Shaanxi_PV_Central,Region28Gansu_PV_Central,Region29Qinghai_PV_Central,Region30Ningxia_PV_Central,Region31Xinjiang_PV_Central,Region1Beijing_Wind_Onshore,Region2Tianjin_Wind_Onshore,Region3Hebei_Wind_Onshore,Region4Shanxi_Wind_Onshore,Region5Innermongolia_Wind_Onshore,Region6Liaoning_Wind_Onshore,Region7Jilin_Wind_Onshore,Region8Heilongjiang_Wind_Onshore,Region9Shanghai_Wind_Onshore,Region10Jiangsu_Wind_Onshore,Region11Zhejiang_Wind_Onshore,Region12Anhui_Wind_Onshore,Region13Fujian_Wind_Onshore,Region14Jiangxi_Wind_Onshore,Region15Shandong_Wind_Onshore,Region16Henan_Wind_Onshore,Region17Hubei_Wind_Onshore,Region18Hunan_Wind_Onshore,Region19Guangdong_Wind_Onshore,Region20Guangxi_Wind_Onshore,Region21Hainan_Wind_Onshore,Region22Chongqing_Wind_Onshore,Region23Sichuan_Wind_Onshore,Region24Guizhou_Wind_Onshore,Region25Yunnan_Wind_Onshore,Region26Tibet_Wind_Onshore,Region27Shaanxi_Wind_Onshore,Region28Gansu_Wind_Onshore,Region29Qinghai_Wind_Onshore,Region30Ningxia_Wind_Onshore,Region31Xinjiang_Wind_Onshore,Region1Beijing_PV_Distribution,Region2Tianjin_PV_Distribution,Region3Hebei_PV_Distribution,Region4Shanxi_PV_Distribution,Region5Innermongolia_PV_Distribution,Region6Liaoning_PV_Distribution,Region7Jilin_PV_Distribution,Region8Heilongjiang_PV_Distribution,Region9Shanghai_PV_Distribution,Region10Jiangsu_PV_Distribution,Region11Zhejiang_PV_Distribution,Region12Anhui_PV_Distribution,Region13Fujian_PV_Distribution,Region14Jiangxi_PV_Distribution,Region15Shandong_PV_Distribution,Region16Henan_PV_Distribution,Region17Hubei_PV_Distribution,Region18Hunan_PV_Distribution,Region19Guangdong_PV_Distribution,Region20Guangxi_PV_Distribution,Region21Hainan_PV_Distribution,Region22Chongqing_PV_Distribution,Region23Sichuan_PV_Distribution,Region24Guizhou_PV_Distribution,Region25Yunnan_PV_Distribution,Region26Tibet_PV_Distribution,Region27Shaanxi_PV_Distribution,Region28Gansu_PV_Distribution,Region29Qinghai_PV_Distribution,Region30Ningxia_PV_Distribution,Region31Xinjiang_PV_Distribution,Region1Beijing_Wind_Offshore,Region2Tianjin_Wind_Offshore,Region3Hebei_Wind_Offshore,Region4Shanxi_Wind_Offshore,Region5Innermongolia_Wind_Offshore,Region6Liaoning_Wind_Offshore,Region7Jilin_Wind_Offshore,Region8Heilongjiang_Wind_Offshore,Region9Shanghai_Wind_Offshore,Region10Jiangsu_Wind_Offshore,Region11Zhejiang_Wind_Offshore,Region12Anhui_Wind_Offshore,Region13Fujian_Wind_Offshore,Region14Jiangxi_Wind_Offshore,Region15Shandong_Wind_Offshore,Region16Henan_Wind_Offshore,Region17Hubei_Wind_Offshore,Region18Hunan_Wind_Offshore,Region19Guangdong_Wind_Offshore,Region20Guangxi_Wind_Offshore,Region21Hainan_Wind_Offshore,Region22Chongqing_Wind_Offshore,Region23Sichuan_Wind_Offshore,Region24Guizhou_Wind_Offshore,Region25Yunnan_Wind_Offshore,Region26Tibet_Wind_Offshore,Region27Shaanxi_Wind_Offshore,Region28Gansu_Wind_Offshore,Region29Qinghai_Wind_Offshore,Region30Ningxia_Wind_Offshore,Region31Xinjiang_Wind_Offshore
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07592100538013419,0.08177553647483281,0.18417738941423772,0.0432086250433563,0.32691605165895415,0.13742513413826118,0.051104194854746265,0.02445890181139323,0.1416211670654718,0.045032550386224994,0.11005954124740333,0.05999742352811503,0.11983631940366865,0.08051073513402043,0.01876688244498089,0.11663881931138217,0.12254356800500424,0.1115739484729186,0.25968465945620384,0.1265183402587158,0.1376370525886647,0.09758499791164157,0.12286424696456497,0.054118983340399676,0.1334628934992449,0.22817823448869035,0.16128754163161893,0.06869209293640505,0.1379078835945069,0.17767009723556382,0.24724700151259327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981624042683617,0.027446327630408454,0.0,0.0,0.10548123082687612,0.0,0.0,0.10140194089610667,0.07276857316975757,0.10888890983992267,0.0,0.12789193757347064,0.0,0.07353930013982908,0.0,0.0,0.0,0.04086355859987267,0.04340500050230944,0.150170157386183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07610578811312423,0.09003774162274765,0.19526721655304743,0.03607511742455124,0.32455573138759924,0.1275837509760536,0.061865401164418424,0.02805613700033798,0.14722883670709713,0.04103173793679159,0.10814951662736835,0.07105118498871163,0.11209401364707666,0.07979383304407615,0.019401541469591103,0.1253292124434653,0.12125820254611105,0.09572917421733526,0.2660795934875625,0.13976101967477758,0.14654322655365978,0.09868142338995853,0.12985333917945316,0.047488476464598965,0.12709526208491553,0.2277489211518154,0.17563062245279257,0.07399138866265317,0.12034506898625519,0.16989123177916218,0.24905783981162388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09769599118643209,0.021225477613090443,0.0,0.0,0.09554341562954494,0.0,0.0,0.10300041487399243,0.07400128656402677,0.10854754666516135,0.0,0.12760105151688456,0.0,0.07109100698485558,0.0,0.0,0.0,0.04711711912855234,0.05003331741155397,0.15476455165773303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07559499591634955,0.08771148910533844,0.23505936230530947,0.03435842406565075,0.35538418385831433,0.13023365262575531,0.06822848519949466,0.03508418875784173,0.1654521106457769,0.03363715594476721,0.11881772877216562,0.06921835463317125,0.11335862630500962,0.08456889600708299,0.02869986779890323,0.14543284660930383,0.11730569132980478,0.09880692304345876,0.3190925730327477,0.16247246109554656,0.16943593111314179,0.10635190327992529,0.1522706337135953,0.04726293102741079,0.13650604536791708,0.22687197862622388,0.23052322798024058,0.08965497774196439,0.10973547635097804,0.18090225020222586,0.25663586093933255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09277225699691974,0.018390223487909713,0.0,0.0,0.08807721194289216,0.0,0.0,0.1109609282532223,0.07930813619504197,0.1143029475840662,0.0,0.13579910326528224,0.0,0.06232620903508776,0.0,0.0,0.0,0.052566912435402485,0.05621784219160554,0.16590949128622245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708235395041593,0.07712527377921279,0.2543412633839667,0.0382085411996615,0.33236812048192316,0.1328511496059404,0.07782335110325064,0.03895314907885542,0.14708873075250184,0.024429128352086327,0.1192410434204639,0.06337922408064543,0.10797197165700695,0.08533837090704252,0.04510837278341026,0.16283862406833455,0.09460357880007522,0.09749468338417487,0.3146072649630798,0.1622332216894874,0.16715845177061817,0.10938936822816542,0.16544502065623265,0.0457087672905016,0.1261790929714354,0.2440505923524494,0.23540473809535176,0.09113540403787777,0.0856076252244387,0.176478110318917,0.2434377764612135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796638075119178,0.018338835580973614,0.0,0.0,0.0832332470124845,0.0,0.0,0.11050095155439213,0.08346406597024005,0.11950205233276248,0.0,0.134541644216806,0.0,0.05885536150002264,0.0,0.0,0.0,0.06165000985060388,0.06588722767003456,0.1672417423720666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06628555921766967,0.06395079589156041,0.2522592491075798,0.0363289280036548,0.3010094350740515,0.1389406573855502,0.08390806574679355,0.04018815464767957,0.11989259141373143,0.0219087628884795,0.11742686345859399,0.0670134957778767,0.10398369074763171,0.08184406554200446,0.045661577019197264,0.17856296763705665,0.08758211351815318,0.10415465477907404,0.31724233263257434,0.16624792665928648,0.16453400262363724,0.10212876893208922,0.15769631847337054,0.04354947681253014,0.0999200512496465,0.2265552513430908,0.24469934706255944,0.08897837263997503,0.07543912322456839,0.17512340164643383,0.22584418599679315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09762595081400084,0.017366627668564946,0.0,0.0,0.07888607555565107,0.0,0.0,0.11037176221128848,0.08319696287320186,0.12514493504531665,0.0,0.12843748316297982,0.0,0.05582255124142178,0.0,0.0,0.0,0.06777747279872287,0.07227649176774383,0.16658974723025824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382281843795719,0.049889596618298324,0.22420634420792995,0.02638784131681485,0.2537660809337786,0.13248994961801155,0.08494838086025017,0.03640164896846213,0.09332265444365069,0.026127186075888317,0.10308484857076408,0.06216801212614251,0.09255218886509951,0.07021416797664964,0.047228410214496655,0.15656085244917237,0.09287022843590954,0.10511596727254342,0.27027802659470646,0.1526038270505345,0.14507755512104425,0.09479277247702139,0.15508742376136456,0.041611989172440564,0.07813180892605051,0.22833779086178352,0.22278215364422488,0.08287588503151058,0.06988322885470379,0.16278283975353525,0.19061587138767996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09000851084270531,0.01619717510505059,0.0,0.0,0.07343616417341402,0.0,0.0,0.1053760415709302,0.07635495755808559,0.1214045219239144,0.0,0.11423489635865844,0.0,0.05170264423584063,0.0,0.0,0.0,0.061817646735964266,0.06543998336413968,0.15856674036078763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06386475432101535,0.03969721585617515,0.21321392454809707,0.023036714984117752,0.23187825667018336,0.1307393761523001,0.08005386319234523,0.028210796169169453,0.08091792664287603,0.027025570799699566,0.09565114545349931,0.046598706293331425,0.08570815479483418,0.05812157975690303,0.04659127258359311,0.149747418330602,0.09621958064520617,0.11077334467547342,0.25339511481259747,0.14413899711242292,0.1351221477207289,0.08669443220161069,0.1531899837603405,0.04481135937363102,0.06853706206228347,0.2110588455611963,0.21262566603840133,0.07721637516920116,0.07399316533974727,0.16475861382720744,0.17449811605025037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08207331106409006,0.01592777154272475,0.0,0.0,0.0667343567373983,0.0,0.0,0.10084566959864151,0.07391084488742337,0.11994169547243452,0.0,0.08609222943080871,0.0,0.0505615922933446,0.0,0.0,0.0,0.06372733552431242,0.06779965582508612,0.15321334962578048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056099022382514505,0.030223775262468847,0.1864534385454708,0.024992071487170385,0.21527785879572364,0.12995266090638868,0.07491045400013502,0.023798870100074247,0.07466914439651592,0.02816733195824482,0.08846131427411727,0.03974177004678818,0.08452140359640982,0.04850440926842038,0.044719779104896974,0.14385900055947726,0.10083994509120568,0.10619877552390045,0.23099535480237487,0.1416885370351335,0.13042715179142322,0.07191292830031047,0.14846714528957444,0.04667726694861948,0.06308734847670437,0.1433141650995574,0.20692216171572853,0.06740897665662243,0.08364687159232859,0.16992075170794532,0.1640139915247756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07118565291452378,0.017498013674274806,0.0,0.0,0.06624047615496757,0.0,0.0,0.0961839060236826,0.06955766839328757,0.1171954089924096,0.0,0.08169022002913193,0.0,0.04865629293526544,0.0,0.0,0.0,0.07265424367645838,0.07932531165863001,0.1479743792864165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.004735009074496757,0.007099158041791472,0.00022700187726644498,3.848179594813477e-5,0.002878964103094576,0.011579152626242461,0.014559957467659477,0.029491762098042593,0.035940519656640156,0.020097059018749436,0.020899019004765294,0.013651863296910004,0.031120663603183947,0.016049246682050492,0.0208259523281767,0.0008002767933396081,0.007006725912424804,0.004912445869641246,0.025107445397323798,0.005862891449797867,0.008606454284184878,0.0,0.0,0.00024613478477976397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05017061798230071,0.025302886144870675,0.17850538906949254,0.024891708143994634,0.20530824868319153,0.13121185677377178,0.07289706816807519,0.021523110356418164,0.06747835751632422,0.028395005964589708,0.08428864224391379,0.03784056370997805,0.0857906057864594,0.04501483306489649,0.04308548221320012,0.1378686345457054,0.10318773450684546,0.10332895903132644,0.22354340011067836,0.14048581447217873,0.12811766553618753,0.06137670819352253,0.14267705950795773,0.04674920360309692,0.05931773078990933,0.11615177876347305,0.2020953477143011,0.06167544645227424,0.08706697780275628,0.1699435083533235,0.15672223010650474,0.004655348381461847,0.014083192013135539,0.0014054199943852215,0.0,0.0,0.017101817627526838,0.0,0.0,0.04678729645757131,0.031048663260073973,0.031512857931027156,0.02539924587099232,0.028433564604703792,0.022908089874703552,0.007493949150518205,0.0016741102506106843,0.008598769306162423,0.008963392879459615,0.027656619092296556,0.0,0.016766468283146818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07052312062716412,0.018035865287610867,0.0,0.0,0.06698351216657192,0.0,0.0,0.09447091762103314,0.06730408013109297,0.11615498128190616,0.0,0.08195798077810784,0.0,0.04725148669269128,0.0,0.0,0.0,0.07514531540235987,0.08387215330408584,0.14590359030934053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.06787521800027944,0.04835781205796848,0.05767383061019728,0.04826275204306262,0.04399372710614601,0.04968275037172122,0.050520694482947624,0.09894287678926866,0.10490490405872283,0.06225330858885307,0.05650750815175806,0.05809153583427759,0.08622957474229946,0.05875193709953576,0.07153074177141908,0.049536545990360524,0.07823757347877751,0.03559877197228697,0.07939725660897894,0.03862967838927835,0.06652225860756084,0.043227145457895584,0.05741540577726849,0.025724678174519573,0.020361779361307317,0.005589095328551776,0.04133923772590182,0.00602496342297406,0.004075635747869714,0.03231811358642543,0.0,0.036274091606540305,0.015084728670061028,0.17778804809164994,0.02347937675215439,0.18600994168256,0.12924307417615066,0.06528535456945737,0.01659982236034185,0.060871285087681457,0.029256099343652225,0.07761945782706266,0.03384269344891948,0.08901711024166542,0.03721109904126879,0.0395715100632103,0.13164662131800217,0.10952025061634638,0.09605634737484395,0.1847917628840421,0.1401970159016285,0.12723205215109812,0.04125581599927868,0.13774327619679066,0.04740953034082342,0.05326432938239053,0.05094411799415462,0.19946050231270965,0.050872604971292645,0.0911325951466655,0.17567284595006855,0.14795084105422832,0.04670881123859596,0.06344737338237033,0.07779077543388166,0.0,0.0,0.050303236657800794,0.0,0.0,0.11340763072691379,0.07567606825319914,0.07375887124416491,0.060000759885483895,0.06985121072108219,0.06623192049323841,0.03825462371734094,0.06021997147957525,0.06889541674983052,0.022734500385004575,0.05495244369934829,0.0,0.07814232680909648,0.046449193540587345,0.0,0.0,0.0,0.025562184511369893,0.0,0.0,0.0,0.0,0.0,0.0,0.08124173737113773,0.018991176050637475,0.0,0.0,0.06894344575027238,0.0,0.0,0.09313223087134721,0.06361023864667759,0.11588903454888203,0.0,0.0820630926588133,0.0,0.04431395819374216,0.0,0.0,0.0,0.08054824397369527,0.08987195385833047,0.144633024409524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
