type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,2.69933396833921e7,484154.4722574054,8.7285064145965e10,0.0,0.0,0.0,8.731254164012065e10
AluminumSmelting,0.0,1.5609149945330448e6,4.657860534833429e10,3.397353062800827e7,4.577422023073061e6,0.0,4.66187172159799e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,7.841251210802731e6,0.0,0.0,7.841251210802731e6
UpstreamEmissions{IronOre},0.0,0.0,0.0,750.1196822303838,0.0,0.0,750.1196822303838
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.2160311340000656e8,0.0,0.0,1.2160311340000656e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.6140717551352377e6,0.0,0.0,1.6140717551352377e6
DRIMaking,853.5322518352998,346788.662831468,52021.48472636459,0.0,0.0,0.0,399663.67980966787
OneWayTransmissionLink{IronOre},2.0117577046091104e9,0.0,0.0,6.344704741007702e7,0.0,0.0,2.0752047520191875e9
OneWayTransmissionLink{SteelScrap},7.031160673756693e6,0.0,0.0,1.1617022948605359e7,0.0,0.0,1.864818362236205e7
CementPlant{Coal},0.0,334574.57535458077,4.80429807282923e7,1.9470765316980296e8,0.0,0.0,2.4308520847344986e8
CO2Injection,0.0,57526.315347097465,0.0,251.88270967788156,0.0,0.0,57778.19805677535
OneWayTransmissionLink{CO2Captured},0.0,20.330316654315336,0.0,1571.3782058564946,0.0,0.0,1591.7085225108099
HydroRes,0.0,0.0,6.3786179374999985e10,0.0,0.0,0.0,6.3786179374999985e10
Battery,0.0,3.062069198469938e6,3.2708778897438025e9,0.0,0.0,0.0,3.2739399589422727e9
ThermalPower{Coal},0.0,4.380397067945308e6,5.7721863717544846e10,5.799950829185898e8,175858.73140307952,0.0,5.830641505626278e10
ThermalPower{NaturalGas},0.0,9.825779690551268e6,5.02389483647471e9,3.6360710896622345e7,69204.51081234295,0.0,5.070150531572697e9
ThermalPower{Uranium},0.0,316002.21661111293,4.0205742935074706e9,4.65077370762573e6,15975.72256620269,0.0,4.0255570451542735e9
TransmissionLink{Electricity},0.0,5.000032183787365e7,0.0,0.0,0.0,0.0,5.000032183787365e7
VRE,0.0,1.7309133364096603e6,6.193417135194583e6,0.0,0.0,0.0,7.924330471604243e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,6.926046868925092e6,6.926046868925092e6
Total,2.0457830584985108e9,7.209946269850118e7,2.6774134802591827e11,1.0558128314258738e9,4.838460987854687e6,6.926046868925092e6,2.7092680788639795e11
