type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,3.824741630027053e8,2.0777030400702408e11,3.46751481823654e10,0.0,0.0,0.0,2.428279263523922e11
AluminumSmelting,0.0,1.4854434091039555e7,4.520234210565918e10,3.5793780399187243e8,5.325243710679666e7,0.0,4.562838678084889e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.0153803609450088e8,0.0,0.0,1.0153803609450088e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.915660584850496e9,0.0,0.0,1.915660584850496e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.8693237624415457e8,0.0,0.0,1.8693237624415457e8
DRIMaking,2.8122824844012676e10,3.034509925698086e11,4.176267697396445e10,0.0,0.0,0.0,3.7333649438778577e11
OneWayTransmissionLink{IronOre},2.4078819636250984e10,0.0,0.0,1.5031231948404078e9,0.0,0.0,2.5581942831091393e10
OneWayTransmissionLink{SteelScrap},7.814629391287822e7,0.0,0.0,1.7893100369293445e8,0.0,0.0,2.5707729760581267e8
CementPlant{Coal},0.0,8.793231046635736e10,1.973224895678318e7,2.693714546139282e9,0.0,0.0,9.064575726145343e10
CO2Injection,0.0,8.295880721701151e9,0.0,4.358886334517197e8,0.0,0.0,8.73176935515287e9
OneWayTransmissionLink{CO2Captured},0.0,2.6961397749566812e7,0.0,1.8020048769955676e9,0.0,0.0,1.8289662747451344e9
HydroRes,0.0,0.0,5.600396881444847e10,0.0,0.0,0.0,5.600396881444847e10
Battery,0.0,2.384424417277335e7,5.08830515658186e9,0.0,0.0,0.0,5.112149400754633e9
ThermalPower{Coal},0.0,1.6713658172961835e7,2.3672135833371864e10,7.332951901910019e6,5.315125410225018e7,0.0,2.3749333697548985e10
ThermalPower{NaturalGas},0.0,1.428799255718308e11,4.919915780136038e10,3.2529748860723205e9,1.062527314613527e9,0.0,1.9639458557387704e11
ThermalPower{Uranium},0.0,4.11653212516631e10,1.7668865384373245e10,2.4579401009077123e8,102725.04323929129,0.0,5.908008337117036e10
TransmissionLink{Electricity},0.0,3.4269070645372043e9,0.0,0.0,0.0,0.0,3.4269070645372043e9
VRE,0.0,2.8546667499975793e11,1.34108651184908e11,0.0,0.0,0.0,4.1957532618466595e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,1.0467036491951029e8,1.0467036491951029e8
Total,5.2662264937179245e10,1.0804706903868665e12,4.074009836859896e11,1.2681832904365938e10,1.1690337308658133e9,1.0467036491951029e8,1.5544894760101863e12
