time,Region1Beijing_Hydropower_storage,Region2Tianjin_Hydropower_storage,Region3Hebei_Hydropower_storage,Region4Shanxi_Hydropower_storage,Region5Innermongolia_Hydropower_storage,Region6Liaoning_Hydropower_storage,Region7Jilin_Hydropower_storage,Region8Heilongjiang_Hydropower_storage,Region9Shanghai_Hydropower_storage,Region10Jiangsu_Hydropower_storage,Region11Zhejiang_Hydropower_storage,Region12Anhui_Hydropower_storage,Region13Fujian_Hydropower_storage,Region14Jiangxi_Hydropower_storage,Region15Shandong_Hydropower_storage,Region16Henan_Hydropower_storage,Region17Hubei_Hydropower_storage,Region18Hunan_Hydropower_storage,Region19Guangdong_Hydropower_storage,Region20Guangxi_Hydropower_storage,Region21Hainan_Hydropower_storage,Region22Chongqing_Hydropower_storage,Region23Sichuan_Hydropower_storage,Region24Guizhou_Hydropower_storage,Region25Yunnan_Hydropower_storage,Region26Tibet_Hydropower_storage,Region27Shaanxi_Hydropower_storage,Region28Gansu_Hydropower_storage,Region29Qinghai_Hydropower_storage,Region30Ningxia_Hydropower_storage,Region31Xinjiang_Hydropower_storage,Region1Beijing_battery_storage,Region2Tianjin_battery_storage,Region3Hebei_battery_storage,Region4Shanxi_battery_storage,Region5Innermongolia_battery_storage,Region6Liaoning_battery_storage,Region7Jilin_battery_storage,Region8Heilongjiang_battery_storage,Region9Shanghai_battery_storage,Region10Jiangsu_battery_storage,Region11Zhejiang_battery_storage,Region12Anhui_battery_storage,Region13Fujian_battery_storage,Region14Jiangxi_battery_storage,Region15Shandong_battery_storage,Region16Henan_battery_storage,Region17Hubei_battery_storage,Region18Hunan_battery_storage,Region19Guangdong_battery_storage,Region20Guangxi_battery_storage,Region21Hainan_battery_storage,Region22Chongqing_battery_storage,Region23Sichuan_battery_storage,Region24Guizhou_battery_storage,Region25Yunnan_battery_storage,Region26Tibet_battery_storage,Region27Shaanxi_battery_storage,Region28Gansu_battery_storage,Region29Qinghai_battery_storage,Region30Ningxia_battery_storage,Region31Xinjiang_battery_storage,Region1Beijing_pumpedhydro_storage,Region2Tianjin_pumpedhydro_storage,Region3Hebei_pumpedhydro_storage,Region4Shanxi_pumpedhydro_storage,Region5Innermongolia_pumpedhydro_storage,Region6Liaoning_pumpedhydro_storage,Region7Jilin_pumpedhydro_storage,Region8Heilongjiang_pumpedhydro_storage,Region9Shanghai_pumpedhydro_storage,Region10Jiangsu_pumpedhydro_storage,Region11Zhejiang_pumpedhydro_storage,Region12Anhui_pumpedhydro_storage,Region13Fujian_pumpedhydro_storage,Region14Jiangxi_pumpedhydro_storage,Region15Shandong_pumpedhydro_storage,Region16Henan_pumpedhydro_storage,Region17Hubei_pumpedhydro_storage,Region18Hunan_pumpedhydro_storage,Region19Guangdong_pumpedhydro_storage,Region20Guangxi_pumpedhydro_storage,Region21Hainan_pumpedhydro_storage,Region22Chongqing_pumpedhydro_storage,Region23Sichuan_pumpedhydro_storage,Region24Guizhou_pumpedhydro_storage,Region25Yunnan_pumpedhydro_storage,Region26Tibet_pumpedhydro_storage,Region27Shaanxi_pumpedhydro_storage,Region28Gansu_pumpedhydro_storage,Region29Qinghai_pumpedhydro_storage,Region30Ningxia_pumpedhydro_storage,Region31Xinjiang_pumpedhydro_storage
1,5.297615461203215e7,0.0,5.297678343558107e7,5.2978741373210765e7,5.297929224139786e7,5.297694999201999e7,5.296883181787954e7,5.297393238935068e7,5.297666360958966e7,5.297734052259142e7,5.297786615956309e7,5.297696344393739e7,5.297748780969377e7,5.297863704389363e7,5.297643932763287e7,5.297746910385637e7,5.295745443882431e7,5.29853738659992e7,5.296920111813525e7,5.296856143295856e7,5.299714778203407e7,5.298053513435638e7,5.297822900492719e7,5.295864585963093e7,5.297494922789381e7,5.29921360179669e7,5.297764809534023e7,5.297056380748009e7,5.299626972235898e7,5.2981381399005696e7,5.298461686233464e7,84.9942370370318,22.300498089836573,3448.7296030305292,877.446247101192,2970.8161399566848,94.99041444769755,185.84630829137708,86.70565755693138,254.716561046359,344.55694754413327,255.28732323594875,307.491718546581,203.13750066826148,7.86313642218041,441.35289780636134,8.084570958471279,8.279790716699615,440.48353322923174,26.518463068686515,29.39420938751689,7.577764865075669,7.958654710886795,2149.053917222013,6.883695187277045,7.157612113723132,694.2560405908374,328.14749489251443,397.97831873447984,487.8474605509076,251.57054984744877,5084.699935949277,3548.459050318626,0.0,19464.65075712411,4785.651870757708,4786.020196514686,11989.387244515914,6779.300996017655,4783.8551021256035,4780.7120798796395,13092.510323509654,30637.261879969014,18700.99455345631,15195.632181949624,4777.295923303595,15997.024189440877,11064.059465026201,4782.755900829108,4781.63296708097,43476.09434491217,0.0,2389.923753955594,4781.2777976236,0.0,0.0,0.0,480.87379960101975,5585.6087223343775,0.0,0.0,0.0,4791.021134012935
2,5.29764413287032e7,0.0,5.29784277630301e7,5.297884268298891e7,5.2979964023541875e7,5.297868626293185e7,5.2970231301987655e7,5.297439404296444e7,5.2978982933612734e7,5.29782153366951e7,5.298084123808626e7,5.2979079559829116e7,5.298084071053357e7,5.298011484977256e7,5.2978130460699305e7,5.297948409913702e7,5.2962579381977394e7,5.298700837792978e7,5.297489621755253e7,5.297230976842181e7,5.2997429507574014e7,5.298193870536241e7,5.296174500620249e7,5.2962697864267275e7,5.2968815640111305e7,5.299165398306477e7,5.297777858610116e7,5.297152261585199e7,5.299220470113265e7,5.298140065936444e7,5.298728454043172e7,85.1884799212795,22.46881953171765,3447.9812648363845,874.9775019749969,2968.2415580085994,94.95835303784756,184.0121994677701,85.47849963087933,255.1135865485301,344.0169346136954,255.4445221253813,306.96515499892877,203.26819224451887,7.970752724936943,441.10301306751717,7.928429711157405,8.256539796011813,440.0448163997131,27.26593892632768,29.30505466509643,7.560784162268214,7.977639197754857,1975.4015474952482,6.903864861481386,7.132288112696972,635.5865356392742,326.09470448164535,393.26794313600294,479.4738326798121,249.33575342698683,5075.575786916618,3548.6680348496498,0.0,19464.298763116363,4784.887960344528,4784.903452877361,11989.346104881692,6778.650383178038,4783.00506500516,4780.921745928974,13092.533234683115,30637.2743459214,18700.677887598165,15195.568203174314,4777.383107718449,15996.945451345917,11063.891643348303,4782.540854174412,4781.405328814897,43476.466784471006,0.0,2390.4323866290183,4780.43562095578,0.0,0.0,0.0,469.11321001108996,5584.767443706725,0.0,0.0,0.0,4788.749916307693
3,5.297673196886432e7,0.0,5.2980096277577244e7,5.2978888808722675e7,5.298064305351804e7,5.298039723305414e7,5.297173027906585e7,5.2974923000284955e7,5.298135943159807e7,5.297912490624367e7,5.2983971752032876e7,5.298120435926125e7,5.298426105974781e7,5.2981593274223216e7,5.2979828151202604e7,5.298150573331198e7,5.296873686061114e7,5.298876747335031e7,5.2980592311758846e7,5.297706815650469e7,5.299772193887154e7,5.2983394135490514e7,5.294646175818113e7,5.296719796225016e7,5.296364253115432e7,5.299119430706537e7,5.297901098393072e7,5.297342714192596e7,5.2987779315503836e7,5.2981436276932254e7,5.2989945098209366e7,85.40843381924685,22.629143601879157,3447.288058631573,872.5280862190401,2965.7753036378863,94.81233879279225,182.18167335913992,84.39067906883352,255.58577470915142,343.7034886740942,255.65922697396232,306.5012777700511,203.42833235574514,8.080278972289694,441.0926426013928,7.819854624801456,8.238559017728482,439.62646638023006,28.151924932997517,29.26177069183426,7.538536581137131,7.995027966429107,1802.3325716186262,6.930503718325369,7.10913065997237,577.6757639953688,324.1681918220131,388.6193424072573,471.12800657211653,247.10083755274078,5066.360889863818,3548.897618102433,0.0,19463.969411375565,4784.14417835341,4783.814681227404,11989.281940650946,6777.986552891351,4782.2569471250745,4781.205980934394,13092.609636965657,30637.344914782945,18700.437387900314,15195.560768238262,4777.507068796138,15996.88549880926,11063.751219109792,4782.239715205952,4781.187405786697,43476.95800167589,0.0,2390.944723494343,4779.615371597111,0.0,0.0,0.0,457.11236566672727,5583.907140946077,0.0,0.0,0.0,4786.492275995768
4,5.2977025744955555e7,0.0,5.298176081910189e7,5.2978958379222326e7,5.2981328721653946e7,5.298209171778023e7,5.297345439934357e7,5.297545972257993e7,5.298375554525567e7,5.2980056425229125e7,5.298719010009703e7,5.2983335691574864e7,5.2987710549945086e7,5.298307195352934e7,5.2981530079336405e7,5.298352994805672e7,5.297623232462296e7,5.299061703073945e7,5.298628924236096e7,5.29821018042636e7,5.299802153190443e7,5.298491404519988e7,5.293189152955018e7,5.2972001808654845e7,5.295875270972061e7,5.299074949779314e7,5.2980393215443045e7,5.297549992007662e7,5.298268495056549e7,5.298148396051849e7,5.299219412588495e7,85.56866393962271,22.73458242326899,3446.48419042738,870.0852423788366,2963.178788497809,94.5498323309343,180.35191730327864,83.3126113400251,256.1060159654165,343.629403171362,255.95868296099246,306.0707240483498,203.59923340558305,8.195066467817597,441.1469315580421,7.761941686503418,8.211694534594153,439.20981306235836,29.23285925117083,29.254098668922097,7.53416806833185,8.010255097492266,1627.5325089125215,6.966364638260073,7.088093586098739,519.7486109030922,322.24799627711155,383.97177127951227,462.7639450752881,244.86388296547693,5057.0473927583325,3549.1147679250967,0.0,19463.606903644784,4783.307475759252,4782.724378453633,11989.175388125017,6777.294843101516,4781.515544978329,4781.52853586358,13092.701700819282,30637.448490257808,18700.335978290866,15195.571138082587,4777.620134270299,15996.83837283922,11063.590274198392,4782.008783023093,4780.967608347659,43477.55795912102,0.0,2391.4622587447943,4778.7948248687535,0.0,0.0,0.0,444.9449934166818,5583.035012452803,0.0,0.0,0.0,4784.223582984876
5,5.2977322037000336e7,0.0,5.298342401923547e7,5.297902671306521e7,5.298200625059441e7,5.298366058943329e7,5.297513395879661e7,5.297598863262555e7,5.298614854681845e7,5.2980994602738224e7,5.2990412755495846e7,5.2985466404102884e7,5.299115044397121e7,5.298455079614454e7,5.29832354322553e7,5.2985559010312356e7,5.29810867667207e7,5.2992500259864524e7,5.29919866439315e7,5.298741850513121e7,5.2998326208852485e7,5.298589666280217e7,5.2917009291921005e7,5.297672348660725e7,5.295255867263555e7,5.2990304289374106e7,5.298171909006507e7,5.297742618278414e7,5.297731893007988e7,5.2981528321207814e7,5.299221273837423e7,85.67892276787268,22.849963991121577,3445.6389475890164,867.5950799196078,2960.178841403143,94.17162078411314,178.47586298873625,82.13990747250702,256.5716796850079,343.5576611503416,256.2985774712956,305.62855361237007,203.76727325286217,8.30281391021523,441.3550365599245,7.731516599515017,8.155139324490019,438.7812756960367,30.52287329449425,29.297346041239855,7.564555802872553,8.008511581059409,1446.7800549543365,7.003686534848937,7.064977540685543,460.8620788625417,320.30990308482575,379.2159959938627,454.3225531797118,242.5846587995543,5047.5298246545035,3549.3045223608597,0.0,19463.212326453035,4782.437112188356,4781.574798536496,11988.980846312697,6776.549393367628,4780.675147545173,4781.809296555243,13092.770432177387,30637.544313846982,18700.07099142757,15195.568243446502,4777.712660152431,15996.875176722238,11063.405294733504,4781.779551800995,4780.733853382902,43478.32515508343,0.0,2391.9791803865987,4777.959642521441,0.0,0.0,0.0,432.666144573659,5582.137991921058,0.0,0.0,0.0,4781.8918033733335
6,5.297762015803622e7,0.0,5.298494463159052e7,5.297902785773543e7,5.2982654676387295e7,5.298388177198352e7,5.297652078221346e7,5.297625121750366e7,5.298851190219721e7,5.298192680389814e7,5.299350665414236e7,5.298758920378551e7,5.299448735603249e7,5.298602977898802e7,5.29834126595596e7,5.298759008088185e7,5.298335268226491e7,5.299411017388394e7,5.299768383916014e7,5.299206129854741e7,5.299863297726736e7,5.2985520945917636e7,5.289962565784869e7,5.298149439339973e7,5.294503441000665e7,5.298980677872077e7,5.29827604579338e7,5.297878145431106e7,5.297174527872554e7,5.298156495589463e7,5.299050439469077e7,85.69989369568621,22.931121447871867,3444.555784759309,865.0023679371235,2956.412669106988,93.6069572258155,176.5559867318706,80.7156063089076,256.8153610197983,343.1685808111184,256.50522950720494,304.97980655337324,203.7978574364872,8.361431461684585,441.53106370439235,7.672030443868445,8.06470808502204,438.2789942203079,31.724564950049718,29.32407684162486,7.646176620958817,7.974057686838618,1257.7010450629016,7.031975763150373,7.04379480313964,399.66217006036845,318.2824558342209,374.31998522958474,445.8409074912149,240.20916451021913,5037.816068831369,3549.4095855074556,0.0,19462.71390569763,4781.558917825637,4780.333077562624,11988.637648323169,6775.723832437982,4779.622805552029,4782.031575418851,13092.757466440955,30637.53185316989,18699.799519498454,15195.453997808005,4777.731657128673,15996.871822718493,11063.170700654535,4781.500674936257,4780.464938766705,43479.00678758023,0.0,2392.4459336989953,4777.112758752001,0.0,0.0,0.0,420.9027077886367,5581.209494880992,0.0,0.0,0.0,4779.552286691573
7,5.2977913093926325e7,0.0,5.298543810904482e7,5.2978926828805946e7,5.2981409559133984e7,5.29839071326869e7,5.297487607413322e7,5.297543925984039e7,5.299080461316694e7,5.2982793352642305e7,5.2996235690379545e7,5.298810750728741e7,5.299759266443328e7,5.298564492062359e7,5.298079109384072e7,5.298956589721351e7,5.298221923931328e7,5.299549687667083e7,5.300338041431903e7,5.299454720459785e7,5.299894114092885e7,5.2983820438262e7,5.28804757451464e7,5.2985836472674035e7,5.293643468764476e7,5.2989153400144614e7,5.298273602130552e7,5.297860540686953e7,5.2965981314454235e7,5.29815987527883e7,5.298665634693393e7,85.65268877069921,23.018114361848024,3443.245099589293,862.4663317402408,2951.308056308532,92.88510917725166,174.61049434954322,78.80754863128035,257.0190886233354,342.5279051034937,256.4571767994805,304.3391535907258,203.69112102035868,8.170796556237486,441.1351227713715,7.548077019901105,7.9373322559389505,437.67202169535784,32.80690256205113,29.289184047347742,7.829297798792392,7.8864803409652,1052.8997565238087,7.048688546561664,7.027327942014896,333.44347494951495,316.1208257261478,369.10751604636795,437.26874990537425,237.59564118836028,5028.095122406484,3549.407261226177,0.0,19462.01274517981,4780.575779560025,4778.765317710492,11988.127187098577,6774.7997663175875,4778.259179907379,4782.177962342674,13092.594328019957,30637.30252992678,18699.482409623735,15195.140705476648,4777.535859855171,15996.384499232103,11062.802021382488,4781.196017110567,4780.138689664429,43479.50778103035,0.0,2392.970776987635,4776.240090862843,0.0,0.0,0.0,408.9690233366511,5580.16641967754,0.0,0.0,0.0,4777.158732257797
8,5.297819560324892e7,0.0,5.298278919407507e7,5.2978645612290576e7,5.2980135118248545e7,5.298284121050978e7,5.297105125790693e7,5.297460332228671e7,5.2992804821056776e7,5.29830161357101e7,5.299397719987115e7,5.2984785924261905e7,5.29988381044588e7,5.298366860188266e7,5.297816402318453e7,5.299131621661796e7,5.2974098820570014e7,5.299450351930792e7,5.3009059755984925e7,5.299475332945388e7,5.2999219327000454e7,5.298044762673882e7,5.286340470563388e7,5.298593470419519e7,5.292597548612843e7,5.298834682286048e7,5.298185869319713e7,5.297693399765568e7,5.296048837788908e7,5.2981636489057094e7,5.298170357196434e7,85.66547916240854,23.24147195567615,3441.9280738309444,860.1774971972684,2944.2327428698145,92.18502177023927,172.43021918225847,76.490241978448,257.33316074715015,342.3317375238565,255.78178853647478,303.6683654494525,203.41771090002578,7.82231891937497,440.6621187225372,7.42758455364429,7.76958353772873,436.8749177317999,33.231300701224136,29.240179369218183,8.142490095931837,7.72140857649003,822.672730389445,7.018384543498252,7.012602564120754,260.14343364660687,313.997194943487,363.49197074148265,428.83824935247594,234.75060251457498,5016.105197161187,3549.3726462699497,0.0,19461.13316989707,4779.4883218377745,4776.839933885894,11987.504677644794,6773.679150750796,4776.551893672787,4782.268237304983,13092.499645042675,30636.830416353023,18699.084341246726,15194.727529356329,4777.30761672262,15995.777259068065,11062.359725642049,4780.922012573544,4779.801851779615,43479.59537308004,0.0,2393.5194400405603,4775.268830523868,0.0,0.0,0.0,396.5178685720865,5579.049587154683,0.0,0.0,0.0,4774.602818932924
9,5.297802984931156e7,0.0,5.297923438407516e7,5.29780115157679e7,5.297889428507256e7,5.2981699395592265e7,5.296966172868346e7,5.297457332558921e7,5.2994008435221754e7,5.298226247664573e7,5.298734566170416e7,5.298146339998761e7,5.2993030622701816e7,5.2981510583450824e7,5.297553462898662e7,5.299249726104412e7,5.296188133831015e7,5.299093398382965e7,5.300068935675404e7,5.298997850553085e7,5.2998598006498195e7,5.2976893375721164e7,5.284185817200827e7,5.298211151970061e7,5.29111984141799e7,5.298731554793148e7,5.297939131486279e7,5.297337739494548e7,5.295495881231758e7,5.298151637908448e7,5.297671880267571e7,85.69607491209239,22.851789601723976,3440.40157102925,857.8254659991387,2936.65100893046,91.62144176939371,170.68614633171902,75.24607710951713,257.5149062205887,341.91421042079577,255.02725556742308,302.9606699777572,203.15063737994797,7.497986466897319,439.74095110985337,7.293281263727092,7.5737624174936355,436.05493993924176,32.455490333745125,29.174514329319678,8.476217265842307,7.515483392856771,540.5665530301885,6.9763078324829175,7.000046344935212,166.8562837616161,311.79412331769066,357.3133241194297,420.6981164973628,231.68426861462464,4310.914712135112,3549.244627933847,0.0,19460.022854150804,4778.295068655739,4775.084161223871,11986.73731426413,6772.54779990896,4775.2655467288905,4782.025663354343,13092.107674144512,30636.075935338697,18698.246229931105,15193.84213094743,4776.5005187364395,15994.859451806748,11061.7385460748,4780.428755850903,4779.370541280746,43478.823486563284,0.0,2393.6163945596745,4774.328385822786,0.0,0.0,0.0,383.6874020537099,5577.798009830914,0.0,0.0,0.0,4771.141671633775
10,5.297746536756032e7,0.0,5.297985348485634e7,5.297794677226469e7,5.2979584222947165e7,5.298121956538402e7,5.2972265810552515e7,5.297514654369687e7,5.299100614730126e7,5.298247000242149e7,5.2980676247245245e7,5.298031423353395e7,5.298718138501648e7,5.297934383496538e7,5.297656653174888e7,5.2994250620111994e7,5.295356764052452e7,5.298678633027794e7,5.2992310965681255e7,5.297989156079508e7,5.2997948694570854e7,5.297331124965755e7,5.286652159830412e7,5.297522893426547e7,5.289975943958548e7,5.2986971049306504e7,5.297795327297116e7,5.297076441251585e7,5.295004189863536e7,5.298153437739815e7,5.297173595533692e7,85.10089496687225,22.277118888289934,3439.0349914488856,855.2771088868817,2931.9462637743136,91.53822757094798,169.58398473650337,75.45200715159025,257.6158375247444,341.23246915340735,254.6498406099804,302.2136330959002,203.06814474778122,7.357342690780805,439.36529787166313,7.272370846942817,7.531102700911468,435.44422520846643,30.81144490913739,29.16267860511944,8.66019053353547,7.412871710290733,104.99225691516963,6.970204717432601,7.056014214625435,54.36358552198737,309.7328175609463,351.45529227165275,412.82074889950525,229.1587687443792,2120.4924709676598,3548.6612869461997,0.0,19459.096542416577,4777.062892967981,4773.805059542629,11986.296516272749,6771.8479303293625,4775.166790695997,4781.798716179759,13091.523941508647,30635.36692123207,18697.28899663164,15193.105251544333,4775.525018206142,15994.281934354127,11060.933642766071,4779.870372527485,4778.893292002946,43477.48243692594,0.0,2393.0615509197582,4773.244686835392,0.0,0.0,0.0,370.754776637244,5576.5389126374275,0.0,0.0,0.0,4767.849067677409
