type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,4.351862921755849e8,2.175491353024824e11,3.988989446804278e10,0.0,0.0,0.0,2.5787421606270078e11
AluminumSmelting,0.0,2.066739272784229e7,5.134383249407915e10,4.0771802641329175e8,4.5269074565035105e7,0.0,5.181748698778532e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,6.74370643013045e8,0.0,0.0,6.74370643013045e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,3.72869241763882e9,0.0,0.0,3.72869241763882e9
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.0242686502850562e8,0.0,0.0,1.0242686502850562e8
DRIMaking,3.1906082368416565e10,3.158674839545903e11,4.738012259839854e10,0.0,0.0,0.0,3.951536889214054e11
OneWayTransmissionLink{IronOre},2.7411518405649258e10,0.0,0.0,2.4735828303137727e9,0.0,0.0,2.988510123596303e10
OneWayTransmissionLink{SteelScrap},1.72792589266526e8,0.0,0.0,3.763259906417277e8,0.0,0.0,5.491185799082537e8
CementPlant{Coal},0.0,7.741379501905147e10,2.600476171596818e7,2.966979675494401e9,0.0,0.0,8.040677945626184e10
CO2Injection,0.0,8.413054830743015e9,0.0,4.420452868535194e8,0.0,0.0,8.855100117596535e9
OneWayTransmissionLink{CO2Captured},0.0,2.552502804862608e6,0.0,2.555254574587311e9,0.0,0.0,2.5578070773921733e9
HydroRes,0.0,0.0,6.3786179374999985e10,0.0,0.0,0.0,6.3786179374999985e10
Battery,0.0,2.211465932257877e7,9.743465402588161e9,0.0,0.0,0.0,9.76558006191074e9
ThermalPower{Coal},0.0,2.0826278902137756e7,2.6954828608340412e10,251481.85241224407,1.3924255639542933e6,0.0,2.6977298794658916e10
ThermalPower{NaturalGas},0.0,1.5985387152060718e11,5.514785434114881e10,3.479042438340307e9,1.6178000841682692e9,0.0,2.2009856838426456e11
ThermalPower{Uranium},0.0,4.68883190117324e10,2.012468749250845e10,2.7992560159141874e8,71289.56340363638,0.0,6.729300339539566e10
TransmissionLink{Electricity},0.0,4.773859089407317e9,0.0,0.0,0.0,0.0,4.773859089407317e9
VRE,0.0,4.0132690637606335e11,1.6549896021828745e11,0.0,0.0,0.0,5.668258665943508e11
Node{Electricity},0.0,0.0,0.0,0.0,0.0,9.259565595470972e7,9.259565595470972e7
Total,5.9925579655507935e10,1.232152585938435e12,4.798958297601096e11,1.7486615831768536e10,1.6645328738606622e9,9.259565595470972e7,1.7912177397156362e12
