Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Region12Anhui_to_Hehuai_CO2_Injection,Region12Anhui,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region12Anhui_to_Hehuai,co2_storage_Hehuai
CO2Injection,Region1Beijing_to_BohaiOnshore_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_BohaiOnshore,co2_storage_BohaiOnshore
CO2Injection,Region1Beijing_to_Erlian_CO2_Injection,Region1Beijing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region1Beijing_to_Erlian,co2_storage_Erlian
CO2Injection,Region22Chongqing_to_Jianghan_CO2_Injection,Region22Chongqing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region22Chongqing_to_Jianghan,co2_storage_Jianghan
CO2Injection,Region22Chongqing_to_Nanxiang_CO2_Injection,Region22Chongqing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region22Chongqing_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region22Chongqing_to_SichuanBasin_CO2_Injection,Region22Chongqing,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region22Chongqing_to_SichuanBasin,co2_storage_SichuanBasin
CO2Injection,Erlian_to_BohaiOffshore_CO2_Injection,Erlian,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Erlian_to_BohaiOffshore,co2_storage_BohaiOffshore
CO2Injection,Region13Fujian_to_EastChinaSea_CO2_Injection,Region13Fujian,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region13Fujian_to_EastChinaSea,co2_storage_EastChinaSea
CO2Injection,Region13Fujian_to_PearlRiverMouth_CO2_Injection,Region13Fujian,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region13Fujian_to_PearlRiverMouth,co2_storage_PearlRiverMouth
CO2Injection,Region28Gansu_to_SichuanBasin_CO2_Injection,Region28Gansu,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region28Gansu_to_SichuanBasin,co2_storage_SichuanBasin
CO2Injection,Region19Guangdong_to_PearlRiverMouth_CO2_Injection,Region19Guangdong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region19Guangdong_to_PearlRiverMouth,co2_storage_PearlRiverMouth
CO2Injection,Region20Guangxi_to_BeibuGulf_CO2_Injection,Region20Guangxi,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region20Guangxi_to_BeibuGulf,co2_storage_BeibuGulf
CO2Injection,Region21Hainan_to_BeibuGulf_CO2_Injection,Region21Hainan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region21Hainan_to_BeibuGulf,co2_storage_BeibuGulf
CO2Injection,Region21Hainan_to_PearlRiverMouth_CO2_Injection,Region21Hainan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region21Hainan_to_PearlRiverMouth,co2_storage_PearlRiverMouth
CO2Injection,Region21Hainan_to_Qiongdongnan_CO2_Injection,Region21Hainan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region21Hainan_to_Qiongdongnan,co2_storage_Qiongdongnan
CO2Injection,Region3Hebei_to_BohaiOnshore_CO2_Injection,Region3Hebei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region3Hebei_to_BohaiOnshore,co2_storage_BohaiOnshore
CO2Injection,Region3Hebei_to_Qinshui_CO2_Injection,Region3Hebei,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region3Hebei_to_Qinshui,co2_storage_Qinshui
CO2Injection,Region8Heilongjiang_to_Hailar_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Hailar,co2_storage_Hailar
CO2Injection,Region8Heilongjiang_to_Sanjiang_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Sanjiang,co2_storage_Sanjiang
CO2Injection,Region8Heilongjiang_to_Songliao_CO2_Injection,Region8Heilongjiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region8Heilongjiang_to_Songliao,co2_storage_Songliao
CO2Injection,Region16Henan_to_Hehuai_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region16Henan_to_Hehuai,co2_storage_Hehuai
CO2Injection,Region16Henan_to_Nanxiang_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region16Henan_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region16Henan_to_Qinshui_CO2_Injection,Region16Henan,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,157680.0,0,2.93,0.08,40,20,0,co2_transported_Region16Henan_to_Qinshui,co2_storage_Qinshui
