time,elec_MA_seg1,elec_MA_seg2,elec_MA_seg3,elec_MA_seg4,elec_CT_seg1,elec_CT_seg2,elec_CT_seg3,elec_CT_seg4,elec_ME_seg1,elec_ME_seg2,elec_ME_seg3,elec_ME_seg4
1,1.023439534752947e-6,2.500863876120443e-6,6.110376289725843e-6,2.4129674282178634e-5,1.2583298898066428e-6,3.1374910269349095e-6,8.91688384086052e-6,1.9378896237709335e-5,1.5924230924722659e-6,3.6314628565698565e-6,1.0369183131649597e-5,1.5564324915777977e-5
2,1.0550322963042173e-6,2.5920110299829208e-6,6.07386272724411e-6,2.4275906475638062e-5,1.2880778492233778e-6,3.1073380090927247e-6,9.323903086413348e-6,1.9265108534193574e-5,1.6218341809172143e-6,3.829974597525585e-6,1.0266190508378466e-5,1.536740407617537e-5
3,1.0579269886225e-6,2.6388324474019867e-6,5.982076418249178e-6,2.41585581666503e-5,1.313883840250918e-6,3.092238337779612e-6,9.593196834675186e-6,1.913729414333781e-5,1.6493555324905749e-6,3.9765100370636594e-6,1.0170803909980747e-5,1.5232409964368282e-5
4,1.0713279726424745e-6,2.6506748236645394e-6,5.981449647792402e-6,2.412212978645449e-5,1.3097218429772894e-6,3.0743542605530183e-6,9.59214515109699e-6,1.885715496974842e-5,1.6373179977135246e-6,4.083316109308635e-6,9.937208963175886e-6,1.5066166538460456e-5
5,1.07994450495323e-6,2.6411721083574723e-6,6.022460259490916e-6,2.4304795418127556e-5,1.3094046345909905e-6,3.0926395776591396e-6,9.529291027296534e-6,1.8879200528551294e-5,1.6451212782435974e-6,4.086259753742956e-6,9.962488567513225e-6,1.5072618648012903e-5
6,1.0591961125953206e-6,2.5706100317614602e-6,6.016261177841108e-6,2.416506345465508e-5,1.2911031855666178e-6,3.104355525596419e-6,9.259595216265407e-6,1.8709274009390156e-5,1.6443459429065824e-6,4.0232559410664474e-6,1.0049528269288561e-5,1.5149123447442181e-5
7,1.061087389750347e-6,2.5596978349649118e-6,6.084158679378914e-6,2.43561299125793e-5,1.291638488207232e-6,3.1285045042394994e-6,9.195256120404484e-6,1.903891909086956e-5,1.6104695152009547e-6,3.928890726401547e-6,1.0005908780871914e-5,1.520666872653028e-5
8,1.0456659999613557e-6,2.5081270784664186e-6,6.101023530120659e-6,2.419314399432561e-5,1.2765888284554008e-6,3.137049906079958e-6,9.01922967954259e-6,1.9123578606663988e-5,1.611190727513415e-6,3.814330851145252e-6,1.017726275831577e-5,1.5512658868293786e-5
9,1.0555167033427233e-6,2.499770916146056e-6,6.259079963911222e-6,2.4713695620674217e-5,1.275070494911859e-6,3.1730192518937972e-6,8.872059667187406e-6,1.9679961232601544e-5,1.5683467809269128e-6,3.7049256204274608e-6,1.0009953004236066e-5,1.561175949716587e-5
10,1.0479480008879283e-6,2.5452587296377096e-6,6.409808613192581e-6,2.5153464343816098e-5,1.2848207821679848e-6,3.218888961364886e-6,8.640442197489837e-6,2.0145612853740783e-5,1.5197489061203983e-6,3.6377502783188994e-6,9.661431000121e-6,1.5635587357443083e-5
11,1.0593428073071586e-6,2.5957330522877596e-6,6.573562894078712e-6,2.549284105081868e-5,1.277201189749354e-6,3.2291544102537833e-6,8.461030400282819e-6,2.0326378409815227e-5,1.4945139676227685e-6,3.6005552299783845e-6,9.397346102023846e-6,1.556713981769078e-5
12,1.0453916429501278e-6,2.611408094328606e-6,6.603317097094474e-6,2.5526496030396248e-5,1.2845720076470715e-6,3.2477809587268985e-6,8.394368277083911e-6,2.055275220975004e-5,1.5034527670628189e-6,3.5669068624167358e-6,9.47636165392389e-6,1.5659359073259455e-5
13,1.0517269189599897e-6,2.6075610656688176e-6,6.636720302896594e-6,2.5560002169941723e-5,1.2750355397094417e-6,3.2460100606914927e-6,8.352171812630938e-6,2.0568063670926204e-5,1.4877889910131722e-6,3.5646614239094405e-6,9.346992333882192e-6,1.55707896481452e-5
14,1.0617066082363378e-6,2.6454293650129463e-6,6.659006073358806e-6,2.5639536488680784e-5,1.2910445381085136e-6,3.2634283245228093e-6,8.450598439770839e-6,2.0856535797240432e-5,1.497639184780019e-6,3.578995818428065e-6,9.433382757752487e-6,1.5595456439485138e-5
15,1.034021167975593e-6,2.5638940495823276e-6,6.4780760706934986e-6,2.52955398799877e-5,1.266972330429971e-6,3.226331924110944e-6,8.496546533551805e-6,2.049045374287594e-5,1.506165374251876e-6,3.590613036354248e-6,9.539577439287835e-6,1.5638922041516826e-5
16,1.0170510611057732e-6,2.488733727718612e-6,6.407874012831408e-6,2.5098083491055482e-5,1.2554103038014063e-6,3.2248977413220817e-6,8.443730145159193e-6,2.0440990389273644e-5,1.4884641755150744e-6,3.5726558762593193e-6,9.525753874410261e-6,1.5653609265022382e-5
17,9.608256949675812e-7,2.2446677331987724e-6,6.3127590470724655e-6,2.4374612007437527e-5,1.200470273014087e-6,3.200966373443387e-6,7.791988042443252e-6,2.038707364100936e-5,1.4811669203165379e-6,3.2468821130873194e-6,9.90450700121969e-6,1.6469017131504258e-5
18,9.280619442370643e-7,2.170330090048473e-6,6.481788906907473e-6,2.4220580567672904e-5,1.1996820526780455e-6,3.2713976312813637e-6,7.098997350418893e-6,2.0882364892899924e-5,1.4660350548953915e-6,2.9953734151737544e-6,1.0122214387649688e-5,1.6884520824666807e-5
19,9.015919354773063e-7,2.160451091087347e-6,6.4657488822036655e-6,2.4200933596241102e-5,1.2085396633078394e-6,3.2959770984039733e-6,7.1032440750559464e-6,2.1062600737907772e-5,1.49453867031583e-6,2.9165855630370395e-6,1.061856771972983e-5,1.6951732304535812e-5
20,9.133102295535792e-7,2.209642104040873e-6,6.413435023913275e-6,2.4292817897898897e-5,1.2003510191029438e-6,3.2655954707390773e-6,7.336229508422372e-6,2.0770975286933624e-5,1.5040045823188304e-6,2.9200985280819436e-6,1.0634139873063212e-5,1.6597520367862282e-5
21,9.207504817506612e-7,2.2599751585035923e-6,6.333067297401597e-6,2.41885626127656e-5,1.220548218334409e-6,3.2645334244443628e-6,7.663289941828995e-6,2.072288946174253e-5,1.5328850907172174e-6,2.8999006894756783e-6,1.0861880645504866e-5,1.642833060652029e-5
