zone,Investment,FixedOM,VariableOM,Startup,Fuel,NonServedDemand,UnmetPolicyPenalty,Total
MA_battery_storage_elec_MA,2.9534287572741095e7,7.38206381069075e6,195758.3670464225,0.0,0.0,0.0,0.0,3.711210975047827e7
elec_MA_MA_battery_storage,0.0,0.0,231283.51494142652,0.0,0.0,0.0,0.0,231283.51494142652
CT_battery_storage_elec_CT,1.6450542314662639e7,4.11179557956871e6,86299.96520363595,0.0,0.0,0.0,0.0,2.0648637859434985e7
elec_CT_CT_battery_storage,0.0,0.0,101961.20652603476,0.0,0.0,0.0,0.0,101961.20652603476
ME_battery_storage_elec_ME,4.0223094379181033e6,1.0053719719469524e6,26501.93680703231,0.0,0.0,0.0,0.0,5.054183346672088e6
elec_ME_ME_battery_storage,0.0,0.0,31311.36201208908,0.0,0.0,0.0,0.0,31311.36201208908
MA_natural_gas_combined_cycle_transforms_elec_MA,6.422704513174477e8,1.0102501731961137e8,4.9711046448634624e7,3.89511611946894e7,0.0,0.0,0.0,8.31957676280383e8
MA_NG_MA_natural_gas_combined_cycle_transforms,0.0,0.0,0.0,0.0,2.93568517112747e8,0.0,0.0,2.93568517112747e8
CT_natural_gas_combined_cycle_transforms_elec_CT,5.744310459485395e8,8.518092176772073e7,1.1976951680466743e8,7.382710893283819e7,0.0,0.0,0.0,8.532085934537659e8
CT_NG_CT_natural_gas_combined_cycle_transforms,0.0,0.0,0.0,0.0,5.902731962291409e8,0.0,0.0,5.902731962291409e8
ME_natural_gas_combined_cycle_transforms_elec_ME,1.3583615395331264e6,338364.9516901248,167138.01247129095,112329.91920067268,0.0,0.0,0.0,1.976194422895215e6
ME_NG_ME_natural_gas_combined_cycle_transforms,0.0,0.0,0.0,0.0,859620.1693180987,0.0,0.0,859620.1693180987
elec_MA_elec_CT,3.557676980165413e7,0.0,0.0,0.0,0.0,0.0,0.0,3.557676980165413e7
elec_MA_elec_ME,3.8520476641762696e7,0.0,0.0,0.0,0.0,0.0,0.0,3.8520476641762696e7
MA_solar_pv_transforms_elec_MA,6.205684300146627e8,1.3648140383440882e8,0.0,0.0,0.0,0.0,0.0,7.570498338490715e8
CT_onshore_wind_transforms_elec_CT,9.213956942264373e8,4.095565943318233e8,3.229158703312716e6,0.0,0.0,0.0,0.0,1.3341814472615733e9
CT_solar_pv_transforms_elec_CT,7.046148492072845e7,1.5496570423363019e7,0.0,0.0,0.0,0.0,0.0,8.595805534409146e7
ME_onshore_wind_transforms_elec_ME,7.45207156233046e8,3.312415142494728e8,2.6026114787273845e6,0.0,0.0,0.0,0.0,1.0790512819612463e9
MA_battery_storage,1.0086711719639552e8,2.5210053030947614e7,0.0,0.0,0.0,0.0,0.0,1.2607717022734313e8
CT_battery_storage,4.885638692168215e7,1.2210838769169426e7,0.0,0.0,0.0,0.0,0.0,6.106722569085158e7
ME_battery_storage,1.506537593303601e7,3.7653393569631213e6,0.0,0.0,0.0,0.0,0.0,1.883071528999913e7
elec_MA,0.0,0.0,0.0,0.0,0.0,2.417699523127167e6,0.0,2.417699523127167e6
elec_CT,0.0,0.0,0.0,0.0,0.0,694479.5663007601,0.0,694479.5663007601
elec_ME,0.0,0.0,0.0,0.0,0.0,334783.71067139594,0.0,334783.71067139594
co2_sink_1,0.0,0.0,0.0,0.0,0.0,0.0,8.344788914806483e8,8.344788914806483e8
co2_sink_2,0.0,0.0,0.0,0.0,0.0,0.0,1.9155630421376634e9,1.9155630421376634e9
co2_sink_3,0.0,0.0,0.0,0.0,0.0,0.0,274.001293508033,274.001293508033
Total,3.8645858900202475e9,1.1330058493973768e9,1.7615258780035007e8,1.1289060004672827e8,8.84701333511206e8,3.446962800099323e6,2.7500422076196055e9,8.924825431195614e9
