time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
1,451.2975375838777,-0.0,0.0,-0.0,0.0,-200.94289067383215,0.0,-0.0,0.0,359.36781775261943,-749.8806134109552,135.7645616388724,0.0,-0.0,0.0,-3520.642300703889,-4000.0,0.0,5403.274482951269,0.0,5270.942890673832
2,0.0,-75.31075820751494,0.0,-525.5724287323595,0.0,-0.0,0.0,-0.0,0.0,359.36781775261943,-749.8806134109552,135.7645616388724,0.0,-0.0,0.0,-3622.5040910842304,-4000.0,0.0,5908.70870206397,0.0,5012.0
3,0.0,-1511.786570603064,0.0,-155.58521053527633,0.0,-0.0,0.0,-0.0,0.0,359.36781775261943,-749.8806134109552,135.7645616388724,0.0,-0.0,0.0,-4755.927628786708,-4000.0,0.0,6581.145021569365,0.0,4969.0
4,0.0,-1431.788488223194,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,359.36781775261943,-749.8806134109552,135.7645616388724,0.0,-0.0,0.0,-4512.939372532466,-4000.0,0.0,6137.571554779847,0.0,4947.0
5,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1395.6561029309041,-3238.15267187279,586.2618264217285,0.0,-0.0,0.0,-3038.0005272948038,-4000.0,0.0,3619.3444243638996,0.0,4944.0
6,0.0,-0.0,0.0,-0.0,0.0,-109.39801987535665,0.0,-0.0,0.0,2855.803180118003,-6683.93242433636,1210.1141693558743,0.0,-0.0,0.0,-3162.5330036500372,-4000.0,0.0,2318.729823532034,0.0,5069.398019875357
7,0.0,-0.0,0.0,-0.0,0.0,-200.94289067383215,0.0,-0.0,0.0,2733.2949696397036,-5703.473731410829,1032.6038533542687,0.0,-0.0,0.0,-3427.797302878259,-4000.0,0.0,2781.5023332385554,0.0,5196.942890673832
8,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,2293.151513642934,-4785.041338561234,866.3232895149258,0.0,-0.0,0.0,-3728.440014560212,-3938.8552183396423,0.0,3589.2885009172783,0.0,4967.855218339642
9,0.0,-0.0,0.0,-0.0,0.0,-0.0,38.135147191102874,-130.8019730266503,23.68146637194202,2745.7057291930796,-5729.370841633392,1037.2924794558119,0.0,-0.0,0.0,-3763.543300370026,-2952.2811790191977,1296.3776064098918,3122.237966995969,164.5996041809766,4035.2811790191977
10,1389.8356333773625,-0.0,839.3971252559804,-0.0,0.0,-0.0,1508.668244548162,-4584.173795919148,829.9565754186177,4086.8885952646624,-9249.562592482132,1674.6169833723336,0.0,-0.0,0.0,-2891.2969856283885,540.3930023698842,3126.171968239705,0.1441012296117807,346.8671638781339,607.227799018564
11,796.7159238401737,-0.0,0.0,-0.0,200.94289067383215,-0.0,2297.7079646204047,-5003.300566819463,905.8387375984969,4086.8885952646624,-8527.971552725281,1543.97419911697,0.0,-0.0,0.0,-2112.8072772001506,791.8645142875903,4188.6332105925,0.43135565443000146,474.4873262810579,191.75577904711508
12,150.81232809001813,-0.0,318.66902899749005,-0.0,200.94289067383218,-0.0,2297.7079646204047,-5003.300566819463,905.8387375984969,4086.8885952646624,-8527.971552725281,1543.97419911697,0.0,-0.0,0.0,-2471.456958773251,948.5287166669484,4724.964811670454,5.423136012310726,534.4761984987878,50.17063093169797
13,108.13381422079055,-0.0,0.0,-0.0,0.0,-0.0,2297.7079646204047,-5003.300566819463,905.8387375984969,4086.8885952646624,-8527.971552725281,1543.97419911697,0.0,-0.0,0.0,-2929.50010001798,1116.1323894030918,4523.840461266222,822.9109758567114,506.700528896606,92.80390580998089
14,0.0,-0.0,0.0,-0.0,0.0,-0.0,1075.3273274423495,-2341.544665271509,423.93252919609665,3036.2550776081016,-6335.65029363928,1147.0583042553474,0.0,-0.0,0.0,-4315.883313297991,1051.2201146440907,4343.120030468215,3233.722821839185,509.9054138507039,145.44040465244674
15,0.0,-0.0,0.0,-0.0,0.0,-0.0,1075.3273274423495,-2341.544665271509,423.93252919609665,3713.1432249742147,-7748.0897890058795,1402.7779821619786,0.0,-0.0,0.0,-4790.732548771372,916.1362232870011,3653.030320929054,3096.0236875273577,421.5656362698003,266.8693778766394
16,0.0,-0.0,0.0,-0.0,0.0,-0.0,1183.4284155786759,-2576.9367359238104,466.54984815839174,4086.8885952646624,-8527.971552725281,1543.97419911697,0.0,-0.0,0.0,-5561.8475580259055,495.5962775729523,2412.7634934362854,3652.1062086495563,276.85275411168755,685.144095840236
17,1511.786570603064,-0.0,839.3971252559804,-0.0,200.94289067383215,-0.0,2297.7079646204047,-5003.300566819463,905.8387375984969,4086.8885952646624,-8527.971552725281,1543.97419911697,0.0,-0.0,0.0,-4781.022925389859,-440.13463893869016,467.8327281141936,2459.972663049304,87.76454181991164,1525.191748264858
18,173.40438681239775,-0.0,0.0,-409.18395998522783,0.0,-0.0,1937.5493718224611,-4219.048730103325,763.8513266399254,1471.2798942952784,-3070.069758981101,555.8307116821092,0.0,-0.0,0.0,-5900.0,-2332.4931430267375,0.0,7757.90406568995,0.0,3726.4931430267375
19,0.0,-0.0,0.0,-178.4330315088171,0.0,-0.0,467.01627446540203,-1016.9363673388685,184.11453457688734,0.0,-0.0,0.0,0.0,-0.0,0.0,-5900.0,-3948.185191516325,0.0,8981.433031508817,0.0,5334.185191516325
20,0.0,-0.0,332.5642009613137,-0.0,0.0,-0.0,105.21982630000008,-229.11807099663685,41.48142239724157,0.0,-0.0,0.0,0.0,-0.0,0.0,-5900.0,-4000.0,0.0,8382.435799038687,0.0,5343.0
