name,latitude,longitude
Beijing,39.9042,116.4074
Tianjin,39.3434,117.3616
Hebei,38.0428,114.5149
Shanxi,37.8706,112.5489
Inner Mongolia,40.8175,111.7655
Liaoning,41.8057,123.4315
Jilin,43.8868,125.3245
Heilongjiang,45.8038,126.5349
Shanghai,31.2304,121.4737
Jiangsu,32.0603,118.7969
Zhejiang,30.2741,120.1551
Anhui,31.8612,117.2830
Fujian,26.0745,119.2965
Jiangxi,28.6820,115.8579
Shandong,36.6512,117.1201
Henan,34.7466,113.6254
Hubei,30.5928,114.3055
Hunan,28.2278,112.9388
Guangdong,23.1291,113.2644
Guangxi,22.8170,108.3665
Hainan,20.0440,110.3419
Chongqing,29.5630,106.5516
Sichuan,30.5723,104.0665
Guizhou,26.5983,106.7072
Yunnan,25.0453,102.7097
Tibet,29.6520,91.1721
Shaanxi,34.2658,108.9541
Gansu,36.0611,103.8343
Qinghai,36.6232,101.7782
Ningxia,38.4872,106.2309
Xinjiang,43.7928,87.6271
