start,end,pipeline_type,straight_line_km,path_length_km,onshore_km,offshore_km,mean_surface_cost,investment_cost,operational_cost
Anhui,Hehuai Basin,onshore,319.29,380.51,380.51,0.0,1.8508102893829346,0.0006782041530394652,1.0993090273972601e-05
Anhui,Hubei,onshore,316.28,396.26,396.26,0.0,1.9124033451080322,0.0007297803993443201,1.1448114246575341e-05
Anhui,Jiangxi,onshore,379.06,407.77,407.77,0.0,2.1325290203094482,0.0008374187604163606,1.1780642876712326e-05
Anhui,Shandong,onshore,532.83,566.81,566.81,0.0,2.081829071044922,0.0011363576433404896,1.6375373835616436e-05
Beijing,Bohai Bay Basin (onshore),onshore,201.93,217.42,217.42,0.0,2.553795099258423,0.0005347096297643543,6.2813531506849305e-06
Beijing,Erlian Basin,onshore,484.54,505.2,505.2,0.0,1.4910615682601929,0.0007254231039895749,1.4595435616438354e-05
Beijing,Hebei,onshore,263.81,333.82,333.82,0.0,2.489621639251709,0.0008003467170100668,9.644196986301368e-06
Beijing,Inner Mongolia,onshore,406.14,653.39,653.39,0.0,1.2753888368606567,0.0008025046539970114,1.8876705616438353e-05
Beijing,Tianjin,onshore,102.8,138.91,138.91,0.0,2.8796980381011963,0.00038522363656748484,4.0131669863013695e-06
Chongqing,Guizhou,onshore,330.01,345.38,345.38,0.0,2.0289039611816406,0.0006748249638758619,9.9781701369863e-06
Chongqing,Jianghan Basin,onshore,621.43,772.06,772.06,0.0,1.7716845273971558,0.0013172551638688222,2.23051306849315e-05
Chongqing,Nanxiang Basin,onshore,651.85,845.62,845.62,0.0,1.8527910709381104,0.0015088086319738347,2.443030931506849e-05
Chongqing,Shaanxi,onshore,569.92,614.99,614.99,0.0,2.4580368995666504,0.0014557571004708758,1.7767313835616438e-05
Chongqing,Sichuan,onshore,264.16,305.69,305.69,0.0,1.88081955909729,0.0005536825409690093,8.831509726027396e-06
Chongqing,Sichuan Basin,onshore,104.35,118.31,118.31,0.0,2.3750293254852295,0.0002705969490509654,3.418024520547945e-06
Erlian Basin,Bohai Bay Basin (offshore),mixed,682.24,682.24,0.0,682.24,0.8691120147705078,0.0010654158904109588,3.196247671232876e-05
Fujian,East China Sea Basin,mixed,647.54,647.54,0.0,647.54,9.993783950805664,0.0010112268493150684,3.033680547945205e-05
Fujian,Guangdong,onshore,692.09,796.77,796.77,0.0,2.0524680614471436,0.0015748596151444192,2.3019012739726023e-05
Fujian,Jiangxi,onshore,446.43,508.41,508.41,0.0,2.078289031982422,0.001017542352747094,1.4688173835616438e-05
Fujian,Pearl River Mouth Basin,mixed,774.51,774.51,0.0,774.51,9.993783950805664,0.0012095087671232876,3.6285263013698625e-05
Gansu,Ningxia,onshore,343.11,402.04,402.04,0.0,1.094719409942627,0.00042384254393979946,1.1615100821917807e-05
Gansu,Qinghai,onshore,194.47,232.39,232.39,0.0,1.2036784887313843,0.0002693769305882045,6.713842602739725e-06
Gansu,Sichuan Basin,onshore,664.72,742.23,742.23,0.0,1.7099220752716064,0.0012222140955287365,2.1443329726027397e-05
Guangdong,Guangxi,onshore,502.6,590.05,590.05,0.0,1.8847312927246094,0.0010709537624497606,1.704678698630137e-05
Guangdong,Hainan,onshore,457.12,602.8,602.8,0.0,2.1419522762298584,0.0012434132725675136,1.7415139726027395e-05
Guangdong,Pearl River Mouth Basin,mixed,310.91,310.91,0.0,310.91,8.924922943115234,0.0004855306849315069,1.4565920547945206e-05
Guangxi,Beibu Gulf Basin,mixed,285.28,285.28,0.0,285.28,9.555877685546875,0.00044550575342465747,1.3365172602739723e-05
Guangxi,Guizhou,onshore,452.62,485.93,485.93,0.0,1.7812385559082031,0.0008335434901166419,1.4038717397260273e-05
Guangxi,Hainan,onshore,369.96,438.08,438.08,0.0,1.898801326751709,0.0008010606853589618,1.265631123287671e-05
Guangxi,Yunnan,onshore,625.96,728.56,728.56,0.0,1.597232460975647,0.001120639474360544,2.1048397808219175e-05
Guizhou,Yunnan,onshore,435.76,517.72,517.72,0.0,1.6904561519622803,0.0008428131783187944,1.4957143561643834e-05
Hainan,Beibu Gulf Basin,mixed,128.89,128.89,0.0,128.89,8.860152244567871,0.0002012802739726027,6.038408219178081e-06
