Source,Destination,CO2 Flow
Qaidam,Tarim,0.9838937371602767
Erlian,BohaiOffshore,0.9063059255103049
TurpanHami,Qaidam,0.884019756070008
Songliao,Erlian,0.842053137462096
Nanxiang,Hehuai,0.7761192872897065
Ordos,Qinshui,0.5411134970246424
Nanxiang,Jianghan,0.5263773881386609
TurpanHami,Junggar,0.5223459539911537
Songliao,Hailar,0.4856431422691944
Qaidam,YingenEjina,0.47908800401232243
Nanxiang,Qinshui,0.47835465790318077
TurpanHami,YingenEjina,0.4536626128245576
Hebei,BohaiOnshore,0.3944779861483368
Yunnan,BeibuGulf,0.3620387715386592
Hubei,Nanxiang,0.3573684158690664
Chongqing,Nanxiang,0.35628960860632797
Beijing,BohaiOnshore,0.3536580395574744
Shaanxi,Nanxiang,0.3478163732645376
Henan,Nanxiang,0.3455656240476504
Qinghai,Qaidam,0.3449031364489512
Guangxi,BeibuGulf,0.339993248951472
Anhui,Hehuai,0.3374872240468992
Fujian,PearlRiverMouth,0.3307313007261504
Jiangsu,Subei,0.3213391773433128
Innermongolia,Erlian,0.2953403243903976
Fujian,EastChinaSea,0.2864039592035976
Heilongjiang,Sanjiang,0.2801064355645872
Tianjin,BohaiOnshore,0.2790687399329904
Guangdong,PearlRiverMouth,0.2752758992182488
Zhejiang,EastChinaSea,0.2752504536910656
Xinjiang,TurpanHami,0.2579833601603688
Jilin,Sanjiang,0.25442049105478803
Liaoning,NorthYellowSea,0.2543811250247016
Jilin,NorthYellowSea,0.248214328301604
Hubei,Hehuai,0.2370725775913944
Shandong,BohaiOnshore,0.2307858364116312
Xinjiang,Tarim,0.2296151756079408
Xinjiang,Qaidam,0.229016980808952
Henan,Hehuai,0.2240101614786504
Tibet,Qaidam,0.2191922600436792
Gansu,SichuanBasin,0.2122571493238008
Beijing,Erlian,0.20949418767096478
Sichuan,SichuanBasin,0.2051242958095824
Shandong,NorthYellowSea,0.20485947528906
Liaoning,Songliao,0.20174549837001599
Shandong,Subei,0.19570439157976083
Heilongjiang,Songliao,0.18856429735800717
Liaoning,Erlian,0.184025119513188
Shanghai,EastChinaSea,0.1810575948186528
Shandong,Hehuai,0.18037200513234
Hunan,Jianghan,0.1794458503914336
Jilin,Songliao,0.1759634952374064
Tianjin,Erlian,0.17576753832548642
Shanghai,Subei,0.17480478077341918
Liaoning,BohaiOffshore,0.1718952752798616
Tibet,Tarim,0.166509310647768
Shanxi,Ordos,0.1665017554489488
Ningxia,Ordos,0.1660827565319208
Tianjin,BohaiOffshore,0.1649240024583768
Hebei,Qinshui,0.1594522982935368
Chongqing,SichuanBasin,0.1588058349214824
Shandong,BohaiOffshore,0.1560064772145576
Hainan,Qiongdongnan,0.1552797294546744
Ningxia,YingenEjina,0.1469730843839256
Shaanxi,SichuanBasin,0.1464699290220792
Xinjiang,Junggar,0.1358910585610944
Shanxi,Qinshui,0.1348194555880824
Qinghai,YingenEjina,0.1345738832805048
Heilongjiang,Hailar,0.12689068191493202
Innermongolia,Ordos,0.1258007864880312
Innermongolia,YingenEjina,0.1256913747891048
Hainan,PearlRiverMouth,0.12245657838102961
Chongqing,Jianghan,0.1218227086988832
Hainan,BeibuGulf,0.1212919991138976
Shanghai,SouthYellowSea,0.11472163200597599
Shaanxi,Ordos,0.1113603042365568
Henan,Qinshui,0.110119257486468
Shandong,SouthYellowSea,0.1084592637958296
Shaanxi,Qinshui,0.1062145285500648
Hubei,Jianghan,0.1050797403067968
