Province,Cement,Steel
Anhui,0.20343623392029597,0.0676088014413792
Beijing,0.27021864831379677,0.0702686364194976
Chongqing,0.3073809607738488,0.0783942670011456
Fujian,0.3366326186410392,0.07547965071242879
Gansu,0.1099706672700576,0.05404870104396
Guangdong,0.20774822004534,0.0739201025236656
Guangxi,0.2097438185153712,0.07168264650161521
Hainan,0.303319619974788,0.0
Hebei,0.230482383677808,0.0697891112225328
Heilongjiang,0.3217278593553864,0.07263033235716
Henan,0.3104390028956328,0.076829890303404
Hubei,0.30375952499382963,0.07770726388032481
Hunan,0.09683170138285921,0.0695174868166776
Innermongolia,0.2686545048107952,0.0760046672263584
Jiangsu,0.21210456811527362,0.06806457449202
Jilin,0.37689433200809996,0.07711855902871681
Liaoning,0.38609514393702715,0.0798499449377568
Ningxia,0.189842103863748,0.0664475357709096
Qinghai,0.2700175064301576,0.0745421976311304
Shaanxi,0.32489320913384634,0.0801771829949184
Shandong,0.5172661020069408,0.0846690012487512
Shanghai,0.32734400774068084,0.0780635182257048
Shanxi,0.194288422884456,0.0666287935411032
Sichuan,0.1137565649586528,0.054410566401230404
Tianjin,0.3316311434157528,0.0741243694987872
Tibet,0.3232395397763448,0.0
Xinjiang,0.5009874184057368,0.0837525538862928
Yunnan,0.203554308625632,0.0704622189715368
Zhejiang,0.177277965202956,0.0696714108532848
