Province,Technology,Capacity
Anhui,Battery,2.112635278628638
Anhui,Coal,82901.73695320386
Anhui,Hydropower,5071.0
Anhui,Natural Gas,916.0739905465664
Anhui,Pumped Hydro,4680.0
Anhui,Solar Distributed,1.5279112087609974
Anhui,Solar Utility,1.4248710799897708
Anhui,Wind Onshore,1.3336133193914572
Beijing,Battery,2.8265914619376735
Beijing,Coal,3.2662112856366057
Beijing,Hydropower,892.0
Beijing,Natural Gas,11376.530186437902
Beijing,Pumped Hydro,892.0
Beijing,Solar Distributed,1.4897732702276656
Beijing,Solar Utility,1.3631064439386864
Beijing,Wind Onshore,0.7964177047837011
Chongqing,Battery,0.6054249127183875
Chongqing,Coal,14394.26294440676
Chongqing,Hydropower,5834.0
Chongqing,Natural Gas,867.5464272512658
Chongqing,Pumped Hydro,1200.0
Chongqing,Solar Distributed,1.2067335228742024
Chongqing,Solar Utility,1.3388295364606293
Chongqing,Wind Onshore,1.0176263750406458
Fujian,Battery,2.2203893410161
Fujian,Coal,30320.265548777432
Fujian,Hydropower,8922.0
Fujian,Natural Gas,4022.837175512014
Fujian,Nuclear,3510.7474275595387
Fujian,Pumped Hydro,3800.0
Fujian,Solar Distributed,1.486526786299521
Fujian,Solar Utility,1.2574675541966904
Fujian,Wind Offshore,0.4808163843112074
Fujian,Wind Onshore,0.9754053659057682
Gansu,Battery,2.0698848111200245
Gansu,Coal,29543.07002905023
Gansu,Hydropower,5514.0
Gansu,Natural Gas,4.037224822056122
Gansu,Solar Utility,1.5373375781987306
Gansu,Wind Onshore,1.1007552924710264
Guangdong,Battery,2.1107467527015307
Guangdong,Coal,97195.31886876826
Guangdong,Hydropower,12682.0
Guangdong,Natural Gas,19551.16999125209
Guangdong,Nuclear,6454.700119446835
Guangdong,Pumped Hydro,10880.0
Guangdong,Solar Distributed,1.659845718959332
Guangdong,Solar Utility,1.656880365973052
Guangdong,Wind Offshore,0.5536533800142681
Guangdong,Wind Onshore,1.3416218616319555
Guangxi,Battery,2.35978050402598
Guangxi,Coal,32401.805322250995
Guangxi,Hydropower,15330.0
Guangxi,Natural Gas,143.2228029258202
Guangxi,Nuclear,869.0855288868712
