time,Technology,Generation
1,Coal,1123275.9936505086
2,Coal,1123267.2623729515
3,Coal,1121569.9131090986
4,Coal,1116456.4665373468
5,Coal,1120458.5626490768
6,Coal,1123269.2989072378
7,Coal,1123282.133083533
8,Coal,1123292.57533094
9,Coal,1123300.4484928092
10,Coal,1123306.357006833
11,Coal,1123310.6704192446
12,Coal,1123312.760279964
13,Coal,1123313.575786338
14,Coal,1123315.1359903063
15,Coal,1123316.2105066124
16,Coal,1123316.9100305715
17,Coal,1123318.103587939
18,Coal,1123318.1654661566
19,Coal,1123317.0059265392
20,Coal,1123314.0732520015
21,Coal,1123310.03044868
22,Coal,1123304.070249487
23,Coal,1123295.940722623
24,Coal,1123285.7044958824
1,Natural Gas,94872.36716824448
2,Natural Gas,94854.15975105537
3,Natural Gas,93881.20063264565
4,Natural Gas,92147.56797381185
5,Natural Gas,93611.07470863908
6,Natural Gas,94858.51195835232
7,Natural Gas,94880.95391553055
8,Natural Gas,94897.10751004945
9,Natural Gas,94908.9789276103
10,Natural Gas,94915.93168128227
11,Natural Gas,94919.52741816542
12,Natural Gas,94921.34190045351
13,Natural Gas,94922.12512223302
14,Natural Gas,94922.95356117986
15,Natural Gas,94923.44817120153
16,Natural Gas,94923.97050063875
17,Natural Gas,94924.69442286094
18,Natural Gas,94925.03135567822
19,Natural Gas,94924.79926779671
20,Natural Gas,94922.62626755249
21,Natural Gas,94919.78236848148
22,Natural Gas,94914.68381394722
23,Natural Gas,94905.49483541025
24,Natural Gas,94890.27714119449
1,Nuclear,19955.193726169375
2,Nuclear,19954.89971024538
3,Nuclear,19787.50296599871
4,Nuclear,19556.914176521288
5,Nuclear,19727.24598355039
6,Nuclear,19954.8075737727
7,Nuclear,19955.588030564024
8,Nuclear,19956.05150753146
9,Nuclear,19956.36097696299
10,Nuclear,19956.410038278827
11,Nuclear,19956.428240904665
12,Nuclear,19956.384341175206
13,Nuclear,19956.37187212339
14,Nuclear,19956.48844920539
15,Nuclear,19956.586606789657
16,Nuclear,19956.666486461072
17,Nuclear,19956.767757364665
18,Nuclear,19956.841695427796
19,Nuclear,19957.19955526357
20,Nuclear,19956.775311205853
21,Nuclear,19956.70470999799
22,Nuclear,19956.532498015273
23,Nuclear,19956.24103972088
24,Nuclear,19955.66429040519
1,Hydropower,3111.994807090837
2,Hydropower,825.1908321768675
3,Hydropower,19.950917379123826
4,Hydropower,19.525813420948637
5,Hydropower,21.281726121216284
6,Hydropower,2793.3379176700982
7,Hydropower,19202.62867377076
8,Hydropower,99324.03870057511
9,Hydropower,183883.09723521382
10,Hydropower,229137.4135970462
11,Hydropower,256410.67765334528
12,Hydropower,214882.8116317565
13,Hydropower,167991.17748254573
14,Hydropower,201136.81809394286
15,Hydropower,220016.2171136261
16,Hydropower,234305.2110347536
17,Hydropower,258940.55720773168
18,Hydropower,280442.2488447234
19,Hydropower,292555.63058089546
20,Hydropower,260650.66998626722
21,Hydropower,227518.44665315186
22,Hydropower,163685.36900560025
23,Hydropower,98682.08635570752
24,Hydropower,27521.50950503244
1,Solar Utility,0.0
2,Solar Utility,0.0
3,Solar Utility,0.0
4,Solar Utility,0.0
5,Solar Utility,0.0
6,Solar Utility,0.0
7,Solar Utility,0.0
8,Solar Utility,0.0
9,Solar Utility,0.4162254511475189
10,Solar Utility,2.329665607283371
11,Solar Utility,5.460330209698284
12,Solar Utility,8.56446473696388
13,Solar Utility,10.543188971041163
14,Solar Utility,11.686037655848247
15,Solar Utility,11.335099657297224
16,Solar Utility,9.997416706971945
17,Solar Utility,6.85572692997192
18,Solar Utility,2.7917144955302557
19,Solar Utility,0.733225286226232
20,Solar Utility,0.1523257209727551
21,Solar Utility,0.0432553745280343
22,Solar Utility,0.0094907872545791
23,Solar Utility,0.0
24,Solar Utility,0.0
1,Solar Distributed,0.0
2,Solar Distributed,0.0
3,Solar Distributed,0.0
4,Solar Distributed,0.0
5,Solar Distributed,0.0
6,Solar Distributed,0.0
7,Solar Distributed,0.0
8,Solar Distributed,0.0
9,Solar Distributed,0.43421466560960603
10,Solar Distributed,1.6839179514053522
11,Solar Distributed,3.3494359145965555
12,Solar Distributed,4.613876077616123
13,Solar Distributed,5.4590236199692495
14,Solar Distributed,5.744094240190012
15,Solar Distributed,5.1426137247794035
16,Solar Distributed,4.443782602344063
17,Solar Distributed,3.0847534061487445
18,Solar Distributed,1.2978727064076852
19,Solar Distributed,0.2526861942643523
20,Solar Distributed,0.0477029882133783
21,Solar Distributed,0.0
22,Solar Distributed,0.0
23,Solar Distributed,0.0
24,Solar Distributed,0.0
1,Wind Onshore,6.192766885268126
2,Wind Onshore,6.251861086951955
3,Wind Onshore,5.8510284856676495
4,Wind Onshore,5.7694966740054525
5,Wind Onshore,5.717683280692288
6,Wind Onshore,5.969081395783619
7,Wind Onshore,5.725270273928092
8,Wind Onshore,5.3697457623759615
9,Wind Onshore,5.21936135471923
10,Wind Onshore,4.865363239302128
11,Wind Onshore,4.529674604537543
12,Wind Onshore,4.430194461342756
13,Wind Onshore,4.560939846805054
14,Wind Onshore,4.841595422614789
15,Wind Onshore,4.93988344737603
16,Wind Onshore,5.132933161710477
17,Wind Onshore,5.226356441567701
18,Wind Onshore,5.179351768264621
19,Wind Onshore,4.740696491432571
20,Wind Onshore,4.5757344410467935
21,Wind Onshore,4.692310394456825
22,Wind Onshore,4.733475570199769
23,Wind Onshore,4.7748379801312835
24,Wind Onshore,4.804973762700618
1,Wind Offshore,1.6508087197637815
2,Wind Offshore,1.660393902962139
3,Wind Offshore,1.5768190409742155
4,Wind Offshore,1.6259716722837665
5,Wind Offshore,1.6335975924516293
6,Wind Offshore,1.6759754139803946
7,Wind Offshore,1.6271006422345227
8,Wind Offshore,1.643147656703365
9,Wind Offshore,1.7094459583657813
10,Wind Offshore,1.7443887638313418
11,Wind Offshore,1.7398248753039498
12,Wind Offshore,1.6633715721323825
13,Wind Offshore,1.5917347281980274
14,Wind Offshore,1.4990256018793535
15,Wind Offshore,1.3883580363483752
16,Wind Offshore,1.318991769811431
17,Wind Offshore,1.2706518924917318
18,Wind Offshore,1.2693732581561237
19,Wind Offshore,1.197592674265334
20,Wind Offshore,1.1737012540131164
21,Wind Offshore,1.189529331896893
22,Wind Offshore,1.2297941305514106
23,Wind Offshore,1.2860456113834386
24,Wind Offshore,1.376622665143994
1,Battery,16.39759910433257
2,Battery,17.82725967254064
3,Battery,11.480221716756153
4,Battery,12.2049956681013
5,Battery,11.867668386077936
6,Battery,17.684267649461958
7,Battery,17.707492764519436
8,Battery,16.914116643286018
9,Battery,16.629186135923746
10,Battery,16.098010622396163
11,Battery,15.75665577004128
12,Battery,15.495238011797953
13,Battery,15.331681123277852
14,Battery,15.409625721083017
15,Battery,15.408685010713581
16,Battery,15.443092098397093
17,Battery,15.560056351371731
18,Battery,15.636300871473047
19,Battery,15.650093432399109
20,Battery,15.669095653038617
21,Battery,15.788955892894654
22,Battery,16.156531891801706
23,Battery,16.37917089735064
24,Battery,16.257268622680915
1,Pumped Hydro,64.72017559134827
2,Pumped Hydro,52.200576099979685
3,Pumped Hydro,7.929422141436275
4,Pumped Hydro,7.533073286020015
5,Pumped Hydro,8.206389027791353
6,Pumped Hydro,62.271371656313235
7,Pumped Hydro,249.4173477791063
8,Pumped Hydro,2146.4644904498264
9,Pumped Hydro,6304.00481572588
10,Pumped Hydro,13792.166734898767
11,Pumped Hydro,23963.26337085414
12,Pumped Hydro,9358.985859795945
13,Pumped Hydro,4373.850170316267
14,Pumped Hydro,7044.607471044544
15,Pumped Hydro,8270.42197053044
16,Pumped Hydro,12744.413249816194
17,Pumped Hydro,30522.540970198224
18,Pumped Hydro,36570.766774273354
19,Pumped Hydro,41496.41360060424
20,Pumped Hydro,16534.431847446718
21,Pumped Hydro,7235.295729231863
22,Pumped Hydro,3542.7104036723767
23,Pumped Hydro,1343.2073296574579
24,Pumped Hydro,137.2568037843045
