time,Region1Beijing_Hydropower_storage,Region2Tianjin_Hydropower_storage,Region3Hebei_Hydropower_storage,Region4Shanxi_Hydropower_storage,Region5Innermongolia_Hydropower_storage,Region6Liaoning_Hydropower_storage,Region7Jilin_Hydropower_storage,Region8Heilongjiang_Hydropower_storage,Region9Shanghai_Hydropower_storage,Region10Jiangsu_Hydropower_storage,Region11Zhejiang_Hydropower_storage,Region12Anhui_Hydropower_storage,Region13Fujian_Hydropower_storage,Region14Jiangxi_Hydropower_storage,Region15Shandong_Hydropower_storage,Region16Henan_Hydropower_storage,Region17Hubei_Hydropower_storage,Region18Hunan_Hydropower_storage,Region19Guangdong_Hydropower_storage,Region20Guangxi_Hydropower_storage,Region21Hainan_Hydropower_storage,Region22Chongqing_Hydropower_storage,Region23Sichuan_Hydropower_storage,Region24Guizhou_Hydropower_storage,Region25Yunnan_Hydropower_storage,Region26Tibet_Hydropower_storage,Region27Shaanxi_Hydropower_storage,Region28Gansu_Hydropower_storage,Region29Qinghai_Hydropower_storage,Region30Ningxia_Hydropower_storage,Region31Xinjiang_Hydropower_storage,Region1Beijing_battery_storage,Region2Tianjin_battery_storage,Region3Hebei_battery_storage,Region4Shanxi_battery_storage,Region5Innermongolia_battery_storage,Region6Liaoning_battery_storage,Region7Jilin_battery_storage,Region8Heilongjiang_battery_storage,Region9Shanghai_battery_storage,Region10Jiangsu_battery_storage,Region11Zhejiang_battery_storage,Region12Anhui_battery_storage,Region13Fujian_battery_storage,Region14Jiangxi_battery_storage,Region15Shandong_battery_storage,Region16Henan_battery_storage,Region17Hubei_battery_storage,Region18Hunan_battery_storage,Region19Guangdong_battery_storage,Region20Guangxi_battery_storage,Region21Hainan_battery_storage,Region22Chongqing_battery_storage,Region23Sichuan_battery_storage,Region24Guizhou_battery_storage,Region25Yunnan_battery_storage,Region26Tibet_battery_storage,Region27Shaanxi_battery_storage,Region28Gansu_battery_storage,Region29Qinghai_battery_storage,Region30Ningxia_battery_storage,Region31Xinjiang_battery_storage,Region1Beijing_pumpedhydro_storage,Region2Tianjin_pumpedhydro_storage,Region3Hebei_pumpedhydro_storage,Region4Shanxi_pumpedhydro_storage,Region5Innermongolia_pumpedhydro_storage,Region6Liaoning_pumpedhydro_storage,Region7Jilin_pumpedhydro_storage,Region8Heilongjiang_pumpedhydro_storage,Region9Shanghai_pumpedhydro_storage,Region10Jiangsu_pumpedhydro_storage,Region11Zhejiang_pumpedhydro_storage,Region12Anhui_pumpedhydro_storage,Region13Fujian_pumpedhydro_storage,Region14Jiangxi_pumpedhydro_storage,Region15Shandong_pumpedhydro_storage,Region16Henan_pumpedhydro_storage,Region17Hubei_pumpedhydro_storage,Region18Hunan_pumpedhydro_storage,Region19Guangdong_pumpedhydro_storage,Region20Guangxi_pumpedhydro_storage,Region21Hainan_pumpedhydro_storage,Region22Chongqing_pumpedhydro_storage,Region23Sichuan_pumpedhydro_storage,Region24Guizhou_pumpedhydro_storage,Region25Yunnan_pumpedhydro_storage,Region26Tibet_pumpedhydro_storage,Region27Shaanxi_pumpedhydro_storage,Region28Gansu_pumpedhydro_storage,Region29Qinghai_pumpedhydro_storage,Region30Ningxia_pumpedhydro_storage,Region31Xinjiang_pumpedhydro_storage
1,4.3251267445512906e7,0.0,4.325105909383868e7,4.3253656239844635e7,4.325399886273551e7,4.325147024889465e7,4.324358889375598e7,4.3249105502104625e7,4.325119683994274e7,4.325181690986854e7,4.3251729185323246e7,4.325143900743643e7,4.325110714115354e7,4.325318217444124e7,4.3251166573656954e7,4.325171456664534e7,4.3229704547132984e7,4.3259016369624145e7,4.324287997777878e7,4.324216541086789e7,4.327061745104326e7,4.3254799594886295e7,4.324867518890063e7,4.323268941430028e7,4.3246342531046726e7,4.326611846327502e7,4.325214848574685e7,4.3245338534937486e7,4.327000997134844e7,4.3256150997831054e7,4.325894642445242e7,87.07730185698412,23.256647200093234,3802.6725348092914,684.9751528624897,2494.2675533954107,96.13710109964613,186.95423837685087,87.84724387340616,234.55640757873522,311.7160041997953,216.67172448236596,258.8520279998095,131.72220498639058,9.131017687039389,423.65639145329357,9.686037757080388,9.409565736995871,389.96526846162897,35.62532459359667,39.14727861080987,8.944114884914596,9.46296185901201,2144.1673581144905,8.299350754984212,8.35240966287534,694.673730001223,267.09927581382266,360.6348900402336,413.00506732094965,231.54601756473977,5308.443037523785,3552.137756203787,0.0,19443.752990992627,4791.224204313646,4790.792801699468,11987.100198467337,6783.231915803372,4788.726437612428,4786.142931700562,13088.728733470687,30637.473587307482,18688.439543842134,15191.677881877526,4782.52840327622,15988.820337173329,11061.995371220313,4788.47986696368,4787.490810347564,43350.336963321046,0.0,2388.6151962744384,4786.70338717142,0.0,0.0,0.0,473.71118811445217,5590.8729905597165,0.0,0.0,0.0,4797.24826390466
2,4.325154553122774e7,0.0,4.325261654121126e7,4.3253728733401604e7,4.325466369296753e7,4.32532107427086e7,4.324490987850506e7,4.324958185582193e7,4.325341148865774e7,4.3252572722116314e7,4.325468382839481e7,4.3253530742705025e7,4.325451948829978e7,4.325465676783704e7,4.3252845761911325e7,4.325366282983913e7,4.323490325182154e7,4.326058414002672e7,4.3248575792485565e7,4.324586835809596e7,4.3270898146852e7,4.3256194438502915e7,4.3232143517042644e7,4.323654438983406e7,4.324020310043658e7,4.3265635527156025e7,4.325221925417535e7,4.324627564661891e7,4.326591916100289e7,4.32561701179947e7,4.326166912515222e7,87.0312788479314,23.305034018596107,3801.3287892454923,682.5846041990744,2491.346151183018,95.64723274462125,185.14908477118564,86.27579702744416,235.12412261721883,311.4534049695834,216.9639784884392,258.20990423771644,131.82884992537987,9.090760789557882,423.86448699394305,9.592017086275536,9.38975039351107,389.43473589301965,36.43217692953231,39.24295283647324,8.986326827918722,9.37750685596115,1969.5518552923174,8.257056991637437,8.38302561487443,635.6665494232851,265.14816088469235,355.5103380819119,405.12966920412185,229.2823413193104,5293.920043584179,3552.458016447216,0.0,19443.404702030697,4790.516622858237,4789.801981742336,11987.135210482656,6782.5540672090365,4787.907794000504,4786.417591962238,13088.992458656427,30637.597052116733,18688.28108897912,15191.702686156212,4782.604050582627,15989.130384257653,11061.80583191679,4788.259519189105,4787.210226146877,43351.03561456233,0.0,2389.1352787731716,4785.815049361768,0.0,0.0,0.0,461.7729967180129,5589.974662549121,0.0,0.0,0.0,4794.8937938444315
3,4.3251828433134295e7,0.0,4.325421218656805e7,4.325375093261012e7,4.3255338497746095e7,4.3254922056014836e7,4.324635228775813e7,4.325012019865439e7,4.3255691442681946e7,4.325338367765094e7,4.325779486034123e7,4.325563645208868e7,4.3257996080688074e7,4.325613294792276e7,4.3254534764389984e7,4.325563471644996e7,4.324109351798434e7,4.3262281511824675e7,4.325427214141654e7,4.3250604893273525e7,4.3271189514682524e7,4.325766494144541e7,4.321682521758216e7,4.324088232140914e7,4.323502595117529e7,4.326517437567236e7,4.325346304747674e7,4.324816596652563e7,4.326147250403291e7,4.325620612656262e7,4.32642992174172e7,87.00214362039404,23.3440846538491,3800.131126163855,680.1707920902674,2488.4641365337416,95.13884616882147,183.32821580252798,84.84851991233472,235.7878138749448,310.8736719415947,217.309868446109,257.55255448800483,131.96331305436192,9.051135921152088,424.33990586312717,9.507846260552137,9.359635431071707,388.9302515138869,37.23531172826839,39.278556280749385,9.012901924306846,9.286673507495573,1794.814090569647,8.212490525517358,8.414641839394328,577.0689165031633,263.1615198438745,350.45497511052577,397.24621125850194,227.04780613379364,5279.4493132894,3552.823496340789,0.0,19443.070356937154,4789.854981319781,4788.872828159956,11987.149200565505,6781.883021064932,4787.242819597239,4786.828818399646,13089.331556891084,30637.77375939003,18688.209240101805,15191.784415945443,4782.7617504050895,15989.399470738093,11061.670946615091,4787.974215592418,4786.9733163816945,43351.79119138107,0.0,2389.6784667707916,4784.979802731666,0.0,0.0,0.0,449.6688130379826,5589.081274666253,0.0,0.0,0.0,4792.580911924481
4,4.325211472853268e7,0.0,4.325580190133289e7,4.325379338243882e7,4.325601937343524e7,4.325661306159462e7,4.324803888212818e7,4.325066383186679e7,4.3257994732053004e7,4.325422391388143e7,4.326098558783945e7,4.325775091031373e7,4.326149986092226e7,4.325761042832413e7,4.3256229950577065e7,4.3257620019387074e7,4.32486198596304e7,4.326407650542289e7,4.3259968955166884e7,4.325561965973167e7,4.327148849572737e7,4.32592032403759e7,4.3202222971412055e7,4.324552556211131e7,4.3230132682798155e7,4.3264727645607434e7,4.325486663615228e7,4.3250246115058504e7,4.3256363624490924e7,4.325625591323749e7,4.326647746598446e7,87.01410837233102,23.386563502195962,3798.9791918871083,677.752596154008,2485.546273140992,94.65339526067723,181.47886439668605,83.41443544511922,236.36913866849463,309.9501469650776,217.63541463303898,256.85056609662456,132.09585670727222,9.009191571086133,424.9174447501798,9.429275428989525,9.319822400493353,388.4264454517604,38.15561403803765,39.242680058359966,9.039911233040232,9.19095534255691,1617.749008692857,8.164820528649738,8.445025458012424,518.3055558703314,261.1603500317207,345.40852648153145,389.3255570377948,224.8146599601645,5264.912672056897,3553.186861561085,0.0,19442.68536728571,4789.093667764308,4787.941149388315,11987.108033386057,6781.180843514843,4786.590098203892,4787.310049318571,13089.674341073483,30637.960122848257,18688.329926301307,15191.878307254967,4782.947316939165,15989.666745855593,11061.534343624746,4787.817637186488,4786.764266844372,43352.59419698823,0.0,2390.247146779337,4784.166038517576,0.0,0.0,0.0,437.5131890763945,5588.194324067915,0.0,0.0,0.0,4790.279186991159
5,4.325240279747972e7,0.0,4.325738056940624e7,4.325383435518364e7,4.3256699743224256e7,4.3258159463391416e7,4.324970558028253e7,4.3251203703500144e7,4.3260305127850406e7,4.325506998078733e7,4.326419215061415e7,4.3259864313232616e7,4.3265001238487385e7,4.3259088101796605e7,4.325791758198052e7,4.325960290361285e7,4.325346375147285e7,4.32659203169424e7,4.326566605585385e7,4.3260916429775685e7,4.327179322370657e7,4.326024509668488e7,4.31873011616146e7,4.325007985194521e7,4.3223936088323504e7,4.326428014077502e7,4.3256221146474555e7,4.325218515689942e7,4.325098188537966e7,4.325630111354075e7,4.326641795120407e7,87.0739496289688,23.51487431830464,3797.894864277803,675.3613940958015,2482.640524821314,94.26310812731066,179.60307325055356,81.91706342700944,236.9402508008256,309.0687814377449,217.99337596389023,256.14095386468654,132.249546935104,8.96959681336386,425.4417087172675,9.373193076298847,9.27514224087651,387.90535435884374,39.31573551211095,39.259660837879174,9.082466275565178,9.09190349033354,1434.9503615045219,8.117513143218972,8.466564847611389,458.65731320652844,259.1345416341825,340.27215212441996,381.3414797657744,222.54577818759165,5250.147587050104,3553.4614917031554,0.0,19442.254334798417,4788.2614515415635,4786.930451066151,11986.970018648211,6780.400080584986,4785.813279627094,4787.726986178809,13089.998856694694,30638.159606643745,18688.24218448906,15191.983945218335,4783.080380516708,15989.906972327317,11061.352463224483,4787.6293780902315,4786.50944739331,43353.56160549512,0.0,2390.77945023918,4783.319773890178,0.0,0.0,0.0,425.3117559418837,5587.2520199651535,0.0,0.0,0.0,4787.883040287689
6,4.3252690247143e7,0.0,4.325879366902276e7,4.325383221047857e7,4.325737156235459e7,4.3258296368092604e7,4.3251129398639336e7,4.325148506276987e7,4.326259428625571e7,4.325588185865802e7,4.326727685019572e7,4.326196717739334e7,4.326842732471368e7,4.32605644992417e7,4.32582066241812e7,4.326155260492297e7,4.3255797859748624e7,4.326751045639401e7,4.3271363225981265e7,4.326553979751677e7,4.327210059232821e7,4.325988581832427e7,4.316986034713766e7,4.3254703896882534e7,4.32164084202612e7,4.326378070354953e7,4.32573054443376e7,4.3253548109710865e7,4.324538143465939e7,4.325633712817462e7,4.326463232744454e7,87.15725749425015,23.65428743673581,3796.6962802137655,672.9934889443057,2479.7601980325658,93.9993727941109,177.7231449821454,80.18677037118216,237.45859564932863,308.4735239799794,218.2426582129156,255.5098692794548,132.29692562815595,8.92777950831562,425.7050946118343,9.325794107555806,9.2281993612697,387.3291517244897,40.40128457313531,39.31507415893928,9.140459108389688,8.989011107440222,1244.2823684413206,8.07090768422428,8.481181242659362,397.0677571027734,257.09463874644257,335.0426763512315,373.3833252527102,220.20526500785525,5235.107348673333,3553.5001658569436,0.0,19441.70244377638,4787.3300926534,4785.739446434693,11986.629707667467,6779.460078426811,4784.711783204488,4788.035880641098,13090.189677348311,30638.287179235493,18688.207147999423,15191.990380526571,4783.057739665431,15989.965263947232,11061.056539389023,4787.284566033868,4786.148477178602,43354.47759016124,0.0,2391.2134757151052,4782.403378160018,0.0,0.0,0.0,413.23542723446946,5586.203337754767,0.0,0.0,0.0,4785.4185222699325
7,4.325297690774786e7,0.0,4.325954124874647e7,4.325377458275084e7,4.32561247488141e7,4.325826923956743e7,4.3249598254049934e7,4.32506714746675e7,4.32646801058875e7,4.3256577990611e7,4.3269695562895864e7,4.326252223373583e7,4.327154807669399e7,4.326013602104547e7,4.325558838847394e7,4.326344030509449e7,4.325479996028809e7,4.326889635882675e7,4.327706011632146e7,4.326796561328695e7,4.327240891123384e7,4.3258173990587465e7,4.315065002607565e7,4.325886019482552e7,4.320780166116949e7,4.326312479685519e7,4.325729906489511e7,4.325336065767233e7,4.323958596736884e7,4.3256370925531246e7,4.326075752715402e7,87.3198048420799,23.815391519170397,3795.360647390969,670.6987694720881,2476.271063502323,93.82042458083671,175.8949772061001,78.07439078966041,237.62451526541568,308.3379889565901,218.12501385324356,254.95762741195514,132.25707372168202,8.819308625056376,424.87859841991155,9.336196884202,9.18800936232025,386.7516672107629,41.36477761458427,39.33925716121691,9.242333606970494,8.896782321990253,1039.6439042629208,8.023559826902039,8.488338961379174,331.1455632324403,255.06988083431477,329.6805521948576,365.341162505804,217.7785885956638,5218.931673117587,3553.3856214551265,0.0,19440.903738599784,4786.222238854758,4784.113522525278,11986.082120503117,6778.384058848683,4783.212540668601,4788.092846100887,13090.141085002268,30638.182926281108,18688.09784840577,15191.830639966229,4782.805782456148,15989.344974611691,11060.615426680155,4786.91169386068,4785.726160796934,43355.19269158345,0.0,2391.705775066582,4781.4682937176585,0.0,0.0,0.0,401.18502421642086,5585.00314612547,0.0,0.0,0.0,4782.831476421626
8,4.3253257921364084e7,0.0,4.325735179883451e7,4.325358610435514e7,4.325485563076297e7,4.3257179187209636e7,4.3245778990127556e7,4.324983922501872e7,4.326655510267152e7,4.325711444267664e7,4.326814854147095e7,4.3259202923070155e7,4.3273354182843454e7,4.325817605128039e7,4.325296461592025e7,4.3265269555510275e7,4.3246656202863105e7,4.3267948526768014e7,4.328274616200679e7,4.3268283993803956e7,4.327269325258286e7,4.325478588365486e7,4.31335928776092e7,4.3259604690945305e7,4.3197334473554686e7,4.326231722125973e7,4.3256412492572784e7,4.325170007798224e7,4.323407077843684e7,4.3256411139869936e7,4.325579462063434e7,87.61996871824917,24.063109243558188,3793.9559158269235,668.5016190791903,2471.9919357861168,93.69616437039558,173.86871101590253,75.46436748695282,237.61645408120617,308.71410942300196,217.6066161243304,254.253584697524,132.15553973574873,8.741537405034522,423.9858748926331,9.43646786525343,9.15874145658674,386.2492734370785,42.373548536037546,39.245078051241336,9.380360927870068,8.865046603998053,813.5256985248564,7.995827567545782,8.48791304008765,259.0034884769565,253.089014771519,324.1882462044194,357.1976429994954,215.32583260089245,5192.098418218406,3553.2708994938703,0.0,19439.89157739035,4784.985748817676,4782.158471344717,11985.391714623747,6777.120526572021,4781.402528184761,4788.142239489619,13090.038303737792,30637.899752778714,18687.770469795767,15191.576441900554,4782.556425382355,15988.551186317405,11060.121835558903,4786.590611093386,4785.308444370863,43355.630096422974,0.0,2392.131147823673,4780.419801472771,0.0,0.0,0.0,388.734412228333,5583.712729475079,0.0,0.0,0.0,4779.9216594523205
9,4.3253177872186385e7,0.0,4.325380328983667e7,4.325295670896534e7,4.325360798164529e7,4.3256007616395555e7,4.3244585517574705e7,4.3249798459850706e7,4.3267712708518475e7,4.325681885460902e7,4.326155273631274e7,4.325588384265083e7,4.326759392209516e7,4.325602379269578e7,4.325033798084009e7,4.326693043942009e7,4.323434087056051e7,4.326463994639948e7,4.327437999694781e7,4.3263503160845526e7,4.32720733511665e7,4.325125107100541e7,4.311215513681582e7,4.325587710941787e7,4.318256033713831e7,4.326128664006391e7,4.325397289724849e7,4.32481780697973e7,4.3228532324148096e7,4.3256267191331975e7,4.325081251482071e7,87.91782865317563,23.725646364258697,3792.275690484279,666.1590049952093,2467.1857008942534,93.29853132714689,171.93826032006513,73.52401943862421,237.17428158896215,308.9558346161891,216.70091160872576,253.40676081601933,131.9843094907972,8.611524077700496,423.2496782929329,9.519969031504777,9.113475597939837,385.52728835881675,41.81469276770371,39.06310304993129,9.462501911699684,8.833642108613452,538.0535138792973,7.9798476190394405,8.46891047352084,167.33856654376754,250.96547150454117,318.30260126957563,348.96093045084797,212.82138354160767,4386.042387806678,3553.0599252263182,0.0,19438.580822009942,4783.669550123108,4780.3418374123585,11984.490243878106,6775.778812059222,4780.00167162641,4787.776341962658,13089.584264301315,30637.34966222063,18686.95555511327,15190.709024484133,4781.532924322669,15987.458159609787,11059.440204830784,4785.973412449418,4784.689095986456,43355.20730270454,0.0,2392.1402739578593,4779.425017664836,0.0,0.0,0.0,376.1059833134696,5582.29812209052,0.0,0.0,0.0,4776.248245856057
10,4.325261376467645e7,0.0,4.325441325774393e7,4.325290135598337e7,4.325429087150912e7,4.325550509389733e7,4.324718325237399e7,4.32503712641826e7,4.3264970402556114e7,4.325741509850601e7,4.32548875671649e7,4.325486177872546e7,4.3261757898879185e7,4.325386021239864e7,4.325136743508807e7,4.3268642192019455e7,4.322609152372874e7,4.326072511912524e7,4.326600293032892e7,4.325342244268028e7,4.327142609762603e7,4.3247704362902515e7,4.313680422991437e7,4.324920634688941e7,4.3170977849214934e7,4.3260958397554085e7,4.325246027335584e7,4.324560580220223e7,4.322360174748291e7,4.3256298758846596e7,4.324583213618203e7,87.24472500387796,23.11439835639233,3790.635689244746,663.5417574788313,2464.410429357557,92.38443876485186,170.35242246617094,73.42969787076241,236.86150463850026,309.4784848937221,215.58838531688423,252.97100440835627,131.7023809309987,8.410138204803467,424.1440244513019,9.37799529754776,9.110389917488167,384.8187428430379,39.58951631363321,38.65857834949725,9.325637606403252,8.711696493810983,88.85290449483438,7.985990150609926,8.48512284345158,49.078772705845466,248.59925360352798,312.69469779739904,340.51874465908327,210.51209427648124,2188.182401672417,3552.4216599763554,0.0,19437.584056689808,4782.349969457445,4779.176408308727,11983.99548313444,6775.005033050721,4780.037059897373,4787.4457713520405,13089.200891643373,30636.712702695735,18686.15350315663,15189.993377234126,4780.357069221439,15987.205037972237,11058.564190181334,4785.313499653032,4784.082457928921,43353.90651674733,0.0,2391.528877796155,4778.187336290641,0.0,0.0,0.0,363.54256733033367,5580.891176109805,0.0,0.0,0.0,4772.725061501776
