2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/chinnykwok/hmei/MacroEnergy.jl
2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | user_additions.jl:78 |  ++ Loading user additions from user_additions
2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | user_additions.jl:114 |  ++ Successfully loaded user additions.
2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | user_additions.jl:122 |  ++ Added user assets: 2
2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | load_stages_data.jl:37 | Loading case from /Users/chinnykwok/hmei/MacroEnergy.jl/system_data.json
2026-06-22 14:51:33 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-06-22 14:51:34 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.99 seconds
2026-06-22 14:51:34 | INFO | 1 | MacroEnergy | load_stages_data.jl:20 | Done loading case data. It took 1.0 seconds
2026-06-22 14:51:34 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-06-22 14:51:35 | INFO | 1 | MacroEnergy | case_settings.jl:111 | Configuring case from settings/case_settings.json
2026-06-22 14:51:35 | INFO | 1 | MacroEnergy | case_settings.jl:129 | Configuring case
2026-06-22 14:51:35 | INFO | 1 | MacroEnergy | case_settings.jl:154 |  -- Setting solution algorithm
2026-06-22 14:51:35 | INFO | 1 | MacroEnergy | case_settings.jl:165 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-06-22 14:51:35 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-06-22 14:51:36 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-06-22 14:51:38 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 1 top-level, 0 subcommodities
2026-06-22 14:51:38 | WARN | 1 | MacroEnergy | load_json_inputs.jl:137 | Could not find: "locations", full path: /Users/chinnykwok/hmei/MacroEnergy.jl/locations
2026-06-22 14:51:41 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:41 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:41 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:41 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
2026-06-22 14:51:42 | WARN | 1 | MacroEnergy | load_time_data.jl:199 | Using default weights = 1 as no period map provided and each period maps to itself
