type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
Steelmaking,2.69932813378236e7,666463.8144764917,8.728513161447357e10,0.0,0.0,0.0,8.731279135962587e10
AluminumSmelting,0.0,2.006169528789966e6,4.658099749912533e10,3.3974146042667545e7,6.743364746558904e6,0.0,4.662372117944335e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,8.13585216227855e6,0.0,0.0,8.13585216227855e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.2186911567745408e8,0.0,0.0,1.2186911567745408e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.9255768338122035e6,0.0,0.0,1.9255768338122035e6
DRIMaking,1800.6055959084922,545442.8918526883,81819.94350332697,0.0,0.0,0.0,629063.4409519237
OneWayTransmissionLink{IronOre},2.0117607161007926e9,0.0,0.0,6.374930030028686e7,0.0,0.0,2.0755100164010794e9
OneWayTransmissionLink{SteelScrap},7.087707114230889e6,0.0,0.0,1.1815549174064977e7,0.0,0.0,1.8903256288295865e7
CementPlant{Coal},0.0,446169.18731409137,4.804190504890709e7,1.9470346437005994e8,0.0,0.0,2.4319153860628113e8
CO2Injection,0.0,74880.22490419628,0.0,327.867930291659,0.0,0.0,75208.09283448794
OneWayTransmissionLink{CO2Captured},0.0,26.274277002829944,0.0,2039.185527921121,0.0,0.0,2065.459804923951
HydroRes,0.0,0.0,6.3786179374999985e10,0.0,0.0,0.0,6.3786179374999985e10
Battery,0.0,3.1398473532596296e6,3.271341048683647e9,0.0,0.0,0.0,3.2744808960369067e9
ThermalPower{Coal},0.0,5.465619753189544e6,5.7734855606086754e10,5.801268391787382e8,235922.90393335393,0.0,5.8320683987922615e10
ThermalPower{NaturalGas},0.0,1.2045631107067995e7,5.01764081367749e9,3.6299887526807174e7,87175.72061444448,0.0,5.06607350803198e9
ThermalPower{Uranium},0.0,361737.2257706304,4.021604752010362e9,4.648706101118876e6,21717.235460934644,0.0,4.0266369125727124e9
TransmissionLink{Electricity},0.0,5.440013607089823e7,0.0,0.0,0.0,0.0,5.440013607089823e7
VRE,0.0,1.928046726403048e6,8.700374521598848e6,0.0,0.0,0.0,1.0628421248001896e7
Node{Electricity},0.0,0.0,0.0,0.0,0.0,9.243466709110226e6,9.243466709110226e6
Total,2.045843505158443e9,8.10801701582035e7,2.677545748085712e11,1.0572508044207467e9,7.088180606567636e6,9.243466709110226e6,2.7095508093562427e11
