zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Total
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,0.03660561327349325,0.0,0.0,0.0,0.0,0.0,0.03660561327349325
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,0.0,3828.647933406737,574.3290629132542,0.0,0.0,0.0,4402.9769963199915
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,0.034705637245153596,0.0,0.0,0.0,0.0,0.0,0.034705637245153596
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,0.0,3629.9259712837215,544.519114265184,0.0,0.0,0.0,4174.445085548906
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,0.03702467252284809,0.0,0.0,0.0,0.0,0.0,0.03702467252284809
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,0.0,3872.4781054907367,580.9039536052618,0.0,0.0,0.0,4453.382059095999
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,0.02807761866208982,0.0,0.0,0.0,0.0,0.0,0.02807761866208982
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,0.0,2936.68940504911,440.52785824273343,0.0,0.0,0.0,3377.2172632918437
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,0.03270428639456588,0.0,0.0,0.0,0.0,0.0,0.03270428639456588
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,0.0,3420.601031393343,513.1186306838584,0.0,0.0,0.0,3933.7196620772015
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,0.027672171779027956,0.0,0.0,0.0,0.0,0.0,0.027672171779027956
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,0.0,2894.2829752116095,434.1665407401348,0.0,0.0,0.0,3328.449515951744
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,0.03434992171208303,0.0,0.0,0.0,0.0,0.0,0.03434992171208303
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,0.0,3592.721034150284,538.9380639698177,0.0,0.0,0.0,4131.659098120102
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,0.036081571326490966,0.0,0.0,0.0,0.0,0.0,0.036081571326490966
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,0.0,3773.837429279452,566.1070310051867,0.0,0.0,0.0,4339.944460284639
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,0.024612552814946502,0.0,0.0,0.0,0.0,0.0,0.024612552814946502
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,0.0,2574.271840954096,386.16220655827993,0.0,0.0,0.0,2960.4340475123763
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,0.023802991332815448,0.0,0.0,0.0,0.0,0.0,0.023802991332815448
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,0.0,2489.598327294617,373.4604746154449,0.0,0.0,0.0,2863.058801910062
steelscrap_source_Region11Zhejiang_Region11Zhejiang_bfbofccs_transforms,0.02283340833254613,0.0,0.0,0.0,0.0,0.0,0.02283340833254613
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,0.0,2388.187870856901,358.24806192341293,0.0,0.0,0.0,2746.435932780314
steelscrap_source_Region12Anhui_Region12Anhui_bfbofccs_transforms,0.03354180237494714,0.0,0.0,0.0,0.0,0.0,0.03354180237494714
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,0.0,3508.198357069175,526.2589587694295,0.0,0.0,0.0,4034.4573158386047
steelscrap_source_Region13Fujian_Region13Fujian_bfbofccs_transforms,0.02451564251904228,0.0,0.0,0.0,0.0,0.0,0.02451564251904228
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,0.0,2564.135816149174,384.64171845670177,0.0,0.0,0.0,2948.7775346058756
steelscrap_source_Region15Shandong_Region15Shandong_bfbofccs_transforms,0.023009305026557424,0.0,0.0,0.0,0.0,0.0,0.023009305026557424
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,0.0,2406.5852272674556,361.0078185401445,0.0,0.0,0.0,2767.5930458076
steelscrap_source_Region16Henan_Region16Henan_bfbofccs_transforms,0.030761109321732476,0.0,0.0,0.0,0.0,0.0,0.030761109321732476
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,0.0,3217.36059314246,482.6308730009929,0.0,0.0,0.0,3699.9914661434527
steelscrap_source_Region17Hubei_Region17Hubei_bfbofccs_transforms,0.027828032394125003,0.0,0.0,0.0,0.0,0.0,0.027828032394125003
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,0.0,2910.584721543037,436.6119383993674,0.0,0.0,0.0,3347.1966599424045
steelscrap_source_Region18Hunan_Region18Hunan_bfbofccs_transforms,0.023962225013757193,0.0,0.0,0.0,0.0,0.0,0.023962225013757193
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,0.0,2506.2528687418935,375.9587944790197,0.0,0.0,0.0,2882.211663220913
steelscrap_source_Region19Guangdong_Region19Guangdong_bfbofccs_transforms,0.030091704062364878,0.0,0.0,0.0,0.0,0.0,0.030091704062364878
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,0.0,3147.3462747443277,472.1281423828946,0.0,0.0,0.0,3619.4744171272223
steelscrap_source_Region20Guangxi_Region20Guangxi_bfbofccs_transforms,0.029404117513511234,0.0,0.0,0.0,0.0,0.0,0.029404117513511234
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,0.0,3075.4303420801666,461.3401537942472,0.0,0.0,0.0,3536.770495874414
steelscrap_source_Region22Chongqing_Region22Chongqing_bfbofccs_transforms,0.024602298773034357,0.0,0.0,0.0,0.0,0.0,0.024602298773034357
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,0.0,2573.1993519868247,386.0013242848843,0.0,0.0,0.0,2959.200676271709
steelscrap_source_Region23Sichuan_Region23Sichuan_bfbofccs_transforms,0.020053102152606524,0.0,0.0,0.0,0.0,0.0,0.020053102152606524
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,0.0,2097.390570712449,314.6260460591706,0.0,0.0,0.0,2412.0166167716197
steelscrap_source_Region25Yunnan_Region25Yunnan_bfbofccs_transforms,0.030163247277924167,0.0,0.0,0.0,0.0,0.0,0.030163247277924167
Region25Yunnan_bfbofccs_transforms_crudesteel_Region25Yunnan,0.0,3154.8291102961803,473.25063000912183,0.0,0.0,0.0,3628.079740305302
steelscrap_source_Region27Shaanxi_Region27Shaanxi_bfbofccs_transforms,0.027780290263026322,0.0,0.0,0.0,0.0,0.0,0.027780290263026322
Region27Shaanxi_bfbofccs_transforms_crudesteel_Region27Shaanxi,0.0,2905.5912848752323,435.86288132960823,0.0,0.0,0.0,3341.4541662048405
steelscrap_source_Region28Gansu_Region28Gansu_bfbofccs_transforms,0.020259157026714922,0.0,0.0,0.0,0.0,0.0,0.020259157026714922
Region28Gansu_bfbofccs_transforms_crudesteel_Region28Gansu,0.0,2118.9422262476064,317.8589738036452,0.0,0.0,0.0,2436.8012000512517
steelscrap_source_Region29Qinghai_Region29Qinghai_bfbofccs_transforms,0.03618335735710884,0.0,0.0,0.0,0.0,0.0,0.03618335735710884
Region29Qinghai_bfbofccs_transforms_crudesteel_Region29Qinghai,0.0,3784.4834160810688,567.7040176516238,0.0,0.0,0.0,4352.187433732693
steelscrap_source_Region30Ningxia_Region30Ningxia_bfbofccs_transforms,0.02677818977463896,0.0,0.0,0.0,0.0,0.0,0.02677818977463896
Region30Ningxia_bfbofccs_transforms_crudesteel_Region30Ningxia,0.0,2800.7797649789545,420.1402808054644,0.0,0.0,0.0,3220.920045784419
steelscrap_source_Region31Xinjiang_Region31Xinjiang_bfbofccs_transforms,0.0324273276577709,0.0,0.0,0.0,0.0,0.0,0.0324273276577709
Region31Xinjiang_bfbofccs_transforms_crudesteel_Region31Xinjiang,0.0,3391.6334113907324,508.773246532508,0.0,0.0,0.0,3900.4066579232403
Region1Beijing_drieaf_transforms_crudesteel_Region1Beijing,0.0,3790.086632520913,568.8556790221262,0.0,0.0,0.0,4358.942311543039
Region2Tianjin_drieaf_transforms_crudesteel_Region2Tianjin,0.0,4626.343927949019,694.3698843033791,0.0,0.0,0.0,5320.713812252398
Region3Hebei_drieaf_transforms_crudesteel_Region3Hebei,0.0,4602.002428184488,690.7164584797695,0.0,0.0,0.0,5292.718886664257
Region4Shanxi_drieaf_transforms_crudesteel_Region4Shanxi,0.0,3680.2154793813606,552.3650719505478,0.0,0.0,0.0,4232.580551331908
Region5Innermongolia_drieaf_transforms_crudesteel_Region5Innermongolia,0.0,4413.547230290939,662.4311394469222,0.0,0.0,0.0,5075.978369737862
Region6Liaoning_drieaf_transforms_crudesteel_Region6Liaoning,0.0,4119.992204450188,618.3713435250735,0.0,0.0,0.0,4738.363547975262
Region7Jilin_drieaf_transforms_crudesteel_Region7Jilin,0.0,3753.2842611243036,563.331995792617,0.0,0.0,0.0,4316.616256916921
Region8Heilongjiang_drieaf_transforms_crudesteel_Region8Heilongjiang,0.0,3367.877252001154,505.4860974974607,0.0,0.0,0.0,3873.3633494986148
Region9Shanghai_drieaf_transforms_crudesteel_Region9Shanghai,0.0,4798.224342586736,720.1674872236873,0.0,0.0,0.0,5518.391829810424
Region10Jiangsu_drieaf_transforms_crudesteel_Region10Jiangsu,0.0,4976.469396820827,746.920361548153,0.0,0.0,0.0,5723.3897583689795
Region11Zhejiang_drieaf_transforms_crudesteel_Region11Zhejiang,0.0,5045.446451460833,757.2731563675392,0.0,0.0,0.0,5802.719607828371
Region12Anhui_drieaf_transforms_crudesteel_Region12Anhui,0.0,3895.864252128295,584.7318859433065,0.0,0.0,0.0,4480.596138071602
Region13Fujian_drieaf_transforms_crudesteel_Region13Fujian,0.0,2424.331246574517,363.8688851097376,0.0,0.0,0.0,2788.2001316842548
Region14Jiangxi_drieaf_transforms_crudesteel_Region14Jiangxi,0.0,3889.950153445299,583.844236412224,0.0,0.0,0.0,4473.794389857523
Region15Shandong_drieaf_transforms_crudesteel_Region15Shandong,0.0,5109.817490223498,766.9346323481923,0.0,0.0,0.0,5876.75212257169
